Model Name,gte-qwen2-7b_coarse,gte-qwen2-7b_fine_f1,gte-qwen2-7b_hm_cf,nemo_coarse,nemo_fine_f1,nemo_hm_cf,nv-embed_coarse,nv-embed_fine_f1,nv-embed_hm_cf,qwen3-8b_coarse,qwen3-8b_fine_f1,qwen3-8b_hm_cf
Qwen2.5-32B,0.6636,0.5709,0.6128,0.6003,0.4931,0.5402,0.5789,0.4243,0.4881,0.6608,0.6504,0.6546
Qwen2.5-72B,0.6632,0.5939,0.6255,0.6293,0.5031,0.5579,0.5875,0.4339,0.4974,0.6790,0.6530,0.6648
internvl,0.6340,0.5639,0.5952,0.5630,0.4910,0.5216,0.5695,0.3763,0.4515,0.6108,0.6258,0.6164
llava_next_video,0.5474,0.5319,0.5374,0.4850,0.4832,0.4814,0.4988,0.3653,0.4193,0.5638,0.6302,0.5930
llava_one_vision,0.6995,0.6152,0.6538,0.6494,0.5350,0.5855,0.6438,0.4436,0.5239,0.6779,0.6683,0.6721
longva,0.5030,0.4630,0.4801,0.4062,0.4071,0.4035,0.3991,0.3112,0.3457,0.4920,0.5708,0.5258
longvu,0.6962,0.6005,0.6439,0.6252,0.5087,0.5595,0.6128,0.4422,0.5102,0.6700,0.6672,0.6675
minicpm,0.6698,0.5514,0.6039,0.6092,0.4685,0.5286,0.5959,0.4022,0.4790,0.6585,0.6424,0.6495
mplug,0.7362,0.6396,0.6837,0.6730,0.5550,0.6072,0.6294,0.4633,0.5291,0.7044,0.6819,0.6921
oryx,0.5227,0.5110,0.5140,0.4744,0.4523,0.4605,0.4819,0.3416,0.3977,0.5562,0.6095,0.5797
sharegpt4,0.6397,0.5684,0.6008,0.5471,0.4774,0.5083,0.5511,0.4012,0.4611,0.6090,0.6401,0.6230
timechat,0.5807,0.5539,0.5655,0.5154,0.4883,0.5001,0.5265,0.3460,0.4158,,,
ts_llava,0.5445,0.5148,0.5272,0.4607,0.4589,0.4573,0.4662,0.3527,0.3998,,,
video_xl,0.6330,0.5715,0.5993,0.5599,0.4932,0.5222,0.5537,0.4045,0.4660,,,
videochatflash,0.6281,0.5897,0.6070,0.5907,0.5238,0.5535,0.5396,0.3999,0.4549,,,
videollama3,0.7531,0.6443,0.6937,0.6787,0.5744,0.6210,0.6812,0.4653,0.5489,,,
vilamp,0.7089,0.6223,0.6617,0.6488,0.5482,0.5927,0.6018,0.4397,0.5001,,,
