video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6987,0.6423,0.5979,0.6193,0.6566
002,0.7199,0.622,0.5697,0.5947,0.6513
003,0.7388,0.6243,0.6059,0.6149,0.6712
004,0.6115,0.5825,0.6262,0.6036,0.6075
005,0.6667,0.5728,0.5562,0.5644,0.6113
006,0.735,0.5945,0.6351,0.6141,0.6691
007,0.6844,0.5671,0.5723,0.5697,0.6218
008,0.7051,0.5593,0.5609,0.5601,0.6243
009,0.6165,0.5842,0.5626,0.5732,0.5941
010,0.6926,0.5629,0.5381,0.5502,0.6133
011,0.6568,0.6234,0.5868,0.6046,0.6296
012,0.6294,0.5878,0.57,0.5788,0.603
013,0.6599,0.5746,0.566,0.5703,0.6118
014,0.6011,0.5991,0.5425,0.5694,0.5848
015,0.6438,0.582,0.5512,0.5662,0.6025
016,0.6304,0.5673,0.5532,0.5602,0.5932
017,0.7156,0.5563,0.5519,0.5541,0.6246
018,0.599,0.5732,0.5082,0.5388,0.5673
019,0.5822,0.5886,0.5704,0.5793,0.5808
020,0.7789,0.6076,0.6179,0.6127,0.6859
021,0.607,0.5378,0.5564,0.547,0.5754
022,0.7406,0.6571,0.6263,0.6413,0.6874
023,0.6386,0.5472,0.6048,0.5746,0.6049
024,0.763,0.6163,0.5918,0.6038,0.6741
025,0.7015,0.5632,0.6097,0.5855,0.6383
026,0.6615,0.6104,0.6022,0.6063,0.6327
027,0.6662,0.5767,0.5842,0.5804,0.6203
028,0.6951,0.6055,0.5569,0.5802,0.6325
029,0.66,0.5937,0.5409,0.5661,0.6094
030,0.6779,0.562,0.5535,0.5577,0.612
031,0.7329,0.6081,0.6429,0.625,0.6747
032,0.5932,0.4777,0.5299,0.5024,0.5441
033,0.6424,0.5723,0.5521,0.562,0.5995
034,0.7313,0.5951,0.6265,0.6104,0.6654
035,0.7277,0.6602,0.5894,0.6228,0.6712
036,0.6489,0.5563,0.5455,0.5508,0.5959
037,0.6397,0.609,0.5682,0.5879,0.6127
038,0.6077,0.5963,0.6101,0.6031,0.6054
039,0.6752,0.5804,0.649,0.6128,0.6425
040,0.6046,0.5841,0.5902,0.5871,0.5957
041,0.6277,0.5357,0.6083,0.5697,0.5973
042,0.5631,0.5767,0.507,0.5396,0.5511
043,0.641,0.5037,0.4792,0.4912,0.5562
044,0.6196,0.5431,0.5611,0.552,0.5838
045,0.6794,0.5628,0.5632,0.563,0.6158
046,0.6186,0.6136,0.6175,0.6155,0.6171
047,0.662,0.5829,0.578,0.5805,0.6185
048,0.6342,0.5749,0.5934,0.584,0.608
