video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.7017,0.616,0.6198,0.6179,0.6571
002,0.6843,0.565,0.5529,0.5589,0.6153
003,0.6226,0.5891,0.5666,0.5776,0.5993
004,0.6699,0.5715,0.5721,0.5718,0.617
005,0.7258,0.5652,0.5865,0.5756,0.6421
006,0.6077,0.568,0.5832,0.5755,0.5912
007,0.5735,0.6253,0.5421,0.5807,0.5771
008,0.6666,0.61,0.5735,0.5912,0.6266
009,0.7177,0.6412,0.5921,0.6157,0.6628
010,0.7042,0.6237,0.5942,0.6086,0.6529
011,0.5768,0.5561,0.5922,0.5736,0.5752
012,0.5747,0.5187,0.569,0.5427,0.5582
013,0.6234,0.591,0.5364,0.5624,0.5913
014,0.5076,0.5383,0.55,0.5441,0.5252
015,0.6131,0.5748,0.5737,0.5742,0.593
016,0.6714,0.5803,0.5485,0.5639,0.613
017,0.6415,0.5536,0.5233,0.538,0.5852
018,0.6292,0.5862,0.5348,0.5593,0.5922
019,0.7065,0.6343,0.6109,0.6224,0.6617
020,0.7472,0.6518,0.6261,0.6387,0.6887
021,0.4815,0.5308,0.4989,0.5143,0.4974
022,0.7351,0.6766,0.6643,0.6704,0.7013
023,0.6493,0.5835,0.603,0.5931,0.6199
024,0.6913,0.6041,0.609,0.6065,0.6461
025,0.6518,0.5886,0.6024,0.5954,0.6223
026,0.607,0.532,0.5484,0.5401,0.5716
027,0.5909,0.572,0.5366,0.5537,0.5717
028,0.7245,0.5863,0.5822,0.5842,0.6468
029,0.5816,0.5501,0.5767,0.5631,0.5722
030,0.616,0.5983,0.5833,0.5907,0.6031
031,0.59,0.5687,0.5317,0.5496,0.5691
032,0.6127,0.5353,0.5394,0.5374,0.5725
033,0.5842,0.5171,0.5081,0.5125,0.546
034,0.7123,0.5596,0.6113,0.5843,0.642
035,0.6751,0.5931,0.6036,0.5984,0.6344
036,0.7147,0.5204,0.5485,0.5341,0.6114
037,0.5835,0.6097,0.62,0.6148,0.5987
038,0.6939,0.546,0.5829,0.5638,0.6221
039,0.6165,0.6331,0.6293,0.6312,0.6238
040,0.6495,0.5816,0.5704,0.576,0.6105
041,0.6481,0.527,0.5519,0.5391,0.5886
042,0.5298,0.4972,0.491,0.4941,0.5113
043,0.6098,0.5692,0.5581,0.5636,0.5858
044,0.5936,0.5794,0.5677,0.5735,0.5834
045,0.6249,0.5648,0.5271,0.5453,0.5824
046,0.6211,0.6251,0.6103,0.6176,0.6193
047,0.6459,0.5301,0.5923,0.5595,0.5996
048,0.6549,0.515,0.6075,0.5574,0.6023
049,0.6353,0.5211,0.5812,0.5495,0.5893
050,0.6244,0.5974,0.5814,0.5893,0.6063
051,0.6943,0.5244,0.5383,0.5313,0.6019
052,0.6395,0.6084,0.6008,0.6045,0.6215
053,0.1679,0.2734,0.1602,0.202,0.1834
054,0.5963,0.5418,0.5692,0.5552,0.575
055,0.6796,0.5819,0.5902,0.586,0.6293
056,0.662,0.5052,0.5189,0.512,0.5774
057,0.5822,0.5494,0.5298,0.5394,0.56
058,0.6329,0.6075,0.5924,0.5998,0.6159
059,0.6209,0.5834,0.5741,0.5787,0.5991
060,0.6834,0.5547,0.548,0.5513,0.6103
061,0.6266,0.5728,0.5825,0.5776,0.6011
062,0.6901,0.5806,0.5676,0.574,0.6267
063,0.674,0.5513,0.6142,0.581,0.6241
064,0.6939,0.6139,0.6222,0.618,0.6537
065,0.5996,0.5257,0.5481,0.5367,0.5664
066,0.6363,0.5403,0.5141,0.5269,0.5765
067,0.6543,0.6087,0.5793,0.5937,0.6225
068,0.7746,0.5897,0.6394,0.6135,0.6847
069,0.682,0.6038,0.5698,0.5863,0.6305
070,0.2311,0.2857,0.1752,0.2172,0.2239
071,0.6861,0.5804,0.5757,0.5781,0.6275
072,0.6562,0.588,0.567,0.5773,0.6142
073,0.6936,0.5512,0.594,0.5718,0.6268
074,0.7597,0.5775,0.5481,0.5624,0.6463
075,0.6151,0.4993,0.5248,0.5118,0.5587
076,0.6188,0.6112,0.521,0.5625,0.5893
077,0.6964,0.573,0.5362,0.554,0.6171
078,0.413,0.531,0.4456,0.4845,0.4459
079,0.5934,0.5667,0.5378,0.5519,0.5719
080,0.6982,0.5775,0.574,0.5758,0.6311
081,0.6807,0.5646,0.5529,0.5587,0.6137
082,0.6294,0.5936,0.6014,0.5975,0.613
083,0.6741,0.6,0.5844,0.5921,0.6304
084,0.5908,0.5145,0.5455,0.5296,0.5585
085,0.6381,0.5859,0.5917,0.5888,0.6125
086,0.5758,0.5653,0.4988,0.53,0.552
087,0.5213,0.5613,0.5892,0.5749,0.5468
088,0.6034,0.5422,0.6125,0.5752,0.589
089,0.7371,0.5408,0.554,0.5473,0.6282
090,0.6276,0.5861,0.5453,0.565,0.5946
091,0.6679,0.6016,0.6016,0.6016,0.633
092,0.6767,0.4959,0.556,0.5242,0.5908
093,0.6779,0.52,0.5672,0.5426,0.6028
094,0.6334,0.5491,0.5648,0.5568,0.5927
095,0.6588,0.589,0.5433,0.5652,0.6084
096,0.6138,0.6127,0.5956,0.604,0.6089
097,0.6783,0.5151,0.6053,0.5566,0.6114
098,0.6775,0.6753,0.6111,0.6416,0.6591
099,0.7146,0.5884,0.6196,0.6036,0.6544
100,0.4819,0.5539,0.5191,0.536,0.5075
101,0.6677,0.5275,0.5545,0.5407,0.5975
102,0.7675,0.5791,0.6208,0.5992,0.673
103,0.6622,0.5217,0.5722,0.5458,0.5984
104,0.696,0.5654,0.5686,0.567,0.6249
105,0.6682,0.5525,0.558,0.5552,0.6065
106,0.6992,0.5565,0.5939,0.5746,0.6308
107,0.6801,0.6021,0.5596,0.5801,0.6261
108,0.6061,0.6305,0.5662,0.5966,0.6013
109,0.6696,0.5358,0.5866,0.56,0.6099
110,0.6821,0.6123,0.5888,0.6003,0.6386
111,0.6469,0.591,0.5711,0.5809,0.6121
112,0.6956,0.5688,0.6067,0.5871,0.6368
113,0.5688,0.4653,0.4826,0.4738,0.517
114,0.636,0.5173,0.5664,0.5407,0.5845
115,0.6916,0.6065,0.6389,0.6223,0.6551
116,0.6115,0.5725,0.6066,0.5891,0.6001
117,0.6319,0.5496,0.5482,0.5489,0.5875
118,0.6519,0.5128,0.569,0.5395,0.5904
119,0.6038,0.5564,0.5679,0.5621,0.5822
120,0.5174,0.519,0.5874,0.5511,0.5337
121,0.6383,0.6499,0.6026,0.6253,0.6317
122,0.5819,0.4992,0.5288,0.5135,0.5456
123,0.6858,0.5403,0.5561,0.5481,0.6093
124,0.5712,0.5065,0.5301,0.518,0.5433
125,0.571,0.4937,0.5166,0.5049,0.5359
127,0.5919,0.5267,0.5742,0.5494,0.5699
