video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.4627,0.5158,0.447,0.4789,0.4707
002,0.5115,0.465,0.4496,0.4572,0.4828
003,0.6047,0.4467,0.4875,0.4662,0.5265
004,0.5156,0.5278,0.5558,0.5414,0.5282
005,0.5043,0.4581,0.4516,0.4548,0.4782
006,0.5809,0.4484,0.4656,0.4569,0.5115
007,0.3981,0.3739,0.3582,0.3659,0.3813
008,0.3592,0.4853,0.4245,0.4529,0.4006
009,0.5624,0.5045,0.4651,0.484,0.5203
010,0.4785,0.5679,0.4707,0.5147,0.4959
011,0.5809,0.5454,0.5459,0.5457,0.5627
012,0.4828,0.4762,0.4262,0.4498,0.4657
013,0.528,0.5467,0.4722,0.5067,0.5172
014,0.4903,0.4395,0.4038,0.4209,0.4529
015,0.5072,0.5287,0.5188,0.5237,0.5153
016,0.544,0.4511,0.4495,0.4503,0.4927
017,0.5576,0.4835,0.4713,0.4773,0.5143
018,0.5802,0.4903,0.4605,0.4749,0.5223
019,0.6254,0.5901,0.6017,0.5958,0.6103
020,0.6356,0.4959,0.5163,0.5059,0.5634
021,0.4821,0.4802,0.4651,0.4725,0.4773
022,0.5858,0.4388,0.4913,0.4636,0.5176
023,0.5397,0.5065,0.5413,0.5233,0.5314
024,0.6362,0.5005,0.5179,0.5091,0.5656
025,0.5465,0.4703,0.4845,0.4773,0.5095
026,0.6666,0.5742,0.5845,0.5793,0.6199
027,0.4994,0.4475,0.4782,0.4624,0.4802
028,0.6429,0.4967,0.5876,0.5383,0.586
029,0.5361,0.5398,0.5113,0.5252,0.5306
030,0.3695,0.3625,0.3449,0.3535,0.3613
031,0.5529,0.5591,0.5864,0.5725,0.5625
032,0.5489,0.5092,0.5047,0.507,0.5271
033,0.3711,0.3464,0.3513,0.3488,0.3596
034,0.6587,0.5158,0.5343,0.5249,0.5842
035,0.4963,0.4896,0.45,0.4689,0.4822
036,0.4875,0.4536,0.49,0.4711,0.4792
037,0.5867,0.5458,0.5285,0.537,0.5607
038,0.2787,0.4004,0.3949,0.3976,0.3277
039,0.5464,0.4741,0.4931,0.4834,0.513
040,0.4669,0.49,0.4485,0.4683,0.4676
041,0.5739,0.5135,0.5528,0.5325,0.5524
042,0.5422,0.5963,0.519,0.555,0.5485
043,0.5744,0.4224,0.3948,0.4081,0.4772
044,0.3022,0.3253,0.3726,0.3473,0.3232
045,0.3797,0.3939,0.2951,0.3374,0.3573
046,0.5659,0.5083,0.5145,0.5114,0.5373
047,0.4203,0.4294,0.4381,0.4337,0.4269
048,0.4783,0.3773,0.3907,0.3839,0.4259
049,0.3614,0.4132,0.4203,0.4167,0.3871
050,0.6312,0.575,0.5318,0.5525,0.5893
051,0.527,0.4686,0.4699,0.4693,0.4965
052,0.5788,0.4593,0.473,0.466,0.5163
053,0.5862,0.4601,0.495,0.4769,0.5259
054,0.5643,0.4068,0.5287,0.4598,0.5067
055,0.3785,0.4268,0.4152,0.4209,0.3986
056,0.4849,0.4135,0.443,0.4278,0.4545
057,0.4303,0.3353,0.3572,0.3459,0.3835
058,0.5712,0.4341,0.4596,0.4465,0.5012
059,0.3612,0.3967,0.3674,0.3815,0.3711
060,0.4604,0.4133,0.3834,0.3978,0.4268
061,0.4534,0.4365,0.4189,0.4275,0.4401
062,0.4309,0.5294,0.4692,0.4975,0.4618
063,0.3821,0.4648,0.482,0.4732,0.4228
064,0.5219,0.4952,0.4812,0.4881,0.5044
065,0.5358,0.4664,0.4706,0.4685,0.4999
066,0.4318,0.4629,0.405,0.432,0.4319
067,0.709,0.6083,0.5867,0.5973,0.6484
068,0.6308,0.4443,0.4858,0.4641,0.5348
069,0.4068,0.512,0.4287,0.4666,0.4346
070,0.5308,0.4045,0.3949,0.3996,0.456
071,0.619,0.5442,0.5479,0.546,0.5802
072,0.4378,0.4311,0.4466,0.4388,0.4383
073,0.6697,0.519,0.5664,0.5417,0.5989
074,0.5878,0.5285,0.5064,0.5173,0.5503
075,0.4137,0.3039,0.3696,0.3335,0.3693
076,0.5805,0.5302,0.5138,0.5218,0.5496
077,0.6763,0.493,0.5004,0.4967,0.5727
078,0.6124,0.5802,0.5212,0.5491,0.579
079,0.5157,0.518,0.4678,0.4917,0.5034
080,0.6115,0.5165,0.4325,0.4708,0.532
081,0.6191,0.5112,0.4717,0.4907,0.5475
082,0.671,0.555,0.6059,0.5794,0.6218
083,0.5962,0.5047,0.526,0.5151,0.5527
084,0.6747,0.4519,0.5072,0.4779,0.5595
085,0.3488,0.3923,0.4024,0.3973,0.3715
086,0.4346,0.3632,0.4039,0.3824,0.4069
087,0.4681,0.4674,0.4588,0.4631,0.4656
088,0.412,0.4573,0.4446,0.4509,0.4306
089,0.6234,0.4631,0.4465,0.4546,0.5258
090,0.4775,0.4258,0.4312,0.4284,0.4516
091,0.2592,0.3146,0.3076,0.3111,0.2828
092,0.589,0.5491,0.5643,0.5566,0.5723
093,0.4615,0.4109,0.4162,0.4135,0.4362
094,0.5887,0.4675,0.4841,0.4757,0.5262
095,0.5002,0.5243,0.517,0.5206,0.5102
096,0.5653,0.4235,0.4951,0.4565,0.5051
097,0.5248,0.3842,0.4468,0.4132,0.4624
098,0.5755,0.4715,0.4308,0.4502,0.5052
099,0.6048,0.5414,0.5671,0.5539,0.5782
100,0.5123,0.4535,0.4393,0.4463,0.477
101,0.4626,0.4165,0.4197,0.4181,0.4392
102,0.3998,0.3858,0.3954,0.3906,0.3951
103,0.5809,0.5276,0.5028,0.5149,0.5459
104,0.5037,0.4987,0.4482,0.4721,0.4874
105,0.4347,0.4184,0.4274,0.4228,0.4287
106,0.3334,0.3028,0.3044,0.3036,0.3178
107,0.5236,0.5043,0.4951,0.4996,0.5113
108,0.5381,0.5493,0.5336,0.5414,0.5397
109,0.5029,0.4819,0.4758,0.4788,0.4906
110,0.5279,0.5254,0.5596,0.542,0.5349
111,0.4184,0.4192,0.4577,0.4376,0.4278
112,0.6389,0.5201,0.5653,0.5418,0.5863
113,0.2194,0.3206,0.3229,0.3217,0.2609
114,0.3908,0.2854,0.3622,0.3192,0.3514
115,0.3836,0.4018,0.4463,0.4228,0.4023
116,0.4021,0.3644,0.3795,0.3718,0.3863
117,0.355,0.3583,0.4014,0.3787,0.3664
118,0.3597,0.3887,0.4313,0.4089,0.3827
119,0.4853,0.4538,0.5277,0.488,0.4867
120,0.4444,0.4249,0.4893,0.4548,0.4495
121,0.2744,0.3683,0.3605,0.3644,0.313
122,0.5709,0.4822,0.4845,0.4834,0.5235
123,0.4375,0.3736,0.3803,0.3769,0.4049
124,0.4592,0.528,0.4996,0.5134,0.4848
125,0.4231,0.3566,0.3252,0.3402,0.3771
127,0.5144,0.4823,0.4979,0.49,0.5019
128,0.626,0.5022,0.547,0.5236,0.5703
129,0.4472,0.4465,0.5547,0.4948,0.4698
130,0.5088,0.5009,0.5128,0.5068,0.5078
131,0.2787,0.4291,0.4234,0.4263,0.337
132,0.3401,0.3437,0.32,0.3315,0.3357
133,0.6231,0.4011,0.4863,0.4396,0.5155
134,0.5007,0.4113,0.417,0.4141,0.4533
135,0.4872,0.4362,0.4536,0.4448,0.465
136,0.5434,0.4725,0.4286,0.4494,0.492
137,0.4339,0.4428,0.489,0.4647,0.4488
138,0.447,0.401,0.3854,0.393,0.4183
139,0.5712,0.4977,0.5202,0.5087,0.5381
140,0.5379,0.4853,0.5241,0.504,0.5204
141,0.6478,0.4761,0.5654,0.517,0.575
142,0.4684,0.4562,0.457,0.4566,0.4624
143,0.4891,0.408,0.5375,0.4639,0.4762
144,0.3818,0.4385,0.4224,0.4303,0.4046
145,0.4339,0.4411,0.4673,0.4539,0.4436
146,0.5537,0.4811,0.5566,0.5161,0.5342
147,0.5065,0.3882,0.3865,0.3873,0.439
148,0.337,0.3664,0.3529,0.3595,0.3479
149,0.4814,0.5329,0.5272,0.53,0.5046
150,0.5218,0.4332,0.5071,0.4673,0.493
151,0.4914,0.4083,0.4455,0.4261,0.4564
152,0.4658,0.5239,0.4736,0.4975,0.4811
153,0.5202,0.4585,0.531,0.4921,0.5058
154,0.5241,0.4935,0.5078,0.5005,0.512
155,0.4524,0.5102,0.5072,0.5087,0.4789
156,0.4996,0.4881,0.5183,0.5028,0.5012
157,0.4507,0.4583,0.5012,0.4788,0.4644
158,0.3613,0.3082,0.3317,0.3195,0.3391
159,0.4919,0.4532,0.4971,0.4742,0.4828
160,0.4418,0.3947,0.4157,0.4049,0.4225
161,0.5954,0.4626,0.4833,0.4727,0.527
162,0.3711,0.387,0.3277,0.3549,0.3628
163,0.513,0.4512,0.5326,0.4885,0.5004
164,0.5028,0.5212,0.5548,0.5375,0.5195
165,0.4301,0.3561,0.4131,0.3825,0.4049
166,0.3071,0.391,0.3405,0.364,0.3331
167,0.7202,0.5765,0.5706,0.5735,0.6386
168,0.4259,0.3128,0.3621,0.3356,0.3754
169,0.5067,0.4878,0.4839,0.4858,0.4961
170,0.4503,0.4063,0.4157,0.4109,0.4297
171,0.5254,0.4878,0.5688,0.5252,0.5253
172,0.5287,0.5787,0.5465,0.5622,0.5449
173,0.4194,0.3974,0.3968,0.3971,0.4079
174,0.5065,0.5365,0.5764,0.5557,0.53
175,0.364,0.3791,0.4219,0.3993,0.3808
176,0.6756,0.5724,0.5504,0.5612,0.6131
177,0.5162,0.4608,0.5231,0.49,0.5027
178,0.4165,0.3547,0.3691,0.3617,0.3872
179,0.6774,0.5654,0.5905,0.5777,0.6235
180,0.5243,0.3673,0.3809,0.374,0.4366
181,0.4,0.3753,0.3844,0.3798,0.3896
182,0.5733,0.572,0.5687,0.5704,0.5718
183,0.3398,0.3238,0.3786,0.3491,0.3444
184,0.6333,0.5717,0.5355,0.553,0.5904
185,0.5535,0.4568,0.4895,0.4726,0.5099
186,0.3548,0.3733,0.443,0.4052,0.3783
187,0.5817,0.4716,0.5424,0.5045,0.5404
188,0.4329,0.4488,0.4912,0.469,0.4502
189,0.5537,0.4387,0.5164,0.4744,0.511
190,0.5616,0.446,0.4256,0.4356,0.4906
191,0.536,0.4506,0.4934,0.471,0.5014
192,0.5559,0.4914,0.5282,0.5092,0.5315
193,0.4685,0.3945,0.5018,0.4417,0.4547
194,0.6179,0.5489,0.5309,0.5397,0.5762
195,0.5985,0.5122,0.6066,0.5554,0.5762
196,0.7361,0.5759,0.6386,0.6056,0.6645
197,0.5004,0.4045,0.4664,0.4333,0.4644
198,0.6104,0.2844,0.5509,0.3752,0.4647
199,0.5614,0.666,0.5843,0.6225,0.5903
200,0.4504,0.4337,0.4406,0.4371,0.4437
