video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.7402,0.6884,0.5993,0.6408,0.6869
002,0.6707,0.631,0.4935,0.5538,0.6067
003,0.693,0.6283,0.5895,0.6083,0.6479
004,0.6563,0.6212,0.5979,0.6093,0.6319
005,0.6926,0.6417,0.5693,0.6034,0.6449
006,0.7338,0.6867,0.6263,0.6551,0.6922
007,0.7759,0.6385,0.5811,0.6084,0.682
008,0.6227,0.5856,0.5452,0.5647,0.5923
009,0.6581,0.5982,0.5415,0.5684,0.61
010,0.6503,0.6397,0.5254,0.5769,0.6114
011,0.6884,0.7201,0.6267,0.6702,0.6792
012,0.5538,0.5587,0.4757,0.5139,0.5331
013,0.7736,0.6343,0.5571,0.5932,0.6715
014,0.7998,0.6845,0.5872,0.6321,0.7061
015,0.7272,0.6735,0.62,0.6457,0.684
016,0.6563,0.5862,0.4846,0.5306,0.5868
017,0.7566,0.6105,0.5519,0.5797,0.6565
018,0.6819,0.6897,0.5856,0.6334,0.6568
019,0.7405,0.7231,0.5816,0.6447,0.6893
020,0.7251,0.5949,0.5652,0.5797,0.6443
021,0.63,0.6991,0.6087,0.6508,0.6402
022,0.7554,0.645,0.6101,0.627,0.6852
023,0.7675,0.7402,0.6224,0.6762,0.719
024,0.8064,0.6588,0.5891,0.622,0.7023
025,0.7007,0.5984,0.6257,0.6118,0.6532
026,0.583,0.6719,0.6319,0.6513,0.6153
027,0.7026,0.6395,0.598,0.6181,0.6576
028,0.6929,0.6713,0.6116,0.6401,0.6654
029,0.7223,0.6145,0.5979,0.6061,0.6591
030,0.7091,0.6659,0.5986,0.6305,0.6675
031,0.7696,0.6861,0.6633,0.6745,0.7189
032,0.7058,0.5305,0.5777,0.5531,0.6202
033,0.6165,0.6303,0.5538,0.5896,0.6027
034,0.6337,0.511,0.5689,0.5384,0.5822
035,0.8053,0.6916,0.6212,0.6545,0.7221
036,0.6517,0.6432,0.5761,0.6078,0.629
037,0.6839,0.6608,0.6412,0.6508,0.6669
038,0.8342,0.7207,0.6697,0.6943,0.7578
039,0.7143,0.6436,0.6338,0.6387,0.6744
040,0.6964,0.6822,0.6056,0.6416,0.6679
041,0.6737,0.53,0.592,0.5593,0.6112
042,0.6713,0.6894,0.5296,0.599,0.6331
043,0.6801,0.6252,0.5274,0.5722,0.6215
044,0.7121,0.6445,0.6225,0.6333,0.6704
045,0.6916,0.6333,0.578,0.6044,0.6451
