video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.4738,0.6316,0.5366,0.5802,0.5216
002,0.5136,0.6134,0.4857,0.5421,0.5275
003,0.4629,0.5567,0.4695,0.5094,0.485
004,0.4621,0.552,0.5026,0.5262,0.492
005,0.2303,0.4221,0.382,0.401,0.2926
006,0.3126,0.5296,0.4153,0.4655,0.3741
007,0.4837,0.5098,0.5174,0.5136,0.4982
008,0.5875,0.5768,0.5089,0.5407,0.5632
009,0.5497,0.5474,0.5104,0.5283,0.5388
010,0.5566,0.6201,0.5404,0.5775,0.5669
011,0.4772,0.5133,0.4951,0.504,0.4902
012,0.2742,0.4742,0.3737,0.418,0.3311
013,0.5831,0.682,0.5259,0.5938,0.5884
014,0.5097,0.5927,0.4385,0.5041,0.5069
015,0.3069,0.4551,0.3921,0.4213,0.3551
016,0.5022,0.5774,0.4795,0.5239,0.5129
017,0.4381,0.528,0.4329,0.4757,0.4562
018,0.5161,0.625,0.4655,0.5336,0.5247
019,0.4407,0.6523,0.5075,0.5708,0.4974
020,0.7054,0.636,0.5663,0.5991,0.648
021,0.5367,0.5546,0.5243,0.539,0.5379
022,0.6291,0.649,0.56,0.6012,0.6149
023,0.5532,0.5717,0.5307,0.5504,0.5518
024,0.5392,0.6258,0.462,0.5316,0.5353
025,0.5532,0.6124,0.508,0.5554,0.5543
026,0.5115,0.5525,0.4935,0.5213,0.5164
027,0.3759,0.5111,0.4088,0.4543,0.4114
028,0.3272,0.6015,0.4072,0.4856,0.391
029,0.5261,0.5346,0.4652,0.4975,0.5114
030,0.5536,0.605,0.4864,0.5392,0.5463
031,0.347,0.5109,0.5016,0.5062,0.4117
032,0.6345,0.56,0.5283,0.5437,0.5856
033,0.3878,0.5278,0.4251,0.4709,0.4253
034,0.7439,0.6417,0.6101,0.6255,0.6796
035,0.5018,0.5128,0.4661,0.4884,0.495
036,0.4436,0.459,0.4147,0.4357,0.4396
037,0.5483,0.4951,0.4624,0.4782,0.5108
038,0.3709,0.5158,0.4514,0.4814,0.419
039,0.4177,0.4935,0.5203,0.5065,0.4578
040,0.488,0.5063,0.5162,0.5112,0.4994
041,0.4341,0.4861,0.4185,0.4498,0.4418
042,0.311,0.5179,0.4376,0.4744,0.3757
043,0.5037,0.5472,0.4142,0.4715,0.4871
044,0.477,0.4925,0.4767,0.4845,0.4807
045,0.4745,0.563,0.4558,0.5037,0.4887
046,0.5432,0.6471,0.486,0.5551,0.5491
047,0.4492,0.5653,0.4591,0.5067,0.4762
048,0.4947,0.5152,0.4702,0.4917,0.4932
049,0.4533,0.5157,0.4628,0.4878,0.4699
050,0.5234,0.6423,0.533,0.5826,0.5514
051,0.5113,0.5484,0.424,0.4782,0.4942
052,0.4961,0.5154,0.3879,0.4427,0.4679
053,0.4392,0.4836,0.4433,0.4626,0.4506
054,0.3875,0.4596,0.3953,0.425,0.4054
055,0.4527,0.5433,0.4885,0.5144,0.4816
056,0.5159,0.4835,0.4519,0.4672,0.4903
057,0.5074,0.5037,0.5341,0.5185,0.5129
058,0.5162,0.515,0.5002,0.5075,0.5118
059,0.5758,0.5944,0.4696,0.5247,0.5491
060,0.4701,0.5031,0.4851,0.4939,0.4817
061,0.5255,0.5726,0.5005,0.5341,0.5298
062,0.4521,0.5987,0.4938,0.5412,0.4927
063,0.4686,0.6202,0.524,0.568,0.5136
064,0.4994,0.5998,0.4398,0.5075,0.5034
065,0.3671,0.4897,0.4083,0.4453,0.4024
066,0.5128,0.541,0.4565,0.4952,0.5038
067,0.4886,0.5806,0.4917,0.5325,0.5096
068,0.6052,0.5588,0.5707,0.5647,0.5842
069,0.2162,0.4732,0.4411,0.4566,0.2935
070,0.756,0.6707,0.6309,0.6502,0.6991
071,0.636,0.5916,0.5102,0.5479,0.5887
072,0.5639,0.5651,0.4145,0.4782,0.5175
073,0.604,0.5147,0.4888,0.5014,0.5479
074,0.3736,0.4959,0.4425,0.4677,0.4154
075,0.4866,0.5021,0.4483,0.4737,0.4801
076,0.3229,0.5418,0.3949,0.4569,0.3784
077,0.6096,0.568,0.4848,0.5231,0.5631
078,0.5065,0.6103,0.4752,0.5343,0.52
079,0.4585,0.5064,0.4654,0.485,0.4714
080,0.5312,0.6082,0.4856,0.5401,0.5356
081,0.4986,0.5489,0.4458,0.492,0.4953
082,0.4483,0.545,0.4914,0.5168,0.4802
083,0.3963,0.4471,0.3975,0.4209,0.4082
084,0.4255,0.4368,0.3953,0.415,0.4202
085,0.6042,0.5332,0.4933,0.5125,0.5546
086,0.3864,0.4973,0.3852,0.4341,0.4089
087,0.4647,0.5094,0.5367,0.5227,0.492
088,0.2969,0.4334,0.4674,0.4497,0.3577
089,0.4166,0.6196,0.4213,0.5016,0.4551
090,0.4497,0.4477,0.3838,0.4133,0.4307
091,0.3989,0.4865,0.413,0.4468,0.4215
092,0.5974,0.5068,0.5027,0.5047,0.5472
093,0.415,0.4335,0.3928,0.4121,0.4136
094,0.5334,0.567,0.4836,0.522,0.5276
095,0.5428,0.4952,0.4461,0.4694,0.5034
096,0.4249,0.4807,0.421,0.4489,0.4366
097,0.6286,0.604,0.5466,0.5739,0.6
098,0.3691,0.4537,0.4416,0.4476,0.4046
099,0.5615,0.578,0.5289,0.5524,0.5569
100,0.6016,0.5552,0.4397,0.4908,0.5406
101,0.404,0.5016,0.5015,0.5016,0.4475
102,0.6169,0.6307,0.5939,0.6118,0.6143
103,0.646,0.6365,0.563,0.5975,0.6208
104,0.5902,0.5515,0.4483,0.4946,0.5382
105,0.5533,0.5573,0.4768,0.5139,0.5329
106,0.6017,0.5882,0.5961,0.5921,0.5969
107,0.5465,0.5231,0.4626,0.491,0.5173
108,0.61,0.561,0.505,0.5315,0.5681
109,0.5708,0.6009,0.512,0.5529,0.5617
110,0.4692,0.6211,0.4866,0.5457,0.5046
111,0.6061,0.5171,0.489,0.5027,0.5496
112,0.634,0.6672,0.5716,0.6158,0.6247
113,0.7145,0.5519,0.5234,0.5373,0.6133
114,0.5645,0.5329,0.4858,0.5083,0.5349
115,0.5052,0.5707,0.5295,0.5493,0.5263
116,0.5488,0.4823,0.4603,0.471,0.5069
117,0.6109,0.4484,0.4686,0.4583,0.5237
118,0.5635,0.6047,0.5418,0.5715,0.5675
119,0.5792,0.5923,0.5178,0.5526,0.5656
120,0.4964,0.5049,0.4811,0.4927,0.4946
121,0.6094,0.5901,0.5346,0.561,0.5842
122,0.4733,0.4544,0.436,0.445,0.4587
123,0.6103,0.5726,0.5032,0.5357,0.5706
124,0.5367,0.5444,0.476,0.5079,0.5219
125,0.6201,0.5776,0.5358,0.5559,0.5863
127,0.5339,0.4959,0.5284,0.5116,0.5226
128,0.5315,0.5332,0.4859,0.5084,0.5197
129,0.6397,0.4976,0.5585,0.5263,0.5775
130,0.5577,0.567,0.533,0.5495,0.5536
131,0.4411,0.5357,0.4727,0.5022,0.4697
132,0.6582,0.5584,0.5671,0.5627,0.6067
133,0.3595,0.4719,0.4332,0.4517,0.4003
134,0.6071,0.5928,0.5059,0.546,0.5749
135,0.6039,0.5244,0.503,0.5135,0.5551
136,0.6368,0.5568,0.4852,0.5186,0.5717
137,0.5307,0.4679,0.4733,0.4706,0.4988
138,0.6943,0.5571,0.5111,0.5331,0.6031
139,0.7515,0.6324,0.5861,0.6084,0.6724
140,0.5962,0.4824,0.4624,0.4722,0.527
141,0.7044,0.635,0.5926,0.613,0.6555
142,0.4718,0.4967,0.4799,0.4881,0.4798
143,0.534,0.5356,0.5302,0.5329,0.5334
144,0.5078,0.5724,0.4162,0.4819,0.4946
145,0.6365,0.63,0.652,0.6408,0.6386
146,0.6269,0.5544,0.5207,0.537,0.5785
147,0.5014,0.5836,0.4558,0.5118,0.5066
148,0.485,0.4473,0.4274,0.4371,0.4598
149,0.6832,0.6186,0.5453,0.5797,0.6272
150,0.4766,0.5362,0.4707,0.5013,0.4886
151,0.43,0.513,0.4324,0.4692,0.4488
152,0.5287,0.6111,0.4978,0.5487,0.5385
153,0.6103,0.4947,0.4944,0.4946,0.5464
154,0.4425,0.5365,0.4314,0.4783,0.4597
155,0.6598,0.5869,0.5251,0.5543,0.6025
156,0.6615,0.5295,0.4496,0.4863,0.5605
157,0.4468,0.5282,0.5126,0.5203,0.4808
158,0.5934,0.5889,0.5681,0.5783,0.5858
159,0.5194,0.5418,0.4482,0.4906,0.5046
160,0.5264,0.4573,0.4517,0.4545,0.4878
161,0.6362,0.525,0.4528,0.4862,0.5512
162,0.6542,0.6134,0.5699,0.5909,0.6209
163,0.3228,0.28,0.3364,0.3056,0.314
164,0.4932,0.4899,0.4448,0.4663,0.4793
165,0.5895,0.4517,0.4588,0.4552,0.5137
166,0.4664,0.5139,0.4063,0.4538,0.46
167,0.5321,0.4695,0.5398,0.5022,0.5167
168,0.5619,0.5307,0.485,0.5068,0.533
169,0.584,0.5182,0.5018,0.5099,0.5444
170,0.494,0.54,0.4811,0.5088,0.5013
171,0.5864,0.4679,0.4966,0.4818,0.529
172,0.4892,0.5496,0.47,0.5067,0.4978
173,0.7228,0.5851,0.5583,0.5714,0.6382
174,0.7066,0.6056,0.6592,0.6313,0.6668
175,0.5821,0.567,0.5415,0.554,0.5677
176,0.5684,0.5682,0.5795,0.5738,0.5711
177,0.5264,0.5045,0.4861,0.4951,0.5103
178,0.6249,0.4727,0.493,0.4826,0.5446
179,0.6143,0.6132,0.5519,0.5809,0.5972
180,0.4781,0.436,0.4146,0.425,0.45
181,0.5004,0.4721,0.4123,0.4402,0.4684
182,0.5606,0.5126,0.4748,0.493,0.5246
183,0.513,0.5013,0.4201,0.4571,0.4834
184,0.6112,0.5409,0.5569,0.5488,0.5783
185,0.5075,0.4785,0.467,0.4727,0.4894
186,0.4995,0.4887,0.4285,0.4566,0.4771
187,0.5117,0.4835,0.5109,0.4969,0.5042
188,0.5635,0.5061,0.4732,0.4891,0.5237
189,0.6012,0.5414,0.5076,0.5239,0.5599
190,0.521,0.5436,0.5128,0.5278,0.5244
