video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5106,0.5844,0.5415,0.5621,0.5351
002,0.4378,0.5829,0.4591,0.5137,0.4727
003,0.5498,0.5992,0.5767,0.5877,0.5681
004,0.5532,0.6141,0.5326,0.5705,0.5617
005,0.5341,0.6096,0.5684,0.5883,0.5599
006,0.4704,0.624,0.5769,0.5995,0.5272
007,0.5749,0.5764,0.5294,0.5519,0.5632
008,0.576,0.6331,0.5629,0.5959,0.5858
009,0.4672,0.5335,0.5041,0.5184,0.4915
010,0.6088,0.6605,0.5473,0.5986,0.6036
011,0.4288,0.5237,0.4926,0.5077,0.4649
012,0.2959,0.4097,0.3686,0.3881,0.3358
013,0.4618,0.5505,0.5114,0.5302,0.4937
014,0.5552,0.6602,0.577,0.6158,0.584
015,0.5106,0.5473,0.5421,0.5447,0.5271
016,0.5557,0.536,0.465,0.498,0.5253
017,0.5744,0.5663,0.5138,0.5388,0.556
018,0.5028,0.5938,0.5342,0.5624,0.5309
019,0.5586,0.6334,0.5809,0.606,0.5813
020,0.5164,0.5317,0.5283,0.53,0.5231
021,0.5024,0.6153,0.526,0.5671,0.5328
022,0.5965,0.6375,0.5522,0.5918,0.5941
023,0.6313,0.6068,0.5956,0.6012,0.6159
024,0.5883,0.5765,0.5419,0.5586,0.5731
025,0.6066,0.6628,0.6103,0.6355,0.6207
026,0.5205,0.6396,0.6145,0.6268,0.5687
027,0.5229,0.6317,0.523,0.5722,0.5464
028,0.461,0.5472,0.4959,0.5203,0.4888
029,0.482,0.5365,0.4344,0.4801,0.481
030,0.529,0.5319,0.5272,0.5296,0.5293
031,0.5457,0.6015,0.5628,0.5815,0.563
032,0.5554,0.5218,0.5165,0.5192,0.5367
033,0.5174,0.5411,0.5014,0.5205,0.5189
034,0.4192,0.3982,0.4855,0.4375,0.4281
035,0.6657,0.5887,0.5305,0.5581,0.6071
036,0.5256,0.5606,0.4929,0.5246,0.5251
037,0.6093,0.6507,0.5891,0.6184,0.6138
038,0.5979,0.564,0.5733,0.5686,0.5829
039,0.5101,0.5804,0.554,0.5669,0.537
040,0.6101,0.6158,0.5919,0.6036,0.6069
041,0.5014,0.5117,0.4351,0.4703,0.4853
042,0.5238,0.6094,0.5253,0.5642,0.5433
043,0.5986,0.5703,0.5388,0.5541,0.5755
044,0.5697,0.5232,0.4978,0.5102,0.5383
045,0.5661,0.5916,0.5375,0.5633,0.5647
046,0.5713,0.6016,0.5391,0.5686,0.57
047,0.4758,0.5749,0.5011,0.5355,0.5039
048,0.5971,0.5636,0.5614,0.5625,0.5793
049,0.5188,0.5204,0.516,0.5182,0.5185
050,0.5712,0.6007,0.5654,0.5825,0.5768
051,0.5781,0.6016,0.5744,0.5877,0.5828
052,0.5436,0.5264,0.4506,0.4856,0.5129
053,0.5601,0.5551,0.4692,0.5085,0.5331
054,0.5457,0.6458,0.5653,0.6029,0.5729
055,0.5349,0.5313,0.5243,0.5278,0.5313
056,0.5333,0.53,0.5136,0.5216,0.5274
057,0.609,0.5432,0.5247,0.5338,0.5689
058,0.5964,0.5597,0.5339,0.5465,0.5704
059,0.5472,0.6105,0.5781,0.5939,0.5696
060,0.5486,0.519,0.5055,0.5121,0.5297
061,0.58,0.5717,0.5542,0.5628,0.5713
062,0.5162,0.6298,0.5321,0.5768,0.5448
063,0.5901,0.5475,0.4821,0.5127,0.5487
064,0.6127,0.6291,0.5631,0.5943,0.6033
065,0.5353,0.5638,0.4921,0.5255,0.5304
066,0.5303,0.5694,0.4917,0.5277,0.529
067,0.5921,0.5867,0.5492,0.5674,0.5795
068,0.5439,0.5686,0.5221,0.5443,0.5441
069,0.5466,0.5783,0.5307,0.5535,0.55
070,0.7187,0.6448,0.613,0.6285,0.6706
071,0.5708,0.6142,0.5199,0.5631,0.5669
072,0.6051,0.5718,0.5452,0.5582,0.5807
073,0.7119,0.6384,0.5958,0.6164,0.6607
074,0.6553,0.601,0.5263,0.5612,0.6046
075,0.4571,0.5798,0.5393,0.5588,0.5029
076,0.5451,0.5766,0.5027,0.5371,0.5411
077,0.5547,0.5638,0.4785,0.5177,0.5355
078,0.6081,0.5976,0.5486,0.572,0.5895
079,0.6059,0.6308,0.5614,0.5941,0.5999
080,0.5577,0.5365,0.4465,0.4874,0.5202
081,0.5549,0.5603,0.4835,0.5191,0.5364
082,0.581,0.5952,0.5602,0.5772,0.5791
083,0.505,0.5899,0.5471,0.5677,0.5345
084,0.5848,0.5386,0.4976,0.5173,0.549
085,0.6073,0.6492,0.5741,0.6093,0.6083
086,0.5723,0.483,0.4561,0.4692,0.5156
087,0.517,0.5283,0.5863,0.5558,0.5357
088,0.5361,0.5735,0.5353,0.5538,0.5448
089,0.565,0.5344,0.5132,0.5236,0.5435
090,0.5379,0.5492,0.5132,0.5306,0.5342
091,0.3648,0.4701,0.4886,0.4792,0.4143
092,0.5305,0.6183,0.5001,0.553,0.5415
093,0.5997,0.5424,0.5298,0.536,0.5661
094,0.6478,0.6063,0.5147,0.5568,0.5988
095,0.5961,0.6215,0.5714,0.5954,0.5958
096,0.6298,0.5625,0.5601,0.5613,0.5936
097,0.5415,0.497,0.4523,0.4736,0.5053
098,0.6026,0.7,0.6443,0.671,0.635
