video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6833,0.6162,0.5972,0.6066,0.6427
002,0.7168,0.581,0.5761,0.5786,0.6403
003,0.6965,0.591,0.5804,0.5856,0.6363
004,0.5989,0.5162,0.5469,0.5311,0.5629
005,0.5942,0.5834,0.5754,0.5794,0.5867
006,0.5962,0.5641,0.6139,0.588,0.5921
007,0.5661,0.5758,0.5969,0.5862,0.576
008,0.608,0.5703,0.5788,0.5745,0.5908
009,0.5417,0.5664,0.5848,0.5755,0.5581
010,0.6314,0.6159,0.5617,0.5875,0.6087
011,0.6061,0.6093,0.6,0.6047,0.6054
012,0.6263,0.563,0.541,0.5518,0.5867
013,0.5881,0.5788,0.5597,0.5691,0.5785
014,0.6138,0.5996,0.5261,0.5604,0.5859
015,0.6361,0.5497,0.5484,0.549,0.5894
016,0.5715,0.565,0.5191,0.5411,0.5559
017,0.6368,0.6061,0.6034,0.6047,0.6204
018,0.6075,0.5767,0.5832,0.5799,0.5934
019,0.5834,0.5905,0.5817,0.586,0.5847
020,0.7162,0.5977,0.6199,0.6086,0.658
021,0.6671,0.5942,0.5942,0.5942,0.6285
022,0.6532,0.6027,0.6396,0.6206,0.6365
023,0.7546,0.627,0.6244,0.6257,0.6841
024,0.7628,0.6135,0.621,0.6173,0.6823
025,0.6785,0.5576,0.6264,0.59,0.6312
026,0.6682,0.6383,0.598,0.6175,0.6418
027,0.6214,0.5577,0.5818,0.5695,0.5944
028,0.5863,0.5552,0.5907,0.5724,0.5793
029,0.6196,0.5453,0.5233,0.5341,0.5737
030,0.5611,0.5517,0.5683,0.5599,0.5605
031,0.5545,0.5538,0.6007,0.5763,0.5652
032,0.6538,0.5144,0.5367,0.5253,0.5826
033,0.5578,0.5862,0.5924,0.5893,0.5731
034,0.5728,0.486,0.5465,0.5145,0.5421
035,0.7413,0.6052,0.5419,0.5718,0.6456
036,0.5976,0.557,0.5315,0.544,0.5695
037,0.666,0.6232,0.6762,0.6486,0.6572
038,0.5428,0.5549,0.5372,0.5459,0.5444
039,0.5745,0.5093,0.5561,0.5317,0.5523
040,0.6863,0.5903,0.6093,0.5996,0.64
041,0.6427,0.5729,0.5487,0.5605,0.5988
042,0.5363,0.5947,0.5482,0.5705,0.5529
043,0.6205,0.5427,0.5337,0.5382,0.5764
044,0.5333,0.5215,0.5106,0.516,0.5245
045,0.5569,0.5617,0.5218,0.541,0.5488
046,0.6243,0.5799,0.6071,0.5932,0.6083
047,0.5564,0.5318,0.555,0.5432,0.5497
048,0.6961,0.6253,0.6097,0.6174,0.6544
049,0.6254,0.5694,0.5952,0.582,0.6029
050,0.5387,0.6229,0.5366,0.5765,0.557
051,0.6917,0.4943,0.5218,0.5077,0.5856
052,0.6714,0.5825,0.6111,0.5965,0.6317
053,0.5117,0.5351,0.5418,0.5384,0.5247
054,0.6705,0.5457,0.5526,0.5491,0.6038
055,0.5552,0.526,0.5487,0.5371,0.546
056,0.6592,0.5537,0.4592,0.502,0.57
057,0.6527,0.6164,0.6725,0.6432,0.648
058,0.5737,0.5542,0.5646,0.5593,0.5664
059,0.7406,0.6397,0.5842,0.6107,0.6694
060,0.7234,0.5824,0.5629,0.5725,0.6391
061,0.7448,0.6197,0.621,0.6203,0.6769
062,0.5676,0.5735,0.5789,0.5762,0.5719
063,0.6225,0.5797,0.5363,0.5572,0.588
064,0.6961,0.5876,0.5805,0.584,0.6351
065,0.6678,0.6004,0.5601,0.5795,0.6205
066,0.7738,0.5955,0.5959,0.5957,0.6732
067,0.6694,0.579,0.5508,0.5645,0.6125
068,0.8369,0.5927,0.6414,0.6161,0.7097
069,0.4588,0.5433,0.5685,0.5556,0.5026
070,0.8277,0.6236,0.6477,0.6354,0.7189
071,0.6271,0.5472,0.5521,0.5496,0.5858
072,0.6808,0.5922,0.5931,0.5927,0.6337
073,0.6699,0.604,0.619,0.6114,0.6393
074,0.7086,0.6108,0.5656,0.5873,0.6423
075,0.5939,0.5346,0.5803,0.5565,0.5746
076,0.5265,0.5589,0.4556,0.502,0.514
077,0.5876,0.5987,0.5913,0.595,0.5913
078,0.6254,0.5624,0.5822,0.5721,0.5976
079,0.6655,0.6071,0.598,0.6025,0.6324
080,0.6173,0.5766,0.5599,0.5681,0.5917
081,0.7258,0.5827,0.5508,0.5663,0.6362
082,0.5967,0.5529,0.5477,0.5503,0.5725
083,0.709,0.6267,0.6154,0.621,0.6621
084,0.6706,0.4873,0.5357,0.5104,0.5796
085,0.0689,0.1715,0.1214,0.1422,0.0928
086,0.6621,0.5719,0.5831,0.5774,0.6169
087,0.4652,0.524,0.6021,0.5604,0.5083
088,0.6273,0.6066,0.6154,0.611,0.619
089,0.5628,0.5474,0.5333,0.5403,0.5513
090,0.5801,0.5435,0.5116,0.5271,0.5523
091,0.5366,0.5797,0.5883,0.584,0.5593
092,0.6046,0.4666,0.4927,0.4793,0.5347
093,0.7099,0.5461,0.5658,0.5558,0.6235
094,0.5847,0.5143,0.5318,0.5229,0.5521
095,0.7179,0.6106,0.5773,0.5935,0.6498
096,0.6447,0.6296,0.6131,0.6213,0.6328
097,0.6364,0.5753,0.5271,0.5501,0.5901
098,0.6555,0.5399,0.5908,0.5642,0.6064
099,0.6673,0.6321,0.6006,0.616,0.6406
100,0.6737,0.5492,0.5468,0.548,0.6044
101,0.5368,0.5111,0.5191,0.5151,0.5257
102,0.6305,0.6,0.6333,0.6162,0.6233
103,0.7377,0.6079,0.5918,0.5998,0.6616
104,0.6818,0.5117,0.508,0.5098,0.5834
105,0.6365,0.529,0.5247,0.5268,0.5765
106,0.7542,0.5963,0.6232,0.6094,0.6741
107,0.6876,0.5516,0.5634,0.5575,0.6157
108,0.6943,0.5668,0.583,0.5748,0.6289
109,0.6106,0.559,0.5862,0.5723,0.5908
110,0.5785,0.5796,0.5993,0.5893,0.5839
111,0.7158,0.6204,0.6329,0.6266,0.6682
112,0.706,0.6142,0.6681,0.64,0.6714
113,0.7438,0.594,0.6192,0.6064,0.6681
114,0.5639,0.4985,0.5164,0.5073,0.5341
115,0.638,0.5698,0.5826,0.5761,0.6055
116,0.6173,0.5846,0.624,0.6037,0.6104
117,0.6654,0.5746,0.6161,0.5946,0.628
118,0.6686,0.553,0.6187,0.584,0.6235
119,0.7027,0.5781,0.6319,0.6038,0.6495
120,0.626,0.6002,0.6223,0.611,0.6184
121,0.5319,0.5602,0.562,0.5611,0.5461
122,0.5571,0.5532,0.5538,0.5535,0.5553
123,0.7614,0.5371,0.4983,0.517,0.6158
124,0.5436,0.5251,0.5587,0.5414,0.5425
125,0.556,0.5005,0.5018,0.5012,0.5272
127,0.581,0.5615,0.5787,0.57,0.5755
128,0.5522,0.5913,0.6323,0.6111,0.5801
129,0.6947,0.6273,0.6666,0.6464,0.6697
130,0.6188,0.5572,0.5748,0.5659,0.5912
