video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.7029,0.6914,0.6335,0.6612,0.6814
002,0.6885,0.676,0.5666,0.6165,0.6505
003,0.5337,0.592,0.5488,0.5696,0.551
004,0.605,0.6569,0.6517,0.6543,0.6287
005,0.6442,0.6048,0.5215,0.5601,0.5992
006,0.588,0.6486,0.584,0.6146,0.601
007,0.6866,0.6874,0.6015,0.6416,0.6634
008,0.7087,0.6514,0.5958,0.6224,0.6627
009,0.6711,0.7036,0.6177,0.6579,0.6644
010,0.6777,0.657,0.6203,0.6381,0.6573
011,0.6917,0.6416,0.5589,0.5974,0.6411
012,0.5105,0.5331,0.4563,0.4918,0.5009
013,0.6013,0.6076,0.5567,0.581,0.591
014,0.7358,0.7119,0.6348,0.6711,0.702
015,0.7734,0.6959,0.6496,0.6719,0.7191
016,0.72,0.7133,0.6052,0.6548,0.6859
017,0.7354,0.6741,0.5835,0.6255,0.676
018,0.7811,0.684,0.6297,0.6557,0.7129
019,0.6225,0.6422,0.5817,0.6105,0.6164
020,0.7647,0.7073,0.6445,0.6745,0.7168
021,0.7,0.6141,0.5892,0.6014,0.647
022,0.7296,0.7248,0.6539,0.6875,0.7079
023,0.7972,0.6999,0.6941,0.697,0.7437
024,0.6943,0.5996,0.5994,0.5995,0.6434
025,0.6745,0.6745,0.6775,0.676,0.6753
026,0.7407,0.6914,0.6982,0.6948,0.717
027,0.7446,0.678,0.6399,0.6584,0.6989
028,0.5863,0.6358,0.5759,0.6044,0.5952
029,0.6616,0.6508,0.6144,0.6321,0.6465
030,0.6829,0.6472,0.6135,0.6299,0.6553
031,0.7314,0.7553,0.6796,0.7154,0.7233
032,0.7332,0.6103,0.6419,0.6257,0.6752
033,0.7319,0.7458,0.6412,0.6895,0.7101
034,0.6362,0.5236,0.5687,0.5452,0.5872
035,0.7469,0.7634,0.6868,0.7231,0.7348
036,0.7287,0.6204,0.5868,0.6032,0.66
037,0.8021,0.6712,0.6794,0.6753,0.7332
038,0.7088,0.6383,0.6179,0.628,0.6659
039,0.74,0.747,0.7031,0.7244,0.7321
040,0.758,0.6848,0.6286,0.6555,0.703
041,0.6144,0.5831,0.5649,0.5738,0.5934
042,0.5644,0.6914,0.5863,0.6345,0.5974
043,0.7835,0.654,0.6001,0.6259,0.6959
044,0.7569,0.6165,0.598,0.6071,0.6738
045,0.7335,0.6108,0.6065,0.6087,0.6653
046,0.658,0.6337,0.5697,0.6,0.6276
047,0.5154,0.5469,0.4827,0.5128,0.5141
048,0.6983,0.7696,0.6679,0.7152,0.7066
049,0.78,0.6655,0.6618,0.6636,0.7171
050,0.7875,0.6456,0.6038,0.624,0.6963
051,0.7945,0.7547,0.6878,0.7197,0.7552
052,0.7499,0.6524,0.6549,0.6536,0.6985
053,0.729,0.7123,0.6455,0.6772,0.7022
054,0.6272,0.6281,0.5842,0.6054,0.6161
055,0.6099,0.5823,0.5845,0.5834,0.5964
056,0.7532,0.6448,0.5649,0.6022,0.6693
057,0.6797,0.5465,0.5881,0.5666,0.618
058,0.7,0.5233,0.5412,0.5321,0.6046
059,0.7306,0.5886,0.6168,0.6024,0.6603
060,0.6896,0.6059,0.5929,0.5993,0.6413
061,0.6148,0.6281,0.5855,0.606,0.6104
062,0.6639,0.6363,0.6221,0.6291,0.646
063,0.676,0.6681,0.6155,0.6407,0.6579
064,0.5446,0.5825,0.5264,0.553,0.5488
065,0.6997,0.6814,0.5949,0.6352,0.6659
066,0.6577,0.5699,0.5751,0.5725,0.6121
067,0.6582,0.6969,0.6435,0.6691,0.6636
068,0.8163,0.6207,0.6441,0.6322,0.7126
069,0.7744,0.7579,0.6077,0.6745,0.721
070,0.7647,0.7515,0.684,0.7162,0.7397
071,0.6908,0.6653,0.605,0.6337,0.661
072,0.7616,0.7651,0.6621,0.7099,0.7348
073,0.7274,0.66,0.6318,0.6456,0.6841
074,0.6047,0.5389,0.5234,0.5311,0.5655
075,0.7441,0.6007,0.6628,0.6302,0.6824
076,0.7357,0.7237,0.6188,0.6672,0.6998
077,0.7629,0.654,0.6389,0.6464,0.6998
078,0.7484,0.6445,0.6772,0.6605,0.7017
079,0.6707,0.6934,0.5645,0.6224,0.6457
080,0.7126,0.658,0.6205,0.6387,0.6736
081,0.827,0.6349,0.6044,0.6193,0.7082
082,0.724,0.5915,0.6041,0.5977,0.6548
083,0.7504,0.6612,0.6118,0.6356,0.6882
084,0.7498,0.5444,0.579,0.5611,0.6419
085,0.7421,0.6059,0.5634,0.5839,0.6536
086,0.6528,0.5684,0.562,0.5652,0.6059
087,0.5151,0.553,0.6044,0.5776,0.5445
088,0.7249,0.699,0.6597,0.6788,0.7011
089,0.631,0.6002,0.569,0.5842,0.6067
090,0.6326,0.606,0.5756,0.5904,0.6108
091,0.7326,0.682,0.6267,0.6532,0.6906
092,0.7682,0.635,0.6349,0.6349,0.6952
093,0.6724,0.6343,0.5765,0.604,0.6364
094,0.7644,0.6711,0.5939,0.6302,0.6908
095,0.7568,0.6782,0.623,0.6494,0.699
096,0.7883,0.6274,0.6193,0.6233,0.6962
097,0.7462,0.585,0.5773,0.5812,0.6534
098,0.7285,0.6564,0.6543,0.6553,0.69
099,0.6653,0.5818,0.5352,0.5575,0.6067
100,0.7224,0.6315,0.581,0.6052,0.6586
101,0.6038,0.5441,0.5453,0.5447,0.5727
102,0.6851,0.5863,0.6427,0.6132,0.6472
103,0.7045,0.6075,0.5185,0.5594,0.6236
104,0.7696,0.6063,0.5974,0.6018,0.6755
105,0.7483,0.5962,0.6392,0.617,0.6763
106,0.7331,0.6592,0.6216,0.6399,0.6833
107,0.8477,0.6942,0.6872,0.6907,0.7612
108,0.7335,0.662,0.665,0.6635,0.6968
109,0.7498,0.6315,0.6802,0.6549,0.6991
110,0.7198,0.5815,0.6096,0.5952,0.6516
111,0.7416,0.6322,0.6177,0.6249,0.6782
112,0.7374,0.639,0.6559,0.6473,0.6895
113,0.6174,0.4848,0.5238,0.5036,0.5547
114,0.6714,0.5599,0.5678,0.5638,0.6129
115,0.6931,0.806,0.7145,0.7575,0.7239
116,0.7421,0.6222,0.6647,0.6427,0.6888
117,0.5931,0.4971,0.4862,0.4916,0.5376
118,0.7379,0.595,0.6742,0.6321,0.6809
119,0.8129,0.6489,0.6496,0.6492,0.7219
120,0.7242,0.6202,0.662,0.6404,0.6798
121,0.68,0.6355,0.6124,0.6237,0.6507
122,0.6561,0.5782,0.5492,0.5633,0.6062
123,0.8074,0.6087,0.6301,0.6192,0.7009
124,0.6811,0.6076,0.564,0.585,0.6294
125,0.6808,0.5558,0.5084,0.531,0.5967
127,0.7858,0.6195,0.68,0.6484,0.7105
128,0.728,0.6963,0.7206,0.7082,0.718
129,0.7445,0.6149,0.6543,0.634,0.6848
130,0.6494,0.7206,0.6639,0.6911,0.6696
131,0.7064,0.6451,0.6394,0.6422,0.6728
132,0.6342,0.4887,0.5189,0.5033,0.5613
133,0.8059,0.6299,0.6216,0.6257,0.7045
134,0.8107,0.6551,0.668,0.6615,0.7285
135,0.4761,0.4758,0.4394,0.4569,0.4663
136,0.7597,0.5347,0.5585,0.5464,0.6356
137,0.7587,0.6151,0.5951,0.6049,0.6731
138,0.7034,0.6165,0.5848,0.6002,0.6477
139,0.7651,0.6552,0.6512,0.6532,0.7047
140,0.739,0.64,0.6054,0.6222,0.6756
141,0.7549,0.6444,0.6718,0.6578,0.703
142,0.7537,0.6291,0.6226,0.6258,0.6838
143,0.7368,0.6169,0.6589,0.6372,0.6834
144,0.7299,0.6018,0.5996,0.6007,0.659
145,0.6625,0.6004,0.594,0.5972,0.6282
146,0.6484,0.5546,0.6672,0.6057,0.6263
147,0.7022,0.5463,0.5442,0.5453,0.6139
148,0.6854,0.6027,0.6304,0.6162,0.649
149,0.6648,0.622,0.6127,0.6173,0.6402
150,0.7576,0.6451,0.6349,0.64,0.6938
151,0.8002,0.6838,0.6324,0.6571,0.7216
152,0.7557,0.6827,0.6628,0.6726,0.7117
153,0.7212,0.6314,0.6934,0.661,0.6898
154,0.6187,0.5559,0.5638,0.5598,0.5878
155,0.7056,0.6342,0.6257,0.6299,0.6656
156,0.5136,0.3983,0.3786,0.3882,0.4422
157,0.7233,0.674,0.6678,0.6709,0.6961
158,0.7042,0.6355,0.6329,0.6342,0.6674
159,0.7227,0.656,0.6456,0.6507,0.6848
160,0.7777,0.6659,0.6816,0.6737,0.722
161,0.7608,0.5619,0.6173,0.5883,0.6635
162,0.5837,0.593,0.567,0.5797,0.5817
163,0.7084,0.5578,0.6576,0.6036,0.6518
164,0.7999,0.5756,0.6365,0.6045,0.6886
165,0.6431,0.5439,0.5466,0.5452,0.5901
166,0.6605,0.6147,0.5434,0.5768,0.6158
167,0.6328,0.6475,0.617,0.6319,0.6324
168,0.7812,0.6429,0.5981,0.6197,0.6912
169,0.6908,0.6298,0.6547,0.6421,0.6655
170,0.769,0.6685,0.6456,0.6569,0.7085
171,0.8575,0.6715,0.7025,0.6866,0.7626
172,0.7466,0.6357,0.608,0.6216,0.6784
173,0.7663,0.6169,0.624,0.6204,0.6857
