video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.7234,0.7499,0.6989,0.7235,0.7235
002,0.8068,0.7324,0.697,0.7142,0.7577
003,0.8059,0.7624,0.6989,0.7293,0.7657
004,0.7925,0.7757,0.7276,0.7509,0.7711
005,0.7956,0.741,0.6812,0.7098,0.7503
006,0.7863,0.7569,0.7167,0.7363,0.7605
007,0.7272,0.7368,0.6789,0.7067,0.7168
008,0.7751,0.7599,0.6866,0.7214,0.7473
009,0.6404,0.734,0.711,0.7223,0.6789
010,0.8136,0.7727,0.7131,0.7417,0.776
011,0.7669,0.7723,0.7121,0.741,0.7537
012,0.6947,0.707,0.6373,0.6703,0.6823
013,0.6965,0.7328,0.6538,0.6911,0.6938
014,0.7891,0.7339,0.6677,0.6992,0.7415
015,0.8406,0.7732,0.742,0.7573,0.7968
016,0.7733,0.74,0.7009,0.7199,0.7457
017,0.7463,0.6989,0.6585,0.6781,0.7106
018,0.8057,0.7394,0.7017,0.72,0.7605
019,0.7843,0.7994,0.7312,0.7638,0.7739
020,0.8151,0.7549,0.7078,0.7306,0.7705
021,0.7605,0.6945,0.6593,0.6765,0.716
022,0.8528,0.7737,0.7404,0.7567,0.8019
023,0.8594,0.7953,0.7412,0.7673,0.8108
024,0.8558,0.7829,0.7378,0.7597,0.8049
025,0.803,0.8037,0.7545,0.7783,0.7905
026,0.8004,0.7605,0.7004,0.7292,0.7631
027,0.8047,0.7401,0.6975,0.7181,0.759
028,0.7956,0.759,0.7145,0.736,0.7647
029,0.7734,0.7446,0.6857,0.7139,0.7425
030,0.8203,0.7419,0.69,0.715,0.7641
031,0.8584,0.7581,0.7429,0.7504,0.8008
032,0.78,0.7292,0.689,0.7086,0.7426
033,0.7547,0.7302,0.7152,0.7226,0.7383
034,0.7964,0.733,0.7423,0.7376,0.7659
035,0.8481,0.7621,0.7025,0.7311,0.7852
036,0.6953,0.7098,0.6525,0.6799,0.6875
037,0.8409,0.7818,0.7266,0.7532,0.7946
038,0.7826,0.7338,0.712,0.7228,0.7515
039,0.7547,0.7294,0.7261,0.7278,0.741
040,0.8049,0.7672,0.7237,0.7448,0.7737
041,0.6792,0.6706,0.6771,0.6738,0.6765
042,0.7815,0.7715,0.692,0.7296,0.7546
043,0.7876,0.7144,0.6727,0.693,0.7373
044,0.7273,0.6877,0.671,0.6792,0.7025
045,0.794,0.7699,0.7244,0.7465,0.7695
046,0.8114,0.7573,0.7017,0.7285,0.7677
047,0.8178,0.7249,0.6999,0.7122,0.7613
048,0.736,0.6986,0.7038,0.7012,0.7182
049,0.763,0.7404,0.7304,0.7353,0.7489
050,0.811,0.7854,0.7339,0.7588,0.784
051,0.7926,0.7323,0.708,0.72,0.7545
052,0.713,0.7227,0.6559,0.6877,0.7001
053,0.6788,0.7597,0.7187,0.7386,0.7074
054,0.7687,0.7206,0.6877,0.7038,0.7348
055,0.7443,0.7188,0.6751,0.6963,0.7195
056,0.7527,0.7155,0.6607,0.687,0.7184
057,0.7833,0.7135,0.7136,0.7135,0.7468
058,0.8143,0.7468,0.706,0.7259,0.7675
059,0.8185,0.7928,0.7363,0.7635,0.79
060,0.8697,0.7841,0.7474,0.7653,0.8142
061,0.7629,0.7584,0.7207,0.739,0.7508
062,0.8209,0.811,0.7243,0.7652,0.792
063,0.6262,0.7564,0.6764,0.7142,0.6673
064,0.8152,0.7714,0.7081,0.7384,0.7749
065,0.8621,0.7746,0.7023,0.7367,0.7945
066,0.7713,0.7484,0.6736,0.709,0.7389
067,0.8657,0.7983,0.7471,0.7718,0.8161
068,0.865,0.7994,0.7467,0.7721,0.8159
069,0.744,0.8125,0.683,0.7422,0.7431
070,0.835,0.7612,0.7628,0.762,0.7968
071,0.7723,0.7726,0.6756,0.7208,0.7457
072,0.7219,0.7477,0.7196,0.7334,0.7276
073,0.7141,0.7336,0.7016,0.7172,0.7157
074,0.7558,0.7772,0.6842,0.7277,0.7415
075,0.7389,0.7024,0.651,0.6757,0.7059
076,0.7786,0.7252,0.681,0.7024,0.7386
077,0.8064,0.7174,0.6869,0.7018,0.7505
078,0.848,0.7765,0.6937,0.7327,0.7862
079,0.7377,0.7759,0.6945,0.7329,0.7353
080,0.7649,0.7075,0.6835,0.6953,0.7285
081,0.7877,0.7173,0.6393,0.6761,0.7277
082,0.7792,0.7106,0.6896,0.7,0.7375
083,0.8576,0.7592,0.7444,0.7517,0.8012
084,0.8087,0.7088,0.69,0.6993,0.75
085,0.6982,0.7866,0.666,0.7213,0.7096
086,0.7981,0.7317,0.6654,0.697,0.7441
087,0.6863,0.7194,0.6948,0.7069,0.6965
088,0.8083,0.7489,0.7357,0.7422,0.7739
089,0.7948,0.7539,0.7267,0.7401,0.7665
090,0.6457,0.6706,0.648,0.6591,0.6523
091,0.6532,0.6616,0.6428,0.6521,0.6526
092,0.8064,0.7462,0.7296,0.7378,0.7706
093,0.8673,0.7607,0.7395,0.75,0.8044
094,0.8126,0.732,0.7035,0.7175,0.7621
095,0.8349,0.7588,0.7457,0.7522,0.7914
096,0.7848,0.7426,0.6937,0.7174,0.7496
097,0.7329,0.6872,0.6674,0.6771,0.7039
098,0.7248,0.6989,0.6609,0.6794,0.7014
099,0.8099,0.7279,0.704,0.7157,0.7599
100,0.7054,0.6969,0.6518,0.6736,0.6891
101,0.6635,0.6798,0.6553,0.6673,0.6654
102,0.7913,0.7227,0.7148,0.7188,0.7533
103,0.8197,0.7735,0.753,0.7631,0.7904
104,0.8426,0.7681,0.7321,0.7497,0.7935
105,0.7224,0.6641,0.64,0.6518,0.6853
106,0.7979,0.7291,0.7292,0.7291,0.7619
107,0.8172,0.7617,0.722,0.7413,0.7774
108,0.7449,0.684,0.6973,0.6906,0.7167
109,0.795,0.7389,0.7217,0.7302,0.7612
110,0.813,0.7432,0.7266,0.7348,0.7719
111,0.8233,0.77,0.7515,0.7606,0.7907
112,0.7895,0.7364,0.7063,0.721,0.7537
113,0.7757,0.7648,0.7236,0.7436,0.7593
114,0.6843,0.6404,0.6111,0.6254,0.6535
115,0.8036,0.7699,0.7736,0.7718,0.7874
116,0.7987,0.6989,0.7275,0.7129,0.7534
117,0.6787,0.6885,0.6965,0.6925,0.6855
