video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5691,0.7124,0.7106,0.7115,0.6324
002,0.7126,0.748,0.6694,0.7065,0.7095
003,0.6883,0.7305,0.7054,0.7178,0.7027
004,0.6395,0.7243,0.6919,0.7077,0.6719
005,0.5635,0.7231,0.6631,0.6918,0.6211
006,0.7448,0.7455,0.693,0.7183,0.7313
007,0.7905,0.7245,0.6927,0.7083,0.7471
008,0.7333,0.7429,0.701,0.7214,0.7273
009,0.6119,0.7014,0.6866,0.6939,0.6503
010,0.8331,0.7597,0.7388,0.7491,0.7889
011,0.6083,0.7027,0.6887,0.6956,0.649
012,0.6044,0.7105,0.6673,0.6882,0.6436
013,0.5935,0.7418,0.6562,0.6964,0.6408
014,0.6955,0.7582,0.6844,0.7194,0.7073
015,0.6337,0.7047,0.666,0.6848,0.6582
016,0.6935,0.7483,0.6809,0.713,0.7031
017,0.6544,0.7357,0.6829,0.7083,0.6803
018,0.7248,0.751,0.6913,0.7199,0.7224
019,0.7522,0.7225,0.6912,0.7065,0.7287
020,0.7102,0.7477,0.7093,0.728,0.719
021,0.7113,0.7105,0.6967,0.7035,0.7074
022,0.5871,0.7019,0.6828,0.6922,0.6354
023,0.8082,0.7775,0.7369,0.7567,0.7816
024,0.7726,0.7255,0.7074,0.7163,0.7434
025,0.7145,0.7474,0.7087,0.7275,0.7209
026,0.6898,0.7562,0.7108,0.7328,0.7106
027,0.6779,0.7053,0.6833,0.6941,0.6859
028,0.6644,0.6735,0.6708,0.6721,0.6682
029,0.6748,0.6797,0.6568,0.668,0.6714
030,0.6504,0.7218,0.6858,0.7033,0.6759
031,0.6392,0.6947,0.678,0.6863,0.6619
032,0.6737,0.6728,0.6724,0.6726,0.6732
033,0.6479,0.7093,0.6902,0.6996,0.6728
034,0.7521,0.7331,0.7321,0.7326,0.7423
035,0.7031,0.7126,0.7133,0.7129,0.708
036,0.5899,0.6728,0.631,0.6512,0.619
037,0.6402,0.766,0.6677,0.7135,0.6749
038,0.6945,0.7045,0.689,0.6966,0.6956
039,0.7493,0.7648,0.7613,0.7631,0.7561
040,0.6914,0.7333,0.7278,0.7305,0.7104
041,0.648,0.6832,0.671,0.677,0.6622
042,0.5453,0.6701,0.6491,0.6594,0.597
043,0.596,0.7092,0.6804,0.6945,0.6415
044,0.6634,0.677,0.6676,0.6723,0.6678
045,0.6927,0.7454,0.69,0.7166,0.7045
046,0.6757,0.7395,0.7068,0.7228,0.6984
047,0.7288,0.7408,0.7184,0.7294,0.7291
048,0.6239,0.7078,0.7124,0.7101,0.6642
049,0.6669,0.6857,0.6857,0.6857,0.6762
050,0.723,0.7696,0.6938,0.7298,0.7264
051,0.772,0.7543,0.735,0.7445,0.758
052,0.6922,0.7372,0.677,0.7058,0.6989
053,0.583,0.7005,0.6708,0.6853,0.63
054,0.7191,0.7485,0.6753,0.71,0.7145
055,0.6461,0.7529,0.6844,0.7171,0.6797
056,0.6068,0.6885,0.6358,0.6611,0.6328
057,0.6908,0.6884,0.718,0.7029,0.6968
058,0.6527,0.656,0.6325,0.6441,0.6483
059,0.5103,0.6658,0.6184,0.6412,0.5683
060,0.6714,0.7297,0.6927,0.7107,0.6905
061,0.6498,0.6838,0.6535,0.6683,0.6589
062,0.5769,0.6992,0.6485,0.6729,0.6212
063,0.6528,0.7637,0.7297,0.7463,0.6965
064,0.7396,0.7748,0.7153,0.7438,0.7417
065,0.7151,0.752,0.6892,0.7193,0.7172
066,0.6711,0.7317,0.6645,0.6965,0.6836
067,0.7281,0.7258,0.7124,0.719,0.7235
068,0.7911,0.7974,0.7204,0.757,0.7737
069,0.6968,0.7457,0.7011,0.7227,0.7095
070,0.8673,0.8046,0.7914,0.798,0.8312
071,0.7497,0.7652,0.6958,0.7289,0.7391
072,0.746,0.7847,0.7199,0.7509,0.7484
073,0.761,0.7245,0.7243,0.7244,0.7423
074,0.744,0.748,0.7102,0.7286,0.7362
075,0.6459,0.6806,0.6374,0.6583,0.652
076,0.5636,0.7286,0.6371,0.6798,0.6163
077,0.6685,0.7387,0.6612,0.6978,0.6828
078,0.7384,0.7735,0.6944,0.7318,0.7351
079,0.6643,0.7234,0.6848,0.7035,0.6834
080,0.565,0.6835,0.6644,0.6738,0.6146
081,0.66,0.672,0.6463,0.6589,0.6595
082,0.6154,0.6978,0.6733,0.6853,0.6485
083,0.7663,0.7176,0.7593,0.7378,0.7518
084,0.7218,0.6803,0.6548,0.6673,0.6935
085,0.6287,0.6883,0.6655,0.6767,0.6518
086,0.7283,0.7072,0.6679,0.687,0.7071
087,0.6136,0.6927,0.706,0.6993,0.6537
088,0.6999,0.7022,0.6999,0.7011,0.7005
089,0.8198,0.7352,0.7252,0.7302,0.7724
090,0.5649,0.6537,0.6108,0.6315,0.5963
091,0.6301,0.6864,0.6705,0.6784,0.6533
092,0.7077,0.6677,0.7078,0.6871,0.6973
093,0.6251,0.6782,0.6391,0.6581,0.6412
