video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.66,0.7908,0.7128,0.7498,0.7021
002,0.7505,0.7507,0.6594,0.7021,0.7255
003,0.8336,0.7485,0.7186,0.7333,0.7802
004,0.7716,0.7206,0.7168,0.7187,0.7442
005,0.819,0.7693,0.7079,0.7373,0.776
006,0.8624,0.7793,0.7445,0.7615,0.8088
007,0.8675,0.7663,0.7024,0.7329,0.7946
008,0.7827,0.7234,0.7123,0.7178,0.7488
009,0.646,0.7085,0.6773,0.6926,0.6685
010,0.7693,0.7924,0.6907,0.7381,0.7534
011,0.7403,0.7886,0.7127,0.7487,0.7445
012,0.6524,0.7027,0.6525,0.6767,0.6643
013,0.8266,0.7501,0.7075,0.7282,0.7743
014,0.851,0.7726,0.7113,0.7407,0.792
015,0.8473,0.7751,0.7412,0.7577,0.8
016,0.7599,0.7058,0.6431,0.673,0.7138
017,0.8588,0.7327,0.6845,0.7078,0.776
018,0.7723,0.7912,0.7073,0.7469,0.7594
019,0.8473,0.794,0.7371,0.7645,0.8038
020,0.7825,0.7501,0.7091,0.729,0.7548
021,0.8547,0.7932,0.7235,0.7568,0.8028
022,0.8389,0.768,0.7452,0.7564,0.7955
023,0.7303,0.8023,0.7315,0.7653,0.7474
024,0.8635,0.7465,0.7156,0.7307,0.7916
025,0.7736,0.7337,0.7385,0.7361,0.7544
026,0.7317,0.7767,0.736,0.7558,0.7435
027,0.8144,0.7421,0.7158,0.7287,0.7692
028,0.8062,0.7772,0.7213,0.7482,0.7761
029,0.8113,0.7255,0.7001,0.7126,0.7587
030,0.8713,0.79,0.7309,0.7593,0.8114
031,0.8285,0.7893,0.7612,0.775,0.8009
032,0.7532,0.6859,0.6856,0.6858,0.7179
033,0.6667,0.7432,0.6709,0.7052,0.6854
034,0.7174,0.674,0.7119,0.6924,0.7047
035,0.8037,0.8276,0.7567,0.7905,0.7971
036,0.7179,0.7223,0.6831,0.7022,0.7099
037,0.8346,0.7827,0.7435,0.7626,0.7969
038,0.8629,0.8121,0.7731,0.7921,0.826
039,0.8079,0.7621,0.755,0.7585,0.7824
040,0.8236,0.7527,0.7346,0.7435,0.7815
041,0.7041,0.7039,0.7215,0.7126,0.7083
042,0.7771,0.7838,0.6887,0.7332,0.7545
043,0.7668,0.7603,0.6607,0.707,0.7357
044,0.8367,0.7474,0.7362,0.7418,0.7864
045,0.7558,0.7551,0.7046,0.729,0.7422
046,0.8297,0.8175,0.7363,0.7748,0.8013
047,0.8097,0.7555,0.7181,0.7363,0.7713
048,0.7471,0.7003,0.698,0.6992,0.7223
049,0.824,0.7787,0.7379,0.7578,0.7895
050,0.7444,0.7863,0.6806,0.7297,0.7369
051,0.7706,0.7081,0.6772,0.6923,0.7294
052,0.8206,0.7546,0.684,0.7176,0.7656
053,0.7021,0.7286,0.6814,0.7042,0.7032
054,0.8069,0.7537,0.7634,0.7585,0.782
055,0.7646,0.7549,0.6615,0.7051,0.7337
056,0.8052,0.7976,0.6926,0.7414,0.772
057,0.8361,0.8143,0.7852,0.7995,0.8174
058,0.7658,0.6791,0.6844,0.6818,0.7213
059,0.8091,0.7907,0.7217,0.7546,0.7809
060,0.806,0.7919,0.7177,0.753,0.7786
061,0.7258,0.6815,0.678,0.6797,0.702
062,0.8034,0.7631,0.7249,0.7435,0.7723
063,0.6381,0.759,0.7216,0.7398,0.6852
064,0.8378,0.7625,0.731,0.7464,0.7895
