video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6845,0.7011,0.6739,0.6873,0.6859
002,0.6845,0.753,0.6582,0.7024,0.6933
003,0.7552,0.7427,0.7039,0.7228,0.7386
004,0.6984,0.7429,0.6764,0.7081,0.7032
005,0.7081,0.7324,0.699,0.7153,0.7117
006,0.7293,0.7463,0.6997,0.7223,0.7257
007,0.7557,0.7351,0.6805,0.7068,0.7304
008,0.7565,0.7489,0.7014,0.7244,0.7401
009,0.5972,0.6778,0.6395,0.6581,0.6262
010,0.8264,0.7973,0.7221,0.7578,0.7906
011,0.616,0.691,0.6674,0.679,0.646
012,0.4816,0.6007,0.5757,0.5879,0.5295
013,0.6137,0.7412,0.6608,0.6987,0.6535
014,0.7363,0.7816,0.6967,0.7367,0.7365
015,0.6542,0.7219,0.6944,0.7079,0.68
016,0.7002,0.7319,0.6895,0.71,0.7051
017,0.7205,0.731,0.6779,0.7035,0.7119
018,0.7006,0.728,0.687,0.7069,0.7037
019,0.7618,0.7531,0.7154,0.7338,0.7475
020,0.6218,0.666,0.6445,0.6551,0.638
021,0.7112,0.7711,0.6922,0.7295,0.7202
022,0.7614,0.8021,0.7113,0.754,0.7577
023,0.7828,0.7831,0.7227,0.7517,0.7669
024,0.7202,0.7195,0.6797,0.6991,0.7095
025,0.7531,0.7726,0.7246,0.7478,0.7505
026,0.6858,0.7318,0.7068,0.7191,0.702
027,0.7457,0.7504,0.67,0.708,0.7263
028,0.6634,0.7051,0.6569,0.6801,0.6717
029,0.6661,0.7185,0.6309,0.6718,0.669
030,0.6826,0.6816,0.6657,0.6736,0.678
031,0.6986,0.7488,0.6902,0.7183,0.7083
032,0.614,0.6743,0.6498,0.6618,0.637
033,0.7173,0.698,0.6672,0.6822,0.6993
034,0.5605,0.6392,0.6569,0.648,0.6011
035,0.7907,0.7438,0.7002,0.7214,0.7544
036,0.7042,0.7002,0.6557,0.6772,0.6904
037,0.7252,0.7534,0.718,0.7353,0.7302
038,0.7017,0.6977,0.713,0.7053,0.7035
039,0.682,0.7318,0.7188,0.7253,0.7029
040,0.7776,0.7585,0.7376,0.7479,0.7625
041,0.6553,0.7161,0.6239,0.6669,0.6611
042,0.7319,0.7389,0.6822,0.7094,0.7205
043,0.7495,0.7103,0.6666,0.6877,0.7173
044,0.7065,0.7048,0.6735,0.6888,0.6976
045,0.6738,0.7287,0.6748,0.7007,0.687
046,0.7624,0.7537,0.7111,0.7318,0.7468
047,0.6104,0.7132,0.6683,0.69,0.6477
048,0.7469,0.7322,0.7317,0.7319,0.7393
049,0.6284,0.6734,0.6567,0.665,0.6462
050,0.7168,0.7645,0.6897,0.7252,0.721
051,0.6576,0.6965,0.6784,0.6873,0.6721
052,0.6414,0.6607,0.6066,0.6325,0.6369
053,0.6731,0.7083,0.6647,0.6858,0.6794
054,0.7596,0.7436,0.6852,0.7132,0.7357
055,0.6124,0.6686,0.6592,0.6639,0.6371
056,0.693,0.7016,0.6304,0.6641,0.6782
057,0.7003,0.6902,0.6686,0.6792,0.6896
058,0.7135,0.696,0.6699,0.6827,0.6977
059,0.7525,0.7521,0.7148,0.733,0.7426
060,0.744,0.687,0.6782,0.6826,0.712
061,0.7521,0.7376,0.6961,0.7162,0.7337
062,0.686,0.7684,0.6837,0.7236,0.7043
063,0.5999,0.7351,0.6629,0.6971,0.6449
064,0.7669,0.7283,0.7024,0.7151,0.7401
065,0.71,0.7061,0.6542,0.6792,0.6942
066,0.6954,0.7168,0.6701,0.6927,0.694
067,0.7552,0.7572,0.7129,0.7344,0.7446
068,0.7053,0.767,0.6581,0.7084,0.7068
069,0.7191,0.735,0.6991,0.7166,0.7178
070,0.808,0.7948,0.7559,0.7749,0.7911
071,0.7385,0.7509,0.6868,0.7174,0.7278
072,0.7138,0.7271,0.6727,0.6988,0.7062
073,0.8312,0.7638,0.733,0.7481,0.7875
074,0.7925,0.7562,0.7045,0.7294,0.7596
075,0.6347,0.7283,0.6835,0.7052,0.6681
076,0.6746,0.6988,0.6527,0.675,0.6748
077,0.6804,0.7225,0.649,0.6838,0.6821
078,0.7719,0.7303,0.6912,0.7102,0.7398
079,0.7856,0.7516,0.7113,0.7309,0.7573
080,0.6888,0.6974,0.613,0.6525,0.6702
081,0.7185,0.7247,0.6241,0.6707,0.6938
082,0.7307,0.7206,0.7042,0.7123,0.7214
083,0.6997,0.739,0.6983,0.7181,0.7088
084,0.6827,0.7073,0.6781,0.6924,0.6875
085,0.7139,0.7681,0.704,0.7347,0.7241
086,0.6652,0.7028,0.645,0.6727,0.6689
087,0.657,0.6825,0.6908,0.6866,0.6715
088,0.752,0.738,0.7058,0.7215,0.7364
089,0.6887,0.6791,0.6522,0.6653,0.6768
090,0.6503,0.7279,0.6685,0.6969,0.6728
091,0.5895,0.6671,0.6441,0.6554,0.6207
092,0.7272,0.784,0.7045,0.7422,0.7346
093,0.7603,0.7238,0.6764,0.6993,0.7285
094,0.7874,0.7802,0.7019,0.7389,0.7624
095,0.7514,0.7543,0.7133,0.7332,0.7422
096,0.7576,0.7189,0.6663,0.6916,0.7231
097,0.6349,0.6564,0.655,0.6557,0.6451
098,0.7316,0.8045,0.7371,0.7694,0.75
099,0.8039,0.7548,0.7098,0.7316,0.7661
100,0.7169,0.722,0.692,0.7066,0.7117
101,0.5216,0.6448,0.6164,0.6303,0.5708
102,0.6557,0.6741,0.653,0.6634,0.6595
103,0.7308,0.7358,0.7003,0.7176,0.7242
104,0.748,0.7295,0.6981,0.7134,0.7303
105,0.6894,0.6827,0.6869,0.6848,0.6871
106,0.6487,0.7251,0.6862,0.7051,0.6757
107,0.7078,0.7264,0.7152,0.7208,0.7142
108,0.7385,0.7229,0.7167,0.7198,0.729
109,0.6758,0.6765,0.709,0.6924,0.684
110,0.8138,0.7432,0.7194,0.7311,0.7702
111,0.7486,0.7356,0.6812,0.7073,0.7274
112,0.759,0.7259,0.736,0.7309,0.7447
113,0.7212,0.7656,0.7435,0.7544,0.7374
