video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6022,0.6967,0.6523,0.6737,0.636
002,0.7064,0.7554,0.6879,0.7201,0.7132
003,0.7436,0.7328,0.6996,0.7158,0.7294
004,0.5885,0.6559,0.6813,0.6684,0.6259
005,0.7442,0.7137,0.6934,0.7034,0.7232
006,0.6775,0.6697,0.6849,0.6772,0.6774
007,0.6341,0.7011,0.6574,0.6786,0.6556
008,0.6755,0.6929,0.6612,0.6767,0.6761
009,0.5601,0.666,0.608,0.6357,0.5955
010,0.7472,0.7424,0.6871,0.7137,0.7301
011,0.5856,0.6627,0.6469,0.6547,0.6182
012,0.6058,0.7001,0.6569,0.6778,0.6398
013,0.6165,0.7029,0.6281,0.6634,0.6391
014,0.7093,0.733,0.6973,0.7147,0.712
015,0.6852,0.6782,0.6436,0.6604,0.6726
016,0.7198,0.7093,0.6667,0.6873,0.7032
017,0.6357,0.7149,0.6829,0.6986,0.6656
018,0.6008,0.6806,0.648,0.6639,0.6308
019,0.7466,0.7655,0.7631,0.7643,0.7553
020,0.7333,0.735,0.716,0.7254,0.7293
021,0.6555,0.6678,0.6509,0.6593,0.6574
022,0.7555,0.7222,0.7166,0.7194,0.737
023,0.7321,0.7507,0.7321,0.7413,0.7367
024,0.6732,0.6896,0.6186,0.6522,0.6625
025,0.5912,0.6714,0.6544,0.6628,0.625
026,0.6864,0.7453,0.721,0.7329,0.7089
027,0.7287,0.7171,0.7,0.7085,0.7184
028,0.7385,0.7137,0.6761,0.6944,0.7158
029,0.7679,0.7549,0.7113,0.7325,0.7498
030,0.6686,0.6894,0.6774,0.6833,0.6759
031,0.6315,0.6956,0.6923,0.6939,0.6612
032,0.6862,0.6582,0.6582,0.6582,0.6719
033,0.7326,0.7436,0.6902,0.7159,0.7242
034,0.8132,0.7967,0.7741,0.7852,0.799
035,0.6154,0.7222,0.7289,0.7255,0.6659
036,0.6254,0.6851,0.6432,0.6635,0.6439
037,0.7228,0.7397,0.6794,0.7083,0.7155
038,0.6677,0.7181,0.7015,0.7097,0.688
039,0.6343,0.6298,0.6391,0.6344,0.6343
040,0.6884,0.7735,0.6875,0.728,0.7076
041,0.645,0.647,0.6424,0.6447,0.6448
042,0.5729,0.6622,0.6341,0.6478,0.608
043,0.5095,0.6512,0.5754,0.611,0.5556
044,0.6986,0.7011,0.6716,0.686,0.6922
045,0.6089,0.6811,0.6238,0.6512,0.6293
046,0.7375,0.7299,0.7332,0.7315,0.7345
047,0.5208,0.6186,0.6058,0.6121,0.5628
048,0.6549,0.666,0.6611,0.6636,0.6592
049,0.6301,0.6858,0.669,0.6773,0.6529
050,0.7079,0.7545,0.6968,0.7245,0.7161
051,0.7886,0.6944,0.6966,0.6955,0.7391
052,0.5455,0.5977,0.5592,0.5778,0.5612
053,0.5927,0.692,0.6551,0.673,0.6303
054,0.7132,0.7349,0.7284,0.7317,0.7223
055,0.6118,0.6733,0.659,0.6661,0.6378
056,0.4708,0.5884,0.5937,0.591,0.5241
057,0.5615,0.6398,0.6324,0.6361,0.5965
058,0.6289,0.657,0.6439,0.6504,0.6394
059,0.7019,0.7534,0.6974,0.7243,0.7129
060,0.7052,0.7108,0.6472,0.6775,0.6911
061,0.6521,0.6561,0.6271,0.6413,0.6467
062,0.6372,0.759,0.6771,0.7157,0.6742
063,0.6095,0.7351,0.7278,0.7314,0.665
064,0.6233,0.6843,0.6859,0.6851,0.6527
065,0.6001,0.6752,0.6437,0.6591,0.6282
066,0.6671,0.6839,0.6558,0.6695,0.6683
067,0.7688,0.7521,0.7007,0.7255,0.7465
068,0.7731,0.8029,0.698,0.7468,0.7597
069,0.6717,0.7026,0.6639,0.6827,0.6772
070,0.8085,0.7783,0.7205,0.7483,0.7772
071,0.6939,0.7269,0.6815,0.7035,0.6986
072,0.7185,0.7721,0.7396,0.7555,0.7365
073,0.7472,0.7444,0.7087,0.7261,0.7365
074,0.4311,0.6084,0.5921,0.6001,0.5017
075,0.6463,0.7086,0.6798,0.6939,0.6693
076,0.6451,0.677,0.605,0.6389,0.642
077,0.648,0.7152,0.6747,0.6944,0.6704
078,0.5255,0.6529,0.6548,0.6539,0.5827
079,0.6592,0.6929,0.6531,0.6724,0.6657
080,0.7355,0.709,0.6775,0.6929,0.7136
081,0.7686,0.7495,0.6569,0.7001,0.7328
082,0.7274,0.712,0.6778,0.6945,0.7105
083,0.7658,0.7438,0.7387,0.7412,0.7533
084,0.6994,0.7036,0.6579,0.68,0.6896
085,0.7145,0.7253,0.6765,0.7,0.7072
086,0.711,0.7066,0.6486,0.6764,0.6932
087,0.5626,0.6886,0.6558,0.6718,0.6124
