video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6785,0.753,0.7061,0.7288,0.7028
002,0.7312,0.7508,0.6772,0.7121,0.7215
003,0.7816,0.7769,0.6945,0.7334,0.7567
004,0.768,0.7603,0.6946,0.726,0.7464
005,0.7769,0.7562,0.6959,0.7248,0.7499
006,0.7859,0.8149,0.7104,0.7591,0.7723
007,0.831,0.7735,0.7158,0.7435,0.7848
008,0.7213,0.7562,0.7063,0.7304,0.7258
009,0.689,0.7441,0.7055,0.7243,0.7062
010,0.8219,0.7589,0.7072,0.7321,0.7744
011,0.6286,0.7229,0.6541,0.6868,0.6564
012,0.5387,0.7336,0.6557,0.6925,0.606
013,0.7921,0.7913,0.7144,0.7509,0.771
014,0.773,0.7907,0.6858,0.7345,0.7532
015,0.6615,0.7373,0.6839,0.7096,0.6847
016,0.6435,0.7404,0.6641,0.7002,0.6707
017,0.8419,0.7927,0.7194,0.7543,0.7957
018,0.6889,0.7162,0.6701,0.6924,0.6907
019,0.7309,0.7326,0.6874,0.7093,0.7199
020,0.7687,0.7502,0.6903,0.719,0.743
021,0.7614,0.7422,0.6897,0.715,0.7374
022,0.7576,0.7721,0.7081,0.7387,0.748
023,0.8145,0.7915,0.7472,0.7687,0.7909
024,0.7473,0.7223,0.6675,0.6938,0.7196
025,0.639,0.7671,0.6829,0.7226,0.6782
026,0.7158,0.7548,0.6988,0.7257,0.7208
027,0.73,0.7698,0.6833,0.724,0.727
028,0.6737,0.682,0.65,0.6656,0.6696
029,0.6436,0.6921,0.6589,0.6751,0.659
030,0.7911,0.7188,0.7003,0.7094,0.748
031,0.6109,0.6913,0.6416,0.6655,0.6371
032,0.7122,0.7362,0.6739,0.7037,0.7079
033,0.7555,0.7337,0.665,0.6976,0.7254
034,0.7483,0.7008,0.708,0.7044,0.7257
035,0.7883,0.8615,0.7366,0.7941,0.7912
036,0.604,0.644,0.5908,0.6162,0.6101
037,0.742,0.7412,0.6893,0.7143,0.7279
