video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.596,0.5629,0.4729,0.514,0.552
002,0.7161,0.5317,0.4815,0.5054,0.5925
003,0.6865,0.5625,0.4563,0.5039,0.5812
004,0.6133,0.5786,0.5079,0.5409,0.5749
005,0.6345,0.5205,0.4354,0.4742,0.5428
006,0.615,0.5356,0.4727,0.5022,0.5529
007,0.5703,0.5311,0.4438,0.4835,0.5233
008,0.5796,0.5498,0.4436,0.491,0.5316
009,0.4893,0.4893,0.4484,0.468,0.4784
010,0.7121,0.5734,0.453,0.5061,0.5917
011,0.629,0.5712,0.4641,0.5121,0.5646
012,0.4993,0.4883,0.3688,0.4202,0.4563
013,0.5076,0.4911,0.3925,0.4363,0.4692
014,0.6788,0.5271,0.4339,0.476,0.5596
015,0.7089,0.5428,0.5181,0.5302,0.6066
016,0.5774,0.5086,0.4626,0.4845,0.5269
017,0.5907,0.4367,0.4073,0.4215,0.492
018,0.613,0.5009,0.434,0.4651,0.5289
019,0.6943,0.6006,0.5145,0.5542,0.6164
020,0.7015,0.5501,0.4676,0.5055,0.5876
021,0.6059,0.4513,0.3934,0.4203,0.4963
022,0.7063,0.5778,0.5373,0.5568,0.6227
023,0.7677,0.6357,0.5724,0.6024,0.6751
024,0.7743,0.5761,0.5154,0.5441,0.6391
025,0.7783,0.6188,0.5529,0.584,0.6673
026,0.6134,0.5533,0.4645,0.505,0.5539
027,0.6741,0.508,0.4622,0.484,0.5635
028,0.6399,0.5509,0.495,0.5215,0.5746
029,0.6211,0.5246,0.4601,0.4902,0.5479
030,0.7004,0.5379,0.4689,0.5011,0.5842
031,0.7794,0.5837,0.5558,0.5694,0.6581
032,0.5948,0.5034,0.4418,0.4706,0.5254
033,0.5054,0.4881,0.4591,0.4731,0.4887
034,0.6211,0.5298,0.5572,0.5432,0.5795
035,0.7599,0.5758,0.4834,0.5256,0.6214
036,0.5772,0.4897,0.4096,0.4461,0.5032
