video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.3812,0.5117,0.4951,0.5033,0.4338
002,0.5131,0.5513,0.4336,0.4854,0.4989
003,0.4782,0.4768,0.4446,0.4601,0.469
004,0.4341,0.5401,0.4825,0.5097,0.4689
005,0.3301,0.4853,0.4047,0.4413,0.3777
006,0.5506,0.5463,0.4611,0.5001,0.5242
007,0.6237,0.5163,0.4384,0.4742,0.5388
008,0.4848,0.5331,0.4532,0.4899,0.4873
009,0.442,0.4489,0.3824,0.413,0.427
010,0.6976,0.5705,0.5279,0.5484,0.614
011,0.3873,0.5482,0.4696,0.5059,0.4387
012,0.4128,0.5316,0.4932,0.5117,0.457
013,0.397,0.5609,0.435,0.49,0.4386
014,0.4741,0.5377,0.4369,0.4821,0.478
015,0.4072,0.4683,0.3841,0.422,0.4145
016,0.4093,0.5466,0.4589,0.4989,0.4497
017,0.4158,0.5538,0.442,0.4917,0.4505
018,0.4684,0.5554,0.4735,0.5112,0.4889
019,0.6029,0.4987,0.4481,0.4721,0.5295
020,0.5596,0.5636,0.5152,0.5383,0.5488
021,0.4816,0.4559,0.4411,0.4484,0.4644
022,0.3482,0.4319,0.3687,0.3978,0.3713
023,0.6411,0.6194,0.5573,0.5867,0.6127
024,0.6505,0.5158,0.4743,0.4941,0.5616
025,0.5333,0.5471,0.479,0.5108,0.5218
026,0.4734,0.5566,0.4752,0.5127,0.4923
027,0.4729,0.4757,0.432,0.4528,0.4626
028,0.4652,0.4628,0.4462,0.4543,0.4597
029,0.471,0.4432,0.4159,0.4291,0.4491
030,0.4099,0.5038,0.4343,0.4665,0.4363
031,0.4027,0.4256,0.4215,0.4235,0.4129
032,0.4911,0.4521,0.4546,0.4534,0.4715
033,0.4688,0.4691,0.4332,0.4504,0.4595
034,0.5139,0.5223,0.5218,0.5221,0.518
035,0.4696,0.4854,0.4668,0.4759,0.4728
036,0.3363,0.4447,0.3856,0.4131,0.3707
037,0.3903,0.5574,0.4174,0.4774,0.4295
038,0.4729,0.5197,0.4489,0.4817,0.4773
039,0.5562,0.5766,0.5495,0.5628,0.5594
040,0.47,0.4779,0.4715,0.4747,0.4724
041,0.4285,0.48,0.4454,0.462,0.4446
042,0.4421,0.4673,0.4095,0.4365,0.4393
043,0.3369,0.5085,0.4444,0.4743,0.394
044,0.3997,0.4474,0.4108,0.4283,0.4135
045,0.5069,0.575,0.4911,0.5298,0.5181
046,0.4935,0.5095,0.4588,0.4829,0.4881
047,0.5039,0.5479,0.5042,0.5252,0.5143
048,0.4242,0.5425,0.4661,0.5014,0.4596
049,0.4763,0.4567,0.4332,0.4446,0.4599
050,0.6117,0.545,0.4674,0.5032,0.5522
051,0.6356,0.5548,0.5301,0.5421,0.5852
052,0.5101,0.536,0.4183,0.4699,0.4892
053,0.3471,0.4758,0.4051,0.4376,0.3871
054,0.5214,0.5075,0.4184,0.4587,0.488
055,0.4515,0.5368,0.448,0.4884,0.4692
056,0.4003,0.4325,0.3632,0.3948,0.3975
057,0.4564,0.4714,0.4581,0.4647,0.4605
058,0.4027,0.3942,0.3582,0.3753,0.3885
059,0.2707,0.4462,0.3645,0.4013,0.3233
060,0.4679,0.507,0.4716,0.4887,0.4781
061,0.4214,0.4426,0.4025,0.4216,0.4215
062,0.3844,0.4512,0.4003,0.4242,0.4033
063,0.5406,0.6026,0.5287,0.5632,0.5517
064,0.5321,0.5607,0.4781,0.5161,0.524
065,0.4636,0.5331,0.4386,0.4813,0.4723
066,0.4518,0.4992,0.4014,0.445,0.4484
067,0.5588,0.5072,0.492,0.4995,0.5275
068,0.6246,0.5894,0.5008,0.5415,0.5801
069,0.5523,0.5393,0.4596,0.4962,0.5228
070,0.793,0.6711,0.623,0.6462,0.7121
071,0.5699,0.5424,0.4635,0.4999,0.5326
072,0.5717,0.6094,0.4969,0.5474,0.5593
073,0.5787,0.5269,0.5327,0.5298,0.5532
074,0.5681,0.5265,0.47,0.4967,0.53
075,0.3656,0.4261,0.3727,0.3976,0.3809
076,0.298,0.5383,0.4156,0.4691,0.3644
077,0.4684,0.5262,0.4313,0.474,0.4712
078,0.6106,0.5401,0.4688,0.5019,0.551
079,0.4469,0.4963,0.4358,0.4641,0.4553
080,0.3282,0.492,0.4336,0.461,0.3834
081,0.4531,0.4515,0.3957,0.4218,0.4369
082,0.349,0.4811,0.4435,0.4615,0.3974
083,0.5439,0.4954,0.5334,0.5137,0.5284
084,0.5846,0.4716,0.4429,0.4568,0.5129
085,0.4057,0.4375,0.4242,0.4308,0.4178
086,0.5392,0.44,0.3966,0.4172,0.4704
087,0.4314,0.4584,0.4629,0.4606,0.4455
088,0.457,0.4632,0.4357,0.449,0.453
089,0.7114,0.5231,0.5078,0.5153,0.5977
090,0.3043,0.4037,0.3453,0.3723,0.3349
091,0.4248,0.5076,0.4415,0.4722,0.4473
092,0.5073,0.4739,0.4751,0.4745,0.4903
093,0.4411,0.4701,0.3919,0.4274,0.4341
094,0.4296,0.4723,0.4426,0.457,0.4428
095,0.5405,0.4865,0.443,0.4637,0.4992
096,0.3262,0.5043,0.4082,0.4512,0.3786
097,0.4546,0.4636,0.4981,0.4802,0.4671
098,0.377,0.4078,0.3952,0.4014,0.3888
099,0.6616,0.5598,0.5457,0.5527,0.6022
100,0.5368,0.4833,0.4416,0.4615,0.4963
101,0.3342,0.4154,0.3816,0.3977,0.3632
102,0.551,0.5319,0.4994,0.5151,0.5325
103,0.5942,0.495,0.5038,0.4993,0.5426
104,0.4747,0.5195,0.4927,0.5057,0.4897
105,0.529,0.5052,0.4336,0.4667,0.4959
106,0.5509,0.474,0.4848,0.4793,0.5126
107,0.4949,0.5132,0.5101,0.5117,0.5031
108,0.305,0.4661,0.4658,0.4659,0.3687
109,0.5551,0.5548,0.5563,0.5556,0.5553
110,0.5807,0.5585,0.4676,0.509,0.5425
111,0.5659,0.5566,0.5435,0.5499,0.5578
112,0.5476,0.5571,0.4992,0.5266,0.5369
113,0.4101,0.4218,0.4368,0.4292,0.4194
114,0.3997,0.4509,0.4087,0.4288,0.4137
115,0.6929,0.5288,0.548,0.5382,0.6058
116,0.5959,0.5342,0.4792,0.5052,0.5468
117,0.3318,0.4259,0.4321,0.429,0.3742
118,0.4738,0.5018,0.4854,0.4934,0.4834
119,0.497,0.4287,0.4317,0.4302,0.4612
120,0.434,0.4715,0.434,0.452,0.4428
121,0.5867,0.5183,0.484,0.5006,0.5402
122,0.2951,0.4492,0.4296,0.4392,0.353
123,0.5396,0.6377,0.6232,0.6303,0.5815
124,0.4479,0.5325,0.4955,0.5133,0.4784
125,0.2861,0.3779,0.3394,0.3576,0.3179
127,0.5072,0.4653,0.4606,0.4629,0.4841
128,0.3983,0.5366,0.502,0.5187,0.4506
129,0.4839,0.4863,0.5074,0.4966,0.4902
130,0.5003,0.5717,0.5496,0.5604,0.5287
131,0.3567,0.5133,0.4732,0.4924,0.4137
132,0.3649,0.4316,0.4327,0.4322,0.3957
133,0.3451,0.4371,0.4179,0.4273,0.3818
134,0.4119,0.5124,0.5292,0.5207,0.46
135,0.4926,0.4214,0.4148,0.4181,0.4523
136,0.3302,0.4778,0.4387,0.4574,0.3835
137,0.3683,0.4439,0.4446,0.4442,0.4027
138,0.5301,0.5338,0.532,0.5329,0.5315
139,0.6594,0.5581,0.561,0.5596,0.6054
140,0.5311,0.5251,0.5035,0.514,0.5224
141,0.5051,0.4953,0.554,0.523,0.5139
142,0.5019,0.5423,0.5461,0.5442,0.5222
143,0.5996,0.5513,0.5174,0.5338,0.5648
144,0.4882,0.473,0.4724,0.4727,0.4803
145,0.4912,0.4965,0.538,0.5164,0.5035
146,0.4029,0.4425,0.3739,0.4053,0.4041
147,0.5189,0.5124,0.4388,0.4728,0.4948
148,0.4454,0.4486,0.43,0.4391,0.4422
149,0.5791,0.5281,0.5305,0.5293,0.5531
150,0.6451,0.5209,0.5255,0.5232,0.5778
151,0.4985,0.5913,0.4564,0.5151,0.5067
152,0.5527,0.5315,0.5196,0.5255,0.5388
153,0.6555,0.4744,0.5468,0.5081,0.5724
154,0.4466,0.5272,0.5054,0.5161,0.4788
155,0.504,0.4797,0.4793,0.4795,0.4915
156,0.4561,0.5118,0.54,0.5255,0.4883
157,0.4147,0.4979,0.4992,0.4986,0.4528
158,0.5423,0.5171,0.5108,0.5139,0.5277
159,0.548,0.5381,0.5312,0.5346,0.5412
160,0.4322,0.4756,0.5284,0.5006,0.4639
161,0.568,0.4818,0.4547,0.4679,0.5131
162,0.6521,0.6393,0.5825,0.6096,0.6301
163,0.7559,0.5537,0.5654,0.5595,0.643
164,0.4449,0.5155,0.4614,0.4869,0.465
165,0.4284,0.4163,0.4171,0.4167,0.4224
166,0.3442,0.4857,0.4107,0.4451,0.3882
167,0.4868,0.4608,0.5014,0.4803,0.4835
168,0.4416,0.4049,0.363,0.3828,0.4101
169,0.4455,0.444,0.4539,0.4489,0.4472
170,0.4478,0.5299,0.4832,0.5055,0.4749
171,0.4853,0.4953,0.4739,0.4844,0.4848
172,0.4608,0.4584,0.4695,0.4639,0.4624
173,0.5898,0.5201,0.5054,0.5126,0.5485
174,0.5249,0.5197,0.5949,0.5548,0.5394
175,0.4234,0.5193,0.5032,0.5111,0.4631
176,0.5681,0.5376,0.5657,0.5513,0.5596
177,0.542,0.4723,0.5294,0.4992,0.5197
178,0.5998,0.4822,0.5261,0.5032,0.5473
179,0.4241,0.4456,0.4685,0.4568,0.4398
180,0.5603,0.5291,0.5689,0.5482,0.5542
181,0.4346,0.4836,0.4911,0.4873,0.4595
182,0.5555,0.5041,0.4684,0.4856,0.5182
183,0.5898,0.5147,0.5444,0.5291,0.5578
184,0.5355,0.4796,0.4769,0.4783,0.5053
185,0.3272,0.4182,0.3523,0.3825,0.3527
186,0.4753,0.4635,0.4793,0.4712,0.4733
187,0.4705,0.453,0.5152,0.4821,0.4762
188,0.3549,0.4527,0.4194,0.4354,0.3911
189,0.592,0.4865,0.5598,0.5206,0.554
190,0.5865,0.5472,0.5083,0.527,0.5552
191,0.6193,0.6307,0.6056,0.6179,0.6186
192,0.4436,0.4647,0.4856,0.4749,0.4587
193,0.3389,0.4112,0.4231,0.4171,0.3739
194,0.5458,0.4294,0.4165,0.4228,0.4765
195,0.4908,0.4854,0.5194,0.5019,0.4963
196,0.6183,0.4908,0.5487,0.5181,0.5638
197,0.4287,0.4454,0.4211,0.4329,0.4308
198,0.6585,0.5838,0.5328,0.5571,0.6036
199,0.5134,0.5101,0.4743,0.4915,0.5022
200,0.4846,0.4368,0.4297,0.4332,0.4575
