video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.4716,0.4627,0.3694,0.4108,0.4391
002,0.5751,0.4482,0.3819,0.4124,0.4803
003,0.4534,0.4166,0.4099,0.4132,0.4324
004,0.4323,0.468,0.4759,0.4719,0.4513
005,0.4709,0.4074,0.3733,0.3896,0.4264
006,0.4936,0.4313,0.3955,0.4127,0.4495
007,0.3487,0.3497,0.3015,0.3238,0.3358
008,0.3037,0.4364,0.345,0.3854,0.3397
009,0.3074,0.2985,0.3622,0.3273,0.317
010,0.438,0.5083,0.4187,0.4592,0.4483
011,0.5111,0.4975,0.486,0.4917,0.5012
012,0.41,0.4403,0.3755,0.4053,0.4076
013,0.3586,0.431,0.3933,0.4113,0.3831
014,0.4891,0.4521,0.3714,0.4078,0.4448
015,0.4825,0.4629,0.4235,0.4423,0.4615
016,0.4029,0.4362,0.4064,0.4208,0.4117
017,0.499,0.4763,0.434,0.4542,0.4755
018,0.501,0.4218,0.3893,0.4049,0.4478
019,0.6015,0.5547,0.5462,0.5504,0.5748
020,0.4989,0.4846,0.4785,0.4816,0.4901
021,0.3766,0.3602,0.3375,0.3485,0.362
022,0.4621,0.4148,0.3922,0.4032,0.4307
023,0.4489,0.4599,0.4603,0.4601,0.4545
024,0.458,0.402,0.4288,0.415,0.4354
025,0.4304,0.3828,0.4088,0.3953,0.4121
026,0.537,0.4562,0.4754,0.4656,0.4987
027,0.4035,0.3709,0.4044,0.3869,0.395
028,0.4068,0.4713,0.5204,0.4946,0.4464
029,0.5208,0.4555,0.4165,0.4351,0.4741
030,0.3338,0.3229,0.3009,0.3115,0.3223
031,0.424,0.477,0.4876,0.4822,0.4512
032,0.4197,0.4577,0.4509,0.4543,0.4363
033,0.2846,0.3225,0.3104,0.3163,0.2996
034,0.5293,0.4365,0.423,0.4296,0.4743
035,0.4706,0.4913,0.4548,0.4723,0.4714
036,0.3354,0.3772,0.3904,0.3837,0.3579
037,0.5449,0.4552,0.4057,0.4291,0.4801
038,0.3214,0.3796,0.3426,0.3601,0.3396
039,0.4651,0.4133,0.4192,0.4163,0.4393
040,0.4472,0.4405,0.3737,0.4043,0.4247
041,0.4267,0.4626,0.4567,0.4596,0.4425
042,0.3814,0.4751,0.4454,0.4598,0.417
043,0.4354,0.3755,0.3633,0.3693,0.3996
044,0.2643,0.3092,0.319,0.314,0.2871
045,0.3865,0.3909,0.3029,0.3413,0.3625
046,0.4701,0.4703,0.4618,0.466,0.468
047,0.381,0.3983,0.3984,0.3984,0.3895
048,0.3816,0.349,0.3414,0.3452,0.3625
049,0.3293,0.3418,0.3437,0.3427,0.3359
050,0.5738,0.5233,0.4839,0.5028,0.5359
051,0.4226,0.4317,0.4119,0.4216,0.4221
052,0.495,0.4548,0.3661,0.4057,0.4459
053,0.409,0.4009,0.4326,0.4161,0.4125
054,0.5263,0.4035,0.4066,0.4051,0.4578
