video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6543,0.5339,0.4673,0.4984,0.5658
002,0.6869,0.4762,0.4525,0.4641,0.5539
003,0.5545,0.4643,0.441,0.4524,0.4983
004,0.6781,0.5026,0.5048,0.5037,0.578
005,0.6085,0.4999,0.4713,0.4852,0.5399
006,0.6457,0.5037,0.4806,0.4919,0.5584
007,0.6522,0.5156,0.456,0.484,0.5556
008,0.5944,0.458,0.4333,0.4453,0.5092
009,0.5452,0.4831,0.4307,0.4554,0.4963
010,0.6685,0.5056,0.4703,0.4873,0.5637
011,0.6316,0.5168,0.4884,0.5022,0.5595
012,0.5114,0.4605,0.4088,0.4331,0.469
013,0.5183,0.4866,0.4239,0.4531,0.4835
014,0.6625,0.4648,0.4567,0.4607,0.5435
015,0.6804,0.5047,0.4883,0.4964,0.574
016,0.6372,0.489,0.4456,0.4663,0.5385
017,0.6298,0.4738,0.49,0.4817,0.5459
018,0.6644,0.4625,0.4248,0.4428,0.5315
019,0.6819,0.5384,0.4763,0.5054,0.5805
020,0.5908,0.4278,0.4249,0.4263,0.4953
021,0.6948,0.5452,0.4925,0.5175,0.5932
022,0.5816,0.5088,0.4767,0.4922,0.5332
023,0.6395,0.5256,0.4767,0.4999,0.5612
024,0.7035,0.5003,0.4831,0.4915,0.5787
025,0.595,0.496,0.4821,0.489,0.5368
026,0.494,0.4542,0.4225,0.4378,0.4642
027,0.6406,0.5,0.4683,0.4836,0.5512
028,0.6401,0.4866,0.4563,0.4709,0.5426
029,0.6039,0.49,0.4625,0.4759,0.5323
030,0.7183,0.4939,0.4973,0.4956,0.5865
031,0.6388,0.5125,0.5108,0.5116,0.5682
032,0.5585,0.4498,0.4582,0.4539,0.5008
033,0.5211,0.4341,0.4261,0.4301,0.4712
034,0.5687,0.448,0.4883,0.4673,0.513
035,0.6448,0.5113,0.4952,0.5031,0.5652
036,0.5014,0.4224,0.3951,0.4083,0.4501
037,0.6387,0.5173,0.4522,0.4826,0.5498
038,0.5951,0.4558,0.4599,0.4578,0.5175
039,0.5837,0.4782,0.5329,0.5041,0.541
040,0.6391,0.4813,0.4967,0.4889,0.554
041,0.5517,0.4365,0.3719,0.4016,0.4648
042,0.6589,0.484,0.4511,0.467,0.5466
043,0.6055,0.4593,0.4087,0.4325,0.5046
