video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5375,0.5788,0.5351,0.5561,0.5466
002,0.7093,0.5963,0.5475,0.5709,0.6326
003,0.7184,0.605,0.5408,0.5711,0.6363
004,0.7023,0.6634,0.562,0.6085,0.652
005,0.6222,0.493,0.485,0.489,0.5476
006,0.7623,0.6226,0.5828,0.602,0.6728
007,0.7542,0.6147,0.5375,0.5735,0.6516
008,0.6949,0.5397,0.4943,0.516,0.5922
009,0.5464,0.5673,0.5257,0.5457,0.5461
010,0.7235,0.6175,0.5132,0.5605,0.6317
011,0.6149,0.6733,0.5507,0.6058,0.6103
012,0.6045,0.5295,0.468,0.4969,0.5454
013,0.6493,0.5832,0.5312,0.556,0.599
014,0.7,0.7433,0.5543,0.635,0.666
015,0.8091,0.6379,0.5323,0.5803,0.6759
016,0.5256,0.5125,0.4381,0.4724,0.4976
017,0.8122,0.5867,0.5314,0.5577,0.6613
018,0.6839,0.5764,0.5045,0.5381,0.6023
019,0.7779,0.5946,0.557,0.5752,0.6613
020,0.6143,0.6039,0.4941,0.5435,0.5768
021,0.7367,0.5722,0.5543,0.5631,0.6383
022,0.7487,0.6071,0.5738,0.59,0.6599
023,0.7191,0.6211,0.5703,0.5946,0.651
024,0.7862,0.5805,0.5684,0.5744,0.6638
025,0.6625,0.5943,0.5383,0.5649,0.6098
026,0.7152,0.6088,0.5316,0.5676,0.6329
027,0.5924,0.5255,0.4929,0.5087,0.5474
028,0.7073,0.5939,0.5614,0.5772,0.6356
029,0.7028,0.5622,0.4989,0.5287,0.6034
030,0.6698,0.5119,0.4958,0.5037,0.575
031,0.6978,0.5474,0.5624,0.5548,0.6182
032,0.5666,0.5251,0.5181,0.5216,0.5432
033,0.6991,0.5556,0.5135,0.5338,0.6053
034,0.6211,0.5062,0.5799,0.5405,0.578
035,0.8247,0.643,0.5532,0.5947,0.6911
036,0.5956,0.5191,0.4703,0.4935,0.5397
037,0.804,0.6455,0.5785,0.6102,0.6938
038,0.6456,0.6019,0.5475,0.5734,0.6073
039,0.6691,0.6461,0.6237,0.6347,0.6514
040,0.5942,0.6482,0.5386,0.5884,0.5912
041,0.5638,0.5634,0.5014,0.5306,0.5467
042,0.5807,0.619,0.5156,0.5626,0.5715
043,0.6105,0.5355,0.4735,0.5026,0.5513
044,0.6866,0.5786,0.5152,0.5451,0.6077
045,0.6859,0.5688,0.5001,0.5323,0.5994
046,0.7254,0.5948,0.5532,0.5733,0.6404
047,0.6754,0.5906,0.5325,0.56,0.6123
048,0.6407,0.5914,0.5521,0.5711,0.6039
049,0.7873,0.642,0.6156,0.6285,0.699
050,0.6768,0.6361,0.5131,0.568,0.6177
051,0.7126,0.5657,0.5063,0.5343,0.6107
052,0.6814,0.5999,0.5688,0.5839,0.6289
053,0.6023,0.5796,0.5218,0.5492,0.5745
054,0.6817,0.5487,0.5779,0.5629,0.6166
055,0.5289,0.473,0.4296,0.4503,0.4864
056,0.6828,0.5154,0.4596,0.4859,0.5678
057,0.7059,0.5929,0.5266,0.5578,0.6232
058,0.6364,0.5075,0.5083,0.5079,0.5649
059,0.5547,0.5832,0.5,0.5384,0.5464
060,0.7551,0.6037,0.566,0.5843,0.6588
061,0.7327,0.5537,0.5238,0.5383,0.6206
062,0.5875,0.5479,0.499,0.5223,0.553
063,0.6127,0.6264,0.5417,0.581,0.5964
064,0.7157,0.5992,0.5199,0.5567,0.6263
065,0.6202,0.5276,0.495,0.5108,0.5602
066,0.6381,0.5355,0.4989,0.5166,0.5709
067,0.7137,0.5874,0.501,0.5408,0.6153
068,0.7829,0.5854,0.5619,0.5734,0.662
069,0.6645,0.5859,0.5333,0.5584,0.6068
070,0.8213,0.6624,0.6025,0.631,0.7137
071,0.5327,0.5411,0.4772,0.5072,0.5196
072,0.6907,0.6336,0.5452,0.5861,0.6341
073,0.7615,0.6453,0.5966,0.62,0.6835
074,0.5195,0.5257,0.4454,0.4822,0.5002
075,0.5362,0.4802,0.4909,0.4855,0.5096
076,0.6889,0.5698,0.5209,0.5442,0.6081
077,0.5851,0.553,0.4928,0.5211,0.5513
