video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.4326,0.5869,0.4805,0.5284,0.4757
002,0.5316,0.6205,0.4576,0.5267,0.5292
003,0.414,0.4667,0.3961,0.4285,0.4211
004,0.4904,0.5238,0.4387,0.4775,0.4839
005,0.246,0.4403,0.3237,0.3731,0.2965
006,0.3165,0.5004,0.3525,0.4136,0.3586
007,0.4272,0.4415,0.3887,0.4134,0.4202
008,0.5675,0.502,0.4231,0.4592,0.5076
009,0.4318,0.4262,0.3536,0.3865,0.4079
010,0.518,0.5233,0.4202,0.4661,0.4907
011,0.4553,0.4731,0.4186,0.4442,0.4497
012,0.2486,0.4546,0.3388,0.3883,0.3031
013,0.5568,0.5913,0.4042,0.4802,0.5157
014,0.4371,0.513,0.3483,0.4149,0.4257
015,0.2775,0.4237,0.3521,0.3846,0.3224
016,0.4181,0.5649,0.4155,0.4788,0.4464
017,0.4507,0.4524,0.3383,0.3871,0.4165
018,0.4374,0.5873,0.4011,0.4766,0.4562
019,0.5328,0.6323,0.4136,0.5001,0.516
020,0.6236,0.5769,0.4688,0.5172,0.5655
021,0.4671,0.4594,0.391,0.4224,0.4436
022,0.5872,0.5952,0.4719,0.5264,0.5552
023,0.5218,0.5293,0.4534,0.4884,0.5046
024,0.4621,0.5953,0.402,0.4799,0.4709
025,0.5185,0.5834,0.4239,0.491,0.5044
026,0.4718,0.4782,0.4059,0.4391,0.4549
027,0.4501,0.5502,0.4033,0.4654,0.4576
028,0.3431,0.5974,0.359,0.4485,0.3888
029,0.4686,0.4863,0.3755,0.4238,0.445
030,0.475,0.5938,0.4037,0.4806,0.4778
031,0.391,0.4411,0.4417,0.4414,0.4147
032,0.5606,0.5496,0.4822,0.5137,0.5361
033,0.3249,0.503,0.3736,0.4288,0.3696
034,0.654,0.5838,0.563,0.5732,0.6109
035,0.4265,0.4252,0.3738,0.3978,0.4117
036,0.3211,0.3905,0.3124,0.3471,0.3336
037,0.4562,0.4923,0.3873,0.4335,0.4446
038,0.3673,0.4971,0.3921,0.4384,0.3997
039,0.4071,0.4513,0.4573,0.4543,0.4294
040,0.4941,0.4883,0.4252,0.4546,0.4735
041,0.3207,0.4486,0.3568,0.3975,0.355
042,0.3049,0.5201,0.359,0.4248,0.355
043,0.3947,0.5387,0.3547,0.4278,0.4106
044,0.4074,0.4185,0.3742,0.3951,0.4012
045,0.4023,0.5316,0.3648,0.4327,0.417
