video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5065,0.5162,0.4334,0.4712,0.4882
002,0.395,0.5175,0.39,0.4448,0.4184
003,0.4805,0.5726,0.4926,0.5296,0.5039
004,0.4672,0.5511,0.4414,0.4902,0.4784
005,0.4122,0.5153,0.4518,0.4814,0.4441
006,0.4974,0.5435,0.4648,0.5011,0.4992
007,0.5428,0.5422,0.4674,0.502,0.5216
008,0.5699,0.5315,0.4764,0.5024,0.534
009,0.3171,0.437,0.3907,0.4125,0.3586
010,0.5849,0.6082,0.4892,0.5422,0.5627
011,0.3635,0.4843,0.4212,0.4506,0.4024
012,0.2802,0.3527,0.3208,0.336,0.3056
013,0.3846,0.4893,0.417,0.4503,0.4149
014,0.5916,0.5954,0.5147,0.5521,0.5712
015,0.4415,0.5021,0.4785,0.49,0.4645
016,0.5022,0.5201,0.4419,0.4778,0.4897
017,0.4759,0.4971,0.4553,0.4753,0.4756
018,0.417,0.5213,0.4381,0.4761,0.4446
019,0.5831,0.5747,0.5292,0.551,0.5666
020,0.4543,0.4174,0.4061,0.4117,0.4319
021,0.4851,0.584,0.4296,0.495,0.49
022,0.5928,0.6235,0.4881,0.5475,0.5693
023,0.6625,0.626,0.5306,0.5743,0.6153
024,0.5477,0.4951,0.4389,0.4653,0.5031
025,0.5969,0.6011,0.5116,0.5527,0.574
026,0.4508,0.5062,0.4643,0.4843,0.4669
027,0.5164,0.5491,0.4345,0.4851,0.5002
028,0.4719,0.4793,0.4272,0.4518,0.4616
029,0.4175,0.5145,0.3508,0.4172,0.4173
030,0.4704,0.4614,0.4323,0.4463,0.4581
031,0.4718,0.5402,0.461,0.4975,0.4843
032,0.4662,0.4412,0.4113,0.4257,0.445
033,0.464,0.4801,0.4053,0.4396,0.4514
034,0.3723,0.4026,0.4134,0.4079,0.3893
035,0.6453,0.5306,0.4944,0.5119,0.5709
036,0.5183,0.4934,0.4128,0.4495,0.4815
037,0.4888,0.5513,0.4886,0.5181,0.503
038,0.5329,0.5054,0.5091,0.5072,0.5197
039,0.4357,0.5182,0.4966,0.5072,0.4687
040,0.5928,0.5665,0.5496,0.5579,0.5748
041,0.425,0.4954,0.3509,0.4108,0.4178
042,0.3999,0.497,0.4334,0.463,0.4292
043,0.5745,0.5053,0.4442,0.4728,0.5187
044,0.4853,0.4634,0.4251,0.4434,0.4634
045,0.5233,0.5257,0.4404,0.4793,0.5003
046,0.5416,0.5381,0.4698,0.5016,0.5209
047,0.4457,0.5073,0.4367,0.4693,0.4572
048,0.4803,0.4997,0.4797,0.4895,0.4849
049,0.4475,0.4591,0.4432,0.451,0.4492
050,0.5162,0.5699,0.4818,0.5222,0.5192
051,0.4921,0.4603,0.4482,0.4542,0.4724
052,0.4055,0.4453,0.3695,0.4039,0.4047
053,0.4247,0.485,0.4138,0.4466,0.4354
054,0.5168,0.5523,0.4376,0.4883,0.5022
055,0.4255,0.4805,0.4398,0.4593,0.4418
056,0.4223,0.4673,0.394,0.4275,0.4249
057,0.5296,0.4567,0.4208,0.438,0.4795
058,0.5587,0.4493,0.4256,0.4371,0.4905
059,0.4658,0.5456,0.5016,0.5227,0.4926
060,0.5033,0.4453,0.438,0.4416,0.4704
061,0.5975,0.5334,0.4873,0.5093,0.5499
062,0.5255,0.5591,0.4561,0.5024,0.5137
063,0.5122,0.5292,0.4165,0.4661,0.4881
064,0.6007,0.5335,0.4784,0.5045,0.5484
065,0.4364,0.5023,0.4257,0.4609,0.4483
066,0.5125,0.4996,0.4148,0.4533,0.4811
067,0.6003,0.5412,0.4794,0.5084,0.5506
068,0.4822,0.5529,0.4064,0.4685,0.4752
069,0.5081,0.5525,0.4917,0.5203,0.5141
070,0.5748,0.6203,0.573,0.5957,0.5851
071,0.4855,0.5513,0.4339,0.4856,0.4855
072,0.5172,0.5124,0.4449,0.4763,0.4959
073,0.6331,0.5767,0.5296,0.5521,0.5899
074,0.5493,0.5231,0.4502,0.4839,0.5145
075,0.4622,0.5272,0.4471,0.4838,0.4727
076,0.4957,0.5154,0.4383,0.4738,0.4845
077,0.4871,0.5067,0.4045,0.4498,0.4677
078,0.6388,0.5222,0.4609,0.4896,0.5543
079,0.5618,0.5701,0.5082,0.5374,0.5493
080,0.4895,0.4899,0.3928,0.4361,0.4612
081,0.5675,0.5041,0.3923,0.4412,0.4965
082,0.4841,0.498,0.4632,0.48,0.482
083,0.5311,0.534,0.4653,0.4973,0.5136
084,0.4873,0.4842,0.4227,0.4514,0.4687
085,0.5918,0.5983,0.4938,0.541,0.5653
086,0.4833,0.4481,0.3886,0.4162,0.4473
087,0.4334,0.4744,0.4954,0.4847,0.4576
088,0.5549,0.5134,0.4694,0.4904,0.5207
089,0.4676,0.4429,0.4251,0.4339,0.4501
090,0.4209,0.5123,0.4183,0.4605,0.4398
091,0.3582,0.4089,0.3588,0.3822,0.3698
092,0.5735,0.6194,0.4737,0.5368,0.5546
093,0.5623,0.4846,0.427,0.454,0.5024
094,0.6728,0.5701,0.445,0.4998,0.5736
095,0.6047,0.5359,0.4772,0.5049,0.5503
096,0.5243,0.4777,0.4313,0.4534,0.4862
097,0.4351,0.4391,0.4075,0.4227,0.4288
098,0.5989,0.6341,0.5406,0.5836,0.5912
099,0.5978,0.578,0.5007,0.5366,0.5655
100,0.5077,0.5212,0.4519,0.4841,0.4956
101,0.3281,0.3866,0.3406,0.3621,0.3443
102,0.424,0.4676,0.4164,0.4405,0.4321
103,0.6137,0.5301,0.4937,0.5113,0.5578
104,0.5241,0.5495,0.4965,0.5216,0.5228
105,0.3949,0.427,0.421,0.424,0.4089
106,0.5063,0.5113,0.451,0.4793,0.4924
107,0.5918,0.5386,0.5282,0.5333,0.561
108,0.6018,0.5411,0.5272,0.5341,0.5659
109,0.4528,0.4633,0.4771,0.4701,0.4613
110,0.6412,0.5703,0.5187,0.5433,0.5882
111,0.5387,0.5645,0.4548,0.5037,0.5206
112,0.5273,0.5116,0.5371,0.5241,0.5257
113,0.5341,0.5376,0.5343,0.5359,0.535
114,0.4553,0.5969,0.4698,0.5258,0.488
