video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.355,0.4782,0.3612,0.4116,0.3812
002,0.5618,0.5349,0.4547,0.4916,0.5243
003,0.5168,0.5425,0.492,0.516,0.5164
004,0.2997,0.3847,0.4078,0.3959,0.3412
005,0.5266,0.468,0.4503,0.459,0.4905
006,0.4569,0.4523,0.4574,0.4548,0.4559
007,0.3737,0.4787,0.4132,0.4435,0.4056
008,0.3892,0.4688,0.4358,0.4517,0.4181
009,0.3298,0.4285,0.3167,0.3642,0.3461
010,0.4579,0.512,0.4297,0.4672,0.4625
011,0.2844,0.3877,0.3424,0.3636,0.3192
012,0.4424,0.4581,0.4238,0.4403,0.4413
013,0.337,0.4548,0.3498,0.3954,0.3639
014,0.5304,0.5432,0.4814,0.5105,0.5202
015,0.4531,0.4552,0.4034,0.4278,0.44
016,0.4735,0.5001,0.4159,0.4541,0.4636
017,0.4019,0.4733,0.4567,0.4648,0.4311
018,0.3588,0.4391,0.3708,0.4021,0.3792
019,0.5373,0.5677,0.5407,0.5539,0.5455
020,0.5561,0.5425,0.5106,0.526,0.5407
021,0.3835,0.4198,0.3973,0.4082,0.3955
022,0.5204,0.5154,0.4835,0.4989,0.5094
023,0.5582,0.5863,0.552,0.5686,0.5634
024,0.4023,0.4641,0.3824,0.4193,0.4106
025,0.3923,0.4439,0.4305,0.4371,0.4135
026,0.4867,0.4969,0.4918,0.4943,0.4905
027,0.4875,0.4972,0.4807,0.4888,0.4881
028,0.5645,0.5136,0.4606,0.4857,0.5222
029,0.6635,0.5587,0.502,0.5288,0.5886
030,0.4925,0.431,0.4267,0.4288,0.4585
031,0.4358,0.4467,0.4431,0.4449,0.4403
032,0.4239,0.4197,0.4264,0.423,0.4234
033,0.4803,0.5315,0.4426,0.483,0.4816
034,0.647,0.6168,0.6314,0.624,0.6353
035,0.4312,0.4669,0.5126,0.4887,0.4581
036,0.3294,0.4507,0.3772,0.4107,0.3656
037,0.5326,0.4917,0.429,0.4582,0.4926
038,0.3977,0.5207,0.4724,0.4954,0.4412
039,0.3696,0.4252,0.4346,0.4299,0.3975
040,0.5171,0.563,0.4865,0.5219,0.5195
041,0.3269,0.386,0.3432,0.3633,0.3441
042,0.2995,0.3964,0.383,0.3896,0.3386
043,0.2648,0.3816,0.2887,0.3287,0.2934
044,0.4527,0.4346,0.411,0.4225,0.437
045,0.4182,0.4452,0.3722,0.4054,0.4117
046,0.4957,0.4911,0.5049,0.4979,0.4968
047,0.2653,0.3831,0.3451,0.3631,0.3066
048,0.3847,0.4443,0.4217,0.4327,0.4073
049,0.3672,0.4445,0.4169,0.4303,0.3962
050,0.555,0.5343,0.4777,0.5044,0.5285
051,0.6047,0.4669,0.495,0.4805,0.5355
052,0.2568,0.3674,0.2888,0.3234,0.2863
053,0.3498,0.4531,0.3969,0.4231,0.383
054,0.5303,0.5151,0.5061,0.5106,0.5202
055,0.3996,0.4757,0.4295,0.4514,0.424
056,0.1983,0.3307,0.332,0.3314,0.2481
057,0.3011,0.3239,0.3144,0.3191,0.3098
058,0.3675,0.4077,0.3884,0.3978,0.382
059,0.487,0.5214,0.4772,0.4984,0.4926
060,0.4403,0.4132,0.3713,0.3911,0.4142
061,0.3458,0.3841,0.3673,0.3755,0.3601
062,0.3599,0.5568,0.4384,0.4905,0.4152
063,0.5636,0.5557,0.5216,0.5381,0.5506
064,0.3554,0.4474,0.4463,0.4469,0.3959
065,0.342,0.4451,0.3872,0.4141,0.3746
066,0.4698,0.4508,0.4025,0.4253,0.4464
067,0.4982,0.4927,0.4378,0.4636,0.4803
068,0.5942,0.5998,0.4757,0.5306,0.5606
069,0.4234,0.4723,0.4125,0.4404,0.4317
070,0.637,0.5839,0.5077,0.5431,0.5863
071,0.4472,0.5325,0.4256,0.4731,0.4598
072,0.564,0.5689,0.5142,0.5402,0.5518
073,0.5791,0.5317,0.4829,0.5061,0.5402
074,0.1771,0.3593,0.3065,0.3308,0.2307
075,0.4237,0.4775,0.4196,0.4467,0.4349
076,0.4703,0.4141,0.3515,0.3802,0.4205
077,0.4289,0.478,0.4383,0.4573,0.4426
078,0.3368,0.4253,0.4034,0.414,0.3715
079,0.4036,0.469,0.4179,0.442,0.4219
080,0.582,0.5069,0.4667,0.486,0.5297
