video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5285,0.5966,0.5051,0.5471,0.5376
002,0.621,0.5897,0.4735,0.5252,0.5691
003,0.6729,0.6088,0.4918,0.5441,0.6017
004,0.7113,0.6326,0.5039,0.561,0.6273
005,0.649,0.5673,0.4614,0.5089,0.5705
006,0.6865,0.6658,0.5166,0.5818,0.6298
007,0.7065,0.6069,0.5138,0.5565,0.6226
008,0.587,0.5823,0.493,0.534,0.5592
009,0.5718,0.5401,0.4895,0.5135,0.5411
010,0.7191,0.5928,0.492,0.5377,0.6153
011,0.3903,0.5044,0.413,0.4541,0.4198
012,0.3256,0.5659,0.4408,0.4956,0.393
013,0.6753,0.6133,0.5017,0.5519,0.6074
014,0.7033,0.682,0.4981,0.5757,0.6331
015,0.5132,0.5672,0.4698,0.5139,0.5136
016,0.4045,0.54,0.4372,0.4832,0.4404
017,0.731,0.6125,0.5216,0.5634,0.6364
018,0.6028,0.5022,0.4509,0.4751,0.5314
019,0.5917,0.5578,0.5087,0.5321,0.5603
020,0.669,0.6034,0.4906,0.5412,0.5984
021,0.6413,0.5588,0.4817,0.5174,0.5727
022,0.6201,0.5666,0.4854,0.5229,0.5674
023,0.6378,0.6433,0.5744,0.6069,0.622
024,0.546,0.5205,0.4426,0.4784,0.5099
025,0.4997,0.6285,0.4965,0.5548,0.5258
026,0.5788,0.5636,0.4728,0.5142,0.5446
027,0.5968,0.5837,0.4719,0.5219,0.5569
028,0.4584,0.4875,0.4275,0.4556,0.457
029,0.491,0.5334,0.4453,0.4854,0.4882
030,0.6533,0.5119,0.4907,0.5011,0.5671
031,0.4337,0.4789,0.3865,0.4278,0.4307
032,0.5424,0.5489,0.4451,0.4916,0.5157
033,0.5536,0.5699,0.4659,0.5127,0.5323
034,0.6278,0.4841,0.5044,0.494,0.5529
035,0.6515,0.7442,0.5465,0.6302,0.6407
036,0.4131,0.4098,0.3438,0.3739,0.3925
037,0.6278,0.5555,0.4754,0.5124,0.5642
038,0.6473,0.5437,0.5001,0.521,0.5773
039,0.6739,0.6401,0.5547,0.5943,0.6316
040,0.4951,0.497,0.4252,0.4583,0.476
041,0.4885,0.488,0.3683,0.4198,0.4516
042,0.4668,0.5642,0.4652,0.5099,0.4874
043,0.5787,0.5195,0.4016,0.453,0.5082
044,0.5933,0.537,0.5073,0.5217,0.5552
045,0.5615,0.4985,0.4273,0.4602,0.5058
046,0.5826,0.6018,0.522,0.5591,0.5706
047,0.6482,0.5844,0.4983,0.538,0.588
048,0.5088,0.4852,0.4813,0.4832,0.4957
049,0.6846,0.5633,0.5146,0.5379,0.6024
050,0.6002,0.6743,0.4996,0.5739,0.5868
051,0.5038,0.5411,0.3596,0.4321,0.4652
052,0.4993,0.5804,0.4316,0.4951,0.4972
053,0.3763,0.5137,0.3978,0.4484,0.4092
054,0.4892,0.4805,0.4744,0.4774,0.4832
055,0.4983,0.5996,0.4426,0.5093,0.5037
056,0.4635,0.4549,0.391,0.4205,0.441
057,0.6072,0.497,0.4556,0.4754,0.5333
058,0.5353,0.5284,0.4123,0.4632,0.4966
059,0.4928,0.5518,0.4697,0.5074,0.5
060,0.7028,0.5616,0.4774,0.5161,0.5952
061,0.6475,0.5822,0.4987,0.5372,0.5872
062,0.4331,0.5519,0.4181,0.4757,0.4534
063,0.5329,0.6254,0.533,0.5755,0.5534
064,0.7095,0.5837,0.5035,0.5407,0.6137
065,0.6751,0.5605,0.4468,0.4973,0.5727
066,0.6648,0.5144,0.4354,0.4716,0.5518
067,0.7279,0.6234,0.5058,0.5585,0.632
068,0.5593,0.5264,0.4746,0.4991,0.5275
069,0.6433,0.6831,0.4821,0.5652,0.6018
070,0.6745,0.6419,0.558,0.597,0.6334
071,0.6327,0.5949,0.4802,0.5314,0.5776
072,0.6147,0.5732,0.4794,0.5221,0.5646
073,0.7062,0.6648,0.5459,0.5995,0.6485
074,0.519,0.5065,0.4159,0.4567,0.4859
075,0.6349,0.5319,0.4822,0.5059,0.5631
076,0.6236,0.5411,0.4364,0.4832,0.5445
077,0.5845,0.5618,0.4803,0.5179,0.5492
078,0.6184,0.5544,0.4648,0.5057,0.5564
