video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6839,0.5725,0.5252,0.5478,0.6084
002,0.769,0.6065,0.5977,0.6021,0.6754
003,0.6704,0.5783,0.5616,0.5698,0.616
004,0.6451,0.6328,0.5817,0.6062,0.625
005,0.7869,0.5909,0.5543,0.572,0.6625
006,0.6818,0.6502,0.5829,0.6147,0.6465
007,0.7583,0.619,0.588,0.6031,0.6718
008,0.6168,0.5406,0.5191,0.5296,0.5699
009,0.5524,0.5584,0.5053,0.5305,0.5412
010,0.8262,0.6145,0.562,0.5871,0.6864
011,0.597,0.5598,0.5359,0.5476,0.5712
012,0.698,0.6088,0.5681,0.5878,0.6381
013,0.5923,0.6055,0.5407,0.5713,0.5816
014,0.7304,0.585,0.5373,0.5601,0.6341
015,0.696,0.6521,0.5766,0.612,0.6513
016,0.5033,0.5178,0.5226,0.5202,0.5116
017,0.7622,0.5881,0.5503,0.5686,0.6513
018,0.6656,0.633,0.5151,0.568,0.613
019,0.6659,0.6063,0.6316,0.6187,0.6414
020,0.7478,0.598,0.5471,0.5715,0.6478
021,0.6465,0.5536,0.5593,0.5564,0.5981
022,0.7172,0.6326,0.602,0.6169,0.6633
023,0.7085,0.6665,0.6578,0.6621,0.6845
024,0.7732,0.6039,0.5799,0.5917,0.6704
025,0.6409,0.5644,0.5937,0.5787,0.6082
026,0.6367,0.6019,0.5495,0.5745,0.604
027,0.6357,0.571,0.5788,0.5748,0.6037
028,0.6029,0.5222,0.5684,0.5443,0.5721
029,0.7883,0.5978,0.5491,0.5724,0.6632
030,0.6431,0.5885,0.5488,0.5679,0.6032
031,0.7455,0.5861,0.57,0.578,0.6511
032,0.6424,0.5616,0.5317,0.5462,0.5904
033,0.692,0.5787,0.554,0.5661,0.6227
034,0.6371,0.5871,0.5796,0.5833,0.609
035,0.7372,0.6756,0.5917,0.6309,0.6799
036,0.5744,0.5329,0.5372,0.535,0.554
037,0.7077,0.5479,0.5307,0.5391,0.612
038,0.7916,0.6376,0.5958,0.616,0.6928
039,0.7535,0.6025,0.6188,0.6105,0.6745
040,0.6484,0.5405,0.5259,0.5331,0.5851
041,0.6259,0.5324,0.5528,0.5424,0.5811
042,0.641,0.6082,0.5656,0.5862,0.6124
043,0.6027,0.5451,0.4631,0.5008,0.547
044,0.6356,0.5684,0.5465,0.5572,0.5938
045,0.6681,0.5923,0.5941,0.5932,0.6284
046,0.6748,0.6128,0.6142,0.6135,0.6427
047,0.6394,0.5609,0.5744,0.5676,0.6014
048,0.6729,0.5421,0.5897,0.5649,0.6142
049,0.7072,0.5633,0.6117,0.5865,0.6412
050,0.7316,0.6394,0.6118,0.6253,0.6743
051,0.725,0.5635,0.5593,0.5614,0.6328
052,0.6266,0.5417,0.4919,0.5156,0.5657
053,0.6445,0.6227,0.6198,0.6212,0.6327
054,0.7326,0.5873,0.5943,0.5908,0.6541
055,0.6513,0.5308,0.5344,0.5326,0.586
056,0.6569,0.6082,0.5284,0.5655,0.6078
057,0.7073,0.5732,0.5858,0.5794,0.637
058,0.6508,0.4695,0.4738,0.4717,0.5469
059,0.6663,0.5711,0.5618,0.5664,0.6123
060,0.754,0.6021,0.615,0.6085,0.6735
061,0.5861,0.5628,0.5487,0.5557,0.5705
062,0.6724,0.5666,0.5378,0.5518,0.6062
063,0.6185,0.554,0.5105,0.5313,0.5716
064,0.7492,0.582,0.5427,0.5617,0.642
065,0.7397,0.5379,0.4961,0.5162,0.608
066,0.6303,0.5305,0.4915,0.5103,0.564
067,0.6445,0.6228,0.5971,0.6097,0.6266
068,0.8101,0.6485,0.5958,0.621,0.7031
069,0.7491,0.6263,0.5646,0.5939,0.6625
070,0.7913,0.6565,0.6539,0.6552,0.7169
071,0.7354,0.5903,0.5761,0.5831,0.6505
072,0.6404,0.6458,0.5874,0.6152,0.6275
073,0.704,0.6082,0.6539,0.6302,0.6651
074,0.613,0.5688,0.5027,0.5337,0.5706
075,0.6182,0.5391,0.5115,0.525,0.5678
076,0.7199,0.5827,0.5791,0.5809,0.643
077,0.6647,0.6753,0.5568,0.6103,0.6364
078,0.8397,0.6579,0.5777,0.6152,0.7101
079,0.6467,0.5564,0.5699,0.5631,0.602
080,0.8184,0.6122,0.6222,0.6172,0.7037
081,0.5357,0.5846,0.5165,0.5484,0.542
082,0.6407,0.5613,0.5629,0.5621,0.5988
083,0.7783,0.5888,0.5879,0.5884,0.6701
084,0.7187,0.5899,0.5646,0.577,0.6401
085,0.6546,0.5721,0.5079,0.5381,0.5907
086,0.6738,0.4926,0.5057,0.4991,0.5734
087,0.5519,0.6136,0.5923,0.6027,0.5762
088,0.7177,0.5616,0.5744,0.5679,0.6341
089,0.7522,0.5684,0.5658,0.5671,0.6467
090,0.6937,0.5194,0.5387,0.5289,0.6002
091,0.7466,0.6217,0.5987,0.61,0.6714
092,0.7867,0.5734,0.5792,0.5763,0.6652
093,0.7345,0.5306,0.5871,0.5574,0.6338
094,0.6227,0.5493,0.5545,0.5519,0.5852
095,0.7637,0.5151,0.5491,0.5315,0.6268
096,0.7167,0.5518,0.5467,0.5492,0.6219
097,0.6212,0.57,0.5572,0.5635,0.591
098,0.7029,0.5047,0.5591,0.5305,0.6047
099,0.6441,0.6024,0.5627,0.5819,0.6114
100,0.6853,0.5693,0.5327,0.5504,0.6105
101,0.599,0.5518,0.5533,0.5526,0.5749
102,0.6566,0.567,0.5827,0.5748,0.613
103,0.7947,0.6121,0.6476,0.6294,0.7024
104,0.6745,0.5247,0.5573,0.5405,0.6001
105,0.5495,0.4794,0.5558,0.5148,0.5316
106,0.6261,0.6088,0.6049,0.6069,0.6164
