video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6799,0.6062,0.5434,0.5731,0.6219
002,0.692,0.5711,0.4931,0.5292,0.5998
003,0.5038,0.5125,0.4798,0.4956,0.4997
004,0.6428,0.5716,0.5553,0.5633,0.6005
005,0.6181,0.5102,0.405,0.4516,0.5219
006,0.6102,0.5595,0.4505,0.4991,0.5491
007,0.7059,0.601,0.4721,0.5288,0.6047
008,0.6245,0.5656,0.5175,0.5405,0.5794
009,0.5009,0.587,0.505,0.5429,0.5211
010,0.6052,0.5975,0.5276,0.5604,0.5819
011,0.6982,0.5831,0.5029,0.5401,0.609
012,0.4209,0.486,0.39,0.4327,0.4267
013,0.5933,0.5403,0.4563,0.4948,0.5396
014,0.6951,0.5825,0.5359,0.5582,0.6192
015,0.8126,0.6278,0.5836,0.6049,0.6936
016,0.6344,0.6265,0.5351,0.5772,0.6045
017,0.6992,0.5885,0.4783,0.5277,0.6015
018,0.667,0.5845,0.5346,0.5585,0.6079
019,0.6853,0.587,0.5471,0.5664,0.6202
020,0.748,0.6152,0.5675,0.5904,0.6599
021,0.7024,0.5328,0.4991,0.5154,0.5946
022,0.7418,0.6632,0.5665,0.6111,0.6701
023,0.7905,0.6153,0.6372,0.626,0.6987
024,0.5933,0.5655,0.515,0.5391,0.5649
025,0.6377,0.6067,0.5859,0.5961,0.6162
026,0.6741,0.5891,0.5899,0.5895,0.6289
027,0.7153,0.6048,0.5528,0.5776,0.6391
028,0.5952,0.5343,0.4942,0.5135,0.5513
029,0.6301,0.5544,0.5244,0.539,0.581
030,0.6556,0.5661,0.5001,0.5311,0.5868
031,0.7263,0.6408,0.6091,0.6246,0.6716
032,0.4979,0.5188,0.5485,0.5333,0.5149
033,0.6583,0.6161,0.5431,0.5773,0.6151
034,0.5141,0.4619,0.485,0.4732,0.4928
035,0.8112,0.6968,0.6277,0.6604,0.7281
036,0.5338,0.5166,0.4831,0.4993,0.516
037,0.7214,0.5902,0.5725,0.5812,0.6438
038,0.6554,0.5848,0.5328,0.5576,0.6026
039,0.6243,0.633,0.6246,0.6288,0.6265
040,0.6924,0.5929,0.5476,0.5693,0.6249
041,0.549,0.5013,0.4452,0.4716,0.5074
042,0.5548,0.6,0.4977,0.5441,0.5494
043,0.7224,0.5753,0.4977,0.5336,0.6138
044,0.6362,0.5408,0.4909,0.5146,0.569
045,0.5783,0.5688,0.526,0.5466,0.562
046,0.6602,0.5761,0.5061,0.5389,0.5934
047,0.371,0.4945,0.428,0.4588,0.4103
048,0.6451,0.62,0.5713,0.5947,0.6189
049,0.7452,0.5704,0.5643,0.5674,0.6442
050,0.6732,0.5012,0.5273,0.5139,0.5829
051,0.7639,0.7036,0.6215,0.66,0.7082
052,0.6732,0.5548,0.5357,0.5451,0.6024
053,0.6801,0.635,0.5554,0.5925,0.6333
054,0.664,0.5179,0.4655,0.4903,0.5641
055,0.564,0.5165,0.4735,0.4941,0.5267
056,0.7101,0.587,0.4752,0.5252,0.6038
057,0.6594,0.48,0.4633,0.4715,0.5498
058,0.6856,0.4301,0.4612,0.4451,0.5398
059,0.5652,0.5159,0.5543,0.5344,0.5494
060,0.5557,0.5475,0.4914,0.5179,0.5362
061,0.5079,0.5478,0.4833,0.5135,0.5107
062,0.5835,0.6418,0.5334,0.5826,0.5831
063,0.5926,0.5826,0.5405,0.5607,0.5762
064,0.5663,0.5177,0.4561,0.485,0.5225
065,0.6145,0.5808,0.5276,0.5529,0.5821
