video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6575,0.5008,0.4392,0.468,0.5468
002,0.6197,0.4415,0.3636,0.3988,0.4853
003,0.5899,0.4966,0.3974,0.4415,0.505
004,0.6155,0.5726,0.4353,0.4946,0.5485
005,0.6658,0.414,0.3258,0.3646,0.4712
006,0.6087,0.4479,0.3571,0.3973,0.4808
007,0.5941,0.4822,0.3766,0.4229,0.4941
008,0.5718,0.4836,0.3809,0.4262,0.4884
009,0.4999,0.4513,0.3213,0.3754,0.4288
010,0.6215,0.6269,0.4634,0.5329,0.5738
011,0.5089,0.4631,0.3432,0.3943,0.4443
012,0.5507,0.4699,0.3917,0.4273,0.4812
013,0.6639,0.5792,0.3908,0.4667,0.5481
014,0.5701,0.4632,0.3803,0.4177,0.4821
015,0.6295,0.4734,0.4091,0.4389,0.5172
016,0.5385,0.4386,0.3339,0.3791,0.445
017,0.7145,0.4366,0.357,0.3928,0.5069
018,0.5349,0.51,0.323,0.3955,0.4548
019,0.6302,0.483,0.4175,0.4479,0.5236
020,0.714,0.624,0.4581,0.5284,0.6073
021,0.6194,0.4536,0.3152,0.372,0.4648
022,0.6364,0.4479,0.4175,0.4321,0.5148
023,0.6891,0.525,0.4276,0.4713,0.5598
024,0.7147,0.5198,0.4358,0.4741,0.5701
025,0.6632,0.591,0.4909,0.5363,0.593
026,0.7072,0.4627,0.4304,0.446,0.547
027,0.655,0.418,0.3604,0.3871,0.4866
028,0.6514,0.4714,0.3961,0.4305,0.5184
029,0.5909,0.4344,0.3965,0.4146,0.4873
030,0.6909,0.5163,0.4177,0.4618,0.5536
031,0.5848,0.4599,0.3931,0.4239,0.4915
032,0.7341,0.4411,0.4354,0.4382,0.5488
033,0.6279,0.5213,0.3895,0.4459,0.5215
034,0.6318,0.4202,0.4091,0.4146,0.5006
035,0.7496,0.5737,0.4717,0.5177,0.6125
036,0.5179,0.3951,0.315,0.3505,0.4181
037,0.6486,0.5544,0.4138,0.4739,0.5476
038,0.6111,0.4996,0.4046,0.4471,0.5164
039,0.7156,0.5282,0.4561,0.4895,0.5814
040,0.618,0.6213,0.4833,0.5437,0.5785
041,0.617,0.4678,0.408,0.4359,0.5109
042,0.4881,0.4757,0.332,0.391,0.4342
043,0.5828,0.5033,0.3358,0.4029,0.4764
044,0.6238,0.4559,0.3547,0.399,0.4867
045,0.6751,0.494,0.4289,0.4592,0.5466
046,0.6384,0.525,0.4262,0.4705,0.5417
047,0.5739,0.5205,0.4333,0.4729,0.5186
048,0.6548,0.4432,0.3905,0.4152,0.5082
049,0.5822,0.5967,0.4909,0.5386,0.5596
050,0.4973,0.5241,0.3723,0.4353,0.4643
051,0.5914,0.5276,0.402,0.4563,0.5152
052,0.4857,0.4681,0.421,0.4433,0.4635
053,0.491,0.4036,0.3159,0.3544,0.4117
054,0.569,0.4489,0.4207,0.4343,0.4926
055,0.6876,0.4276,0.3351,0.3757,0.4859
056,0.5517,0.3789,0.3136,0.3431,0.4231
057,0.6032,0.3877,0.3701,0.3787,0.4653
058,0.679,0.4579,0.3882,0.4202,0.5191
059,0.5499,0.5323,0.3931,0.4522,0.4963
060,0.6938,0.5482,0.4475,0.4928,0.5763
061,0.5129,0.4252,0.3282,0.3704,0.4302
062,0.6876,0.5485,0.466,0.5039,0.5816
063,0.5617,0.491,0.3909,0.4352,0.4905
064,0.661,0.5291,0.4581,0.4911,0.5635
065,0.6839,0.5009,0.3715,0.4266,0.5255
066,0.6683,0.465,0.3361,0.3902,0.4927
067,0.6421,0.5646,0.4143,0.4779,0.5479
068,0.5716,0.4614,0.3688,0.4099,0.4774
069,0.6666,0.438,0.3192,0.3693,0.4753
070,0.7866,0.6186,0.5365,0.5746,0.6641
071,0.6798,0.5131,0.4098,0.4556,0.5456
072,0.7088,0.5549,0.4878,0.5192,0.5994
073,0.7634,0.5533,0.4707,0.5087,0.6105
074,0.6405,0.4616,0.344,0.3942,0.4881
075,0.6457,0.4142,0.3435,0.3756,0.4749
076,0.5749,0.5011,0.3102,0.3832,0.4599
077,0.7341,0.4975,0.4007,0.4438,0.5532
078,0.6366,0.5619,0.4147,0.4772,0.5455
079,0.6713,0.491,0.3815,0.4294,0.5237
080,0.6328,0.4532,0.3792,0.4129,0.4998
081,0.5878,0.5021,0.4229,0.4591,0.5155
082,0.6742,0.5264,0.434,0.4758,0.5579
083,0.665,0.5444,0.5226,0.5333,0.5919
084,0.534,0.3657,0.3436,0.3543,0.426
085,0.5429,0.5001,0.3574,0.4169,0.4716
086,0.617,0.4464,0.3569,0.3966,0.4829
087,0.6275,0.581,0.4495,0.5069,0.5608
088,0.6566,0.4873,0.3663,0.4182,0.511
089,0.6614,0.5199,0.4553,0.4854,0.5599
090,0.5508,0.3798,0.3209,0.3479,0.4264
091,0.5475,0.4614,0.3562,0.402,0.4636
092,0.6159,0.4345,0.4285,0.4315,0.5074
093,0.6148,0.4781,0.3953,0.4328,0.508
094,0.6527,0.4887,0.3652,0.418,0.5097
095,0.6091,0.5518,0.4282,0.4822,0.5383
096,0.5257,0.4258,0.349,0.3836,0.4435
097,0.611,0.4644,0.3902,0.4241,0.5007
098,0.5488,0.4577,0.3399,0.3901,0.456
099,0.7113,0.5364,0.4715,0.5019,0.5885
100,0.6874,0.4894,0.3619,0.4161,0.5184
101,0.6922,0.3847,0.4454,0.4128,0.5172
102,0.698,0.4582,0.4335,0.4455,0.5439
103,0.7254,0.6814,0.4882,0.5689,0.6377
104,0.759,0.4763,0.4646,0.4704,0.5808
105,0.5834,0.4469,0.3728,0.4065,0.4791
106,0.8019,0.6051,0.5281,0.564,0.6622
107,0.7187,0.5872,0.4855,0.5315,0.6111
108,0.5899,0.5443,0.4098,0.4676,0.5217
109,0.7371,0.5332,0.4884,0.5098,0.6027
110,0.6549,0.493,0.3924,0.437,0.5242
111,0.7501,0.5284,0.4725,0.4989,0.5992
112,0.7977,0.6153,0.5648,0.589,0.6776
113,0.6907,0.4453,0.3795,0.4097,0.5143
114,0.5174,0.3281,0.3573,0.3421,0.4119
115,0.6858,0.5035,0.5742,0.5366,0.6021
116,0.6401,0.4488,0.4006,0.4233,0.5096
117,0.6229,0.4863,0.4354,0.4594,0.5288
118,0.6793,0.4779,0.4898,0.4838,0.5651
119,0.6502,0.4579,0.4273,0.4421,0.5263
