video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.451,0.3266,0.2809,0.302,0.3618
002,0.3546,0.397,0.2539,0.3097,0.3307
003,0.548,0.4047,0.2843,0.334,0.415
004,0.5379,0.4399,0.2645,0.3304,0.4094
005,0.5115,0.3719,0.3101,0.3382,0.4072
006,0.5475,0.4142,0.2861,0.3384,0.4183
007,0.5259,0.4133,0.2961,0.345,0.4166
008,0.5141,0.365,0.2656,0.3075,0.3848
009,0.344,0.3086,0.2017,0.244,0.2855
010,0.5818,0.5198,0.3758,0.4362,0.4986
011,0.3954,0.3575,0.2876,0.3188,0.353
012,0.2276,0.1895,0.1471,0.1657,0.1917
013,0.3049,0.37,0.2564,0.3029,0.3039
014,0.5873,0.489,0.3528,0.4099,0.4828
015,0.4094,0.4131,0.3378,0.3717,0.3896
016,0.5423,0.4201,0.3446,0.3787,0.4459
017,0.5729,0.3548,0.2617,0.3012,0.3948
018,0.4324,0.3785,0.2781,0.3206,0.3682
019,0.6361,0.4981,0.4156,0.4531,0.5292
020,0.4462,0.3173,0.234,0.2694,0.3359
021,0.5903,0.4851,0.2772,0.3528,0.4416
022,0.6512,0.5106,0.3733,0.4313,0.5189
023,0.5533,0.5442,0.41,0.4676,0.5069
024,0.5178,0.3818,0.2935,0.3319,0.4045
025,0.5785,0.4919,0.3552,0.4126,0.4816
026,0.5232,0.3578,0.3238,0.3399,0.4121
027,0.532,0.3876,0.2944,0.3346,0.4108
028,0.5096,0.3576,0.2948,0.3232,0.3955
029,0.4677,0.4275,0.2675,0.329,0.3863
030,0.5356,0.3333,0.2894,0.3098,0.3926
031,0.534,0.4367,0.3511,0.3893,0.4503
032,0.3359,0.3021,0.2456,0.2709,0.3
033,0.4904,0.3451,0.2688,0.3022,0.374
034,0.3674,0.2797,0.2531,0.2657,0.3084
035,0.5614,0.4148,0.3582,0.3845,0.4564
036,0.5117,0.3449,0.2595,0.2962,0.3752
037,0.5634,0.4085,0.3291,0.3646,0.4427
038,0.6185,0.3711,0.4466,0.4053,0.4897
039,0.5112,0.3956,0.3513,0.3722,0.4308
040,0.5805,0.481,0.4413,0.4603,0.5135
041,0.3909,0.3649,0.2065,0.2638,0.315
042,0.4908,0.3695,0.2936,0.3272,0.3926
043,0.5247,0.4054,0.3195,0.3574,0.4252
044,0.4103,0.3166,0.2526,0.281,0.3336
045,0.4363,0.4022,0.2947,0.3402,0.3823
046,0.6578,0.4781,0.3855,0.4268,0.5177
047,0.3642,0.3324,0.2612,0.2925,0.3245
048,0.5867,0.3919,0.3535,0.3717,0.4551
049,0.3601,0.3372,0.301,0.3181,0.3378
050,0.512,0.4473,0.3269,0.3777,0.4347
051,0.4335,0.4302,0.343,0.3817,0.406
052,0.4835,0.3389,0.2603,0.2944,0.366
053,0.5556,0.3836,0.2845,0.3267,0.4115
054,0.5804,0.412,0.3003,0.3474,0.4346
055,0.4523,0.2761,0.2529,0.264,0.3334
056,0.4369,0.3189,0.2494,0.2799,0.3412
057,0.537,0.3495,0.2658,0.3019,0.3865
058,0.5514,0.3779,0.3311,0.353,0.4304
059,0.5307,0.451,0.3474,0.3925,0.4512
060,0.4552,0.3307,0.3312,0.3309,0.3832
061,0.5778,0.3497,0.2827,0.3127,0.4058
062,0.4552,0.4604,0.3051,0.367,0.4064
063,0.4679,0.4114,0.2818,0.3345,0.3901
064,0.6237,0.418,0.3884,0.4026,0.4893
065,0.5016,0.3338,0.2266,0.2699,0.351
066,0.516,0.3767,0.2456,0.2974,0.3773
067,0.6489,0.4329,0.3614,0.3939,0.4902
068,0.457,0.4557,0.2599,0.331,0.3839
069,0.5005,0.4528,0.3297,0.3816,0.4331
070,0.6719,0.4987,0.4118,0.4511,0.5398
071,0.5505,0.4305,0.3023,0.3552,0.4318
072,0.5826,0.3804,0.2993,0.335,0.4254
073,0.6599,0.4257,0.3295,0.3715,0.4754
074,0.6136,0.4376,0.3145,0.366,0.4585
075,0.4312,0.3509,0.252,0.2933,0.3492
076,0.5225,0.3549,0.2564,0.2977,0.3793
077,0.5261,0.3891,0.2667,0.3165,0.3952
078,0.5962,0.3507,0.2682,0.3039,0.4026
079,0.6088,0.4182,0.3271,0.3671,0.458
080,0.5391,0.4115,0.2367,0.3006,0.3859
081,0.3703,0.4318,0.2621,0.3262,0.3469
082,0.5513,0.3395,0.3408,0.3401,0.4207
083,0.5359,0.4712,0.3987,0.4319,0.4783
084,0.4766,0.3362,0.2945,0.3139,0.3785
085,0.4491,0.4693,0.3273,0.3857,0.415
086,0.4825,0.3464,0.2314,0.2775,0.3523
087,0.4866,0.2894,0.301,0.2951,0.3674
088,0.5441,0.4234,0.3319,0.3721,0.4419
089,0.4431,0.3438,0.3099,0.326,0.3756
090,0.366,0.3846,0.2775,0.3224,0.3428
091,0.3125,0.2246,0.1864,0.2037,0.2467
092,0.4383,0.4627,0.3306,0.3857,0.4103
093,0.622,0.3718,0.3193,0.3436,0.4426
094,0.5051,0.4676,0.3104,0.3731,0.4292
095,0.5145,0.4514,0.3904,0.4187,0.4617
096,0.6536,0.329,0.3186,0.3237,0.433
097,0.3702,0.2893,0.2736,0.2812,0.3196
098,0.597,0.5337,0.3925,0.4523,0.5147
099,0.5656,0.4687,0.3598,0.4071,0.4734
100,0.4762,0.3717,0.2994,0.3317,0.391
101,0.2984,0.2554,0.2244,0.2389,0.2653
102,0.4555,0.2989,0.2429,0.268,0.3375
103,0.6004,0.4441,0.3585,0.3967,0.4778
104,0.6342,0.4291,0.3996,0.4138,0.5008
105,0.4168,0.2557,0.2742,0.2646,0.3237
106,0.4056,0.3257,0.2248,0.266,0.3213
107,0.5511,0.3766,0.3657,0.3711,0.4435
108,0.5679,0.3646,0.3562,0.3604,0.4409
109,0.5093,0.2962,0.3258,0.3103,0.3857
110,0.6797,0.4476,0.3714,0.406,0.5084
111,0.5839,0.4406,0.2884,0.3486,0.4366
112,0.5654,0.3844,0.4244,0.4034,0.4709
113,0.5286,0.4114,0.3866,0.3986,0.4545
114,0.406,0.361,0.3037,0.3299,0.364
115,0.672,0.5022,0.4563,0.4782,0.5588
116,0.6429,0.3378,0.3439,0.3408,0.4455
117,0.4533,0.2327,0.2514,0.2417,0.3153
118,0.5191,0.2733,0.2937,0.2831,0.3664
119,0.5804,0.3397,0.2948,0.3157,0.4089
120,0.5623,0.4273,0.4004,0.4134,0.4765
121,0.4929,0.3279,0.2477,0.2822,0.3589
122,0.6128,0.3628,0.3497,0.3562,0.4505
123,0.7046,0.5461,0.4675,0.5037,0.5875
124,0.4776,0.4111,0.2724,0.3277,0.3887
125,0.4235,0.3285,0.1939,0.2438,0.3095
127,0.598,0.4233,0.3128,0.3597,0.4492
128,0.809,0.4996,0.411,0.451,0.5792
129,0.5793,0.359,0.3823,0.3703,0.4518
130,0.5678,0.3006,0.2773,0.2885,0.3826
131,0.4917,0.351,0.3,0.3235,0.3903
132,0.69,0.3462,0.3684,0.3569,0.4705
133,0.6397,0.3889,0.3085,0.3441,0.4475
134,0.4192,0.3961,0.2816,0.3292,0.3688
135,0.4758,0.2825,0.2749,0.2786,0.3514
136,0.6105,0.3885,0.4196,0.4035,0.4859
137,0.5023,0.4526,0.2808,0.3466,0.4101
138,0.4553,0.3032,0.2836,0.293,0.3566
139,0.6166,0.4588,0.3885,0.4207,0.5002
140,0.4655,0.3147,0.2726,0.2922,0.359
141,0.7615,0.5144,0.4423,0.4756,0.5855
142,0.479,0.3261,0.2637,0.2916,0.3625
143,0.4626,0.2911,0.2568,0.2729,0.3433
144,0.6104,0.4011,0.3051,0.3466,0.4421
145,0.532,0.3374,0.2669,0.298,0.382
146,0.4464,0.2497,0.2672,0.2582,0.3271
147,0.5482,0.3574,0.3374,0.3471,0.4251
148,0.6226,0.3903,0.3455,0.3665,0.4614
149,0.5839,0.3798,0.3412,0.3595,0.445
150,0.5882,0.3954,0.3552,0.3742,0.4575
151,0.4737,0.3606,0.3085,0.3325,0.3907
152,0.3894,0.3087,0.2305,0.2639,0.3146
153,0.4706,0.3258,0.3386,0.3321,0.3894
154,0.5124,0.364,0.353,0.3584,0.4218
155,0.5119,0.3423,0.2902,0.3141,0.3893
156,0.5416,0.405,0.3665,0.3848,0.4499
157,0.5554,0.3307,0.2802,0.3034,0.3924
158,0.5495,0.3968,0.3229,0.3561,0.4321
159,0.4576,0.4026,0.261,0.3167,0.3743
160,0.57,0.4176,0.3493,0.3804,0.4563
161,0.6496,0.3723,0.359,0.3656,0.4679
162,0.5446,0.3506,0.3202,0.3347,0.4146
163,0.5608,0.3401,0.4066,0.3704,0.4461
164,0.4127,0.313,0.3062,0.3096,0.3538
