video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6434,0.6827,0.6387,0.66,0.6516
002,0.7472,0.6704,0.6272,0.648,0.6941
003,0.7409,0.6915,0.6038,0.6447,0.6895
004,0.6258,0.737,0.6539,0.693,0.6577
005,0.6718,0.6725,0.602,0.6353,0.653
006,0.7199,0.6754,0.6517,0.6633,0.6905
007,0.5924,0.6539,0.5952,0.6232,0.6074
008,0.6033,0.699,0.6201,0.6572,0.6291
009,0.6205,0.6545,0.5991,0.6256,0.623
010,0.7286,0.7011,0.6121,0.6536,0.6891
011,0.6864,0.7196,0.6315,0.6727,0.6795
012,0.6082,0.6433,0.5589,0.5981,0.6031
013,0.6351,0.6538,0.5629,0.605,0.6197
014,0.6461,0.6493,0.5805,0.613,0.6291
015,0.6818,0.6952,0.6471,0.6703,0.676
016,0.6566,0.6619,0.621,0.6408,0.6486
017,0.6477,0.6039,0.5539,0.5778,0.6108
018,0.6075,0.6591,0.6157,0.6367,0.6218
019,0.6887,0.7157,0.6603,0.6869,0.6878
020,0.7286,0.6827,0.6197,0.6497,0.6869
021,0.6566,0.6442,0.5668,0.603,0.6287
022,0.7192,0.7121,0.6792,0.6952,0.707
023,0.7328,0.7682,0.6961,0.7304,0.7316
024,0.8218,0.7126,0.6471,0.6783,0.7432
025,0.7589,0.7294,0.6627,0.6944,0.7252
026,0.6652,0.6918,0.628,0.6583,0.6618
027,0.6759,0.6726,0.6328,0.6521,0.6638
028,0.7252,0.6891,0.6405,0.6639,0.6932
029,0.691,0.6791,0.6257,0.6513,0.6706
030,0.7447,0.6707,0.6061,0.6367,0.6865
031,0.7669,0.6895,0.6731,0.6812,0.7215
032,0.692,0.6529,0.6031,0.627,0.6579
033,0.6072,0.6568,0.6116,0.6334,0.6201
034,0.7219,0.6647,0.6895,0.6768,0.6987
035,0.7464,0.6996,0.632,0.6641,0.7028
036,0.6212,0.6492,0.5857,0.6158,0.6185
037,0.698,0.6975,0.6491,0.6724,0.685
038,0.666,0.6896,0.6518,0.6702,0.6681
039,0.5929,0.6575,0.6384,0.6478,0.6191
040,0.6847,0.7374,0.6685,0.7013,0.6929
041,0.6575,0.6304,0.6259,0.6281,0.6425
042,0.6455,0.7099,0.6338,0.6697,0.6574
043,0.6586,0.6565,0.5935,0.6234,0.6405
044,0.6027,0.6099,0.5968,0.6033,0.603
045,0.7441,0.7148,0.68,0.697,0.7198
046,0.6978,0.6777,0.6115,0.6429,0.6692
047,0.6618,0.6499,0.6378,0.6438,0.6527
048,0.6009,0.6387,0.6224,0.6304,0.6153
049,0.7369,0.6934,0.7084,0.7008,0.7184
050,0.7428,0.7219,0.6595,0.6893,0.715
051,0.6981,0.6883,0.6231,0.6541,0.6754
052,0.6426,0.6343,0.5903,0.6115,0.6267
053,0.5984,0.6832,0.6191,0.6496,0.623
054,0.7051,0.6457,0.6277,0.6366,0.6691
055,0.6504,0.664,0.6178,0.6401,0.6452
056,0.6856,0.6565,0.5975,0.6256,0.6542
057,0.6543,0.6398,0.655,0.6473,0.6508
058,0.7065,0.6967,0.6274,0.6602,0.6826
059,0.7037,0.723,0.6745,0.6979,0.7008
060,0.8033,0.7135,0.6648,0.6883,0.7414
061,0.6757,0.7068,0.6575,0.6813,0.6785
062,0.7263,0.7585,0.6391,0.6937,0.7096
063,0.6719,0.6913,0.6414,0.6654,0.6686
064,0.7601,0.7194,0.6431,0.6791,0.7173
065,0.7504,0.6979,0.6232,0.6584,0.7014
066,0.624,0.6852,0.5965,0.6378,0.6308
067,0.7432,0.7322,0.6743,0.7021,0.7221
068,0.817,0.7418,0.6846,0.7121,0.7609
069,0.7597,0.7361,0.5767,0.6467,0.6987
070,0.8099,0.7104,0.7024,0.7064,0.7546
071,0.623,0.6742,0.5927,0.6308,0.6269
072,0.6374,0.6831,0.6597,0.6712,0.6539
073,0.5349,0.6325,0.6032,0.6175,0.5733
074,0.6843,0.6937,0.6011,0.6441,0.6636
075,0.6296,0.6293,0.5645,0.5951,0.6119
076,0.6462,0.6721,0.6213,0.6457,0.646
077,0.7388,0.6508,0.609,0.6292,0.6796
078,0.6883,0.6971,0.6017,0.6459,0.6664
079,0.5729,0.717,0.6093,0.6588,0.6128
080,0.7181,0.6561,0.6193,0.6372,0.6753
081,0.7119,0.691,0.5878,0.6352,0.6714
082,0.6674,0.6443,0.6018,0.6223,0.6441
083,0.7151,0.7146,0.6689,0.691,0.7028
084,0.7286,0.6568,0.641,0.6488,0.6864
085,0.6607,0.726,0.6192,0.6683,0.6645
086,0.6949,0.6509,0.5899,0.6189,0.6547
087,0.6575,0.6775,0.6448,0.6607,0.6591
088,0.6841,0.6831,0.6586,0.6706,0.6773
089,0.7521,0.6755,0.6232,0.6483,0.6963
090,0.4794,0.6016,0.5501,0.5747,0.5227
