video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6679,0.6654,0.649,0.6571,0.6625
002,0.4992,0.6041,0.6173,0.6106,0.5493
003,0.6235,0.6633,0.6163,0.639,0.6311
004,0.6284,0.6654,0.6405,0.6528,0.6403
005,0.6952,0.6324,0.6196,0.6259,0.6587
006,0.6495,0.6019,0.616,0.6089,0.6286
007,0.5947,0.6438,0.5633,0.6009,0.5977
008,0.5843,0.6649,0.629,0.6464,0.6138
009,0.7257,0.6614,0.6173,0.6386,0.6794
010,0.6426,0.7057,0.6558,0.6798,0.6607
011,0.5354,0.633,0.6419,0.6374,0.582
012,0.6202,0.5966,0.6296,0.6127,0.6164
013,0.607,0.6563,0.5952,0.6243,0.6155
014,0.4802,0.6322,0.6158,0.6239,0.5427
015,0.6152,0.6315,0.6039,0.6174,0.6163
016,0.626,0.6711,0.6343,0.6522,0.6388
017,0.6199,0.5924,0.561,0.5763,0.5973
018,0.5802,0.69,0.6049,0.6446,0.6108
019,0.6855,0.6951,0.6685,0.6815,0.6835
020,0.6941,0.7165,0.6466,0.6798,0.6869
021,0.5184,0.5757,0.5324,0.5532,0.5352
022,0.6199,0.6923,0.6705,0.6812,0.6491
023,0.5933,0.6493,0.6721,0.6605,0.6251
024,0.6679,0.6561,0.6451,0.6506,0.6591
025,0.7037,0.6696,0.6536,0.6615,0.682
026,0.5919,0.632,0.6387,0.6353,0.6129
027,0.4881,0.6196,0.5907,0.6048,0.5402
028,0.6544,0.618,0.64,0.6288,0.6413
029,0.6032,0.6573,0.6505,0.6539,0.6276
030,0.6536,0.658,0.6099,0.6331,0.6432
031,0.6472,0.6223,0.5981,0.61,0.628
032,0.5953,0.6007,0.5831,0.5918,0.5935
033,0.4738,0.5721,0.5797,0.5759,0.5199
034,0.6069,0.6542,0.6736,0.6637,0.6341
035,0.6163,0.6378,0.651,0.6443,0.63
036,0.5972,0.6146,0.5862,0.6001,0.5986
037,0.5845,0.6586,0.647,0.6527,0.6167
038,0.6097,0.6326,0.6402,0.6364,0.6228
039,0.6597,0.6769,0.6476,0.662,0.6609
040,0.6577,0.6647,0.6342,0.6491,0.6534
041,0.6435,0.6235,0.5932,0.608,0.6253
042,0.429,0.5676,0.5681,0.5679,0.4887
043,0.5538,0.6424,0.5972,0.619,0.5846
044,0.6039,0.6246,0.5855,0.6044,0.6042
045,0.5782,0.6574,0.5854,0.6193,0.598
046,0.5668,0.6794,0.6479,0.6633,0.6113
047,0.6118,0.6107,0.6387,0.6244,0.618
048,0.6042,0.6178,0.6602,0.6383,0.6208
049,0.5849,0.6146,0.6375,0.6258,0.6047
050,0.7024,0.6607,0.62,0.6397,0.6696
051,0.612,0.6222,0.5981,0.6099,0.611
052,0.5667,0.6624,0.6406,0.6513,0.6061
053,0.3647,0.3742,0.2843,0.3231,0.3427
054,0.645,0.6031,0.6331,0.6177,0.6311
055,0.6828,0.622,0.6439,0.6327,0.6568
056,0.5983,0.5846,0.5892,0.5869,0.5925
057,0.6648,0.6114,0.6025,0.6069,0.6345
058,0.6322,0.6448,0.6348,0.6398,0.636
059,0.5853,0.6366,0.6246,0.6305,0.6071
