video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6308,0.7037,0.641,0.6709,0.6502
002,0.61,0.7097,0.5962,0.6481,0.6285
003,0.7068,0.6736,0.6345,0.6535,0.6791
004,0.5939,0.6609,0.6455,0.6531,0.6221
005,0.6242,0.6859,0.6308,0.6572,0.6402
006,0.731,0.7155,0.6611,0.6872,0.7084
007,0.7116,0.6772,0.6099,0.6418,0.6749
008,0.5313,0.6603,0.6339,0.6468,0.5834
009,0.5239,0.669,0.6154,0.641,0.5766
010,0.6741,0.7367,0.6339,0.6815,0.6778
011,0.6768,0.7279,0.6473,0.6852,0.681
012,0.5226,0.6348,0.5843,0.6085,0.5623
013,0.7234,0.6807,0.6268,0.6526,0.6862
014,0.7701,0.7402,0.6347,0.6834,0.7242
015,0.6809,0.7043,0.6328,0.6667,0.6737
016,0.6277,0.6545,0.5901,0.6206,0.6241
017,0.7464,0.6739,0.6114,0.6411,0.6898
018,0.592,0.6998,0.6042,0.6485,0.619
019,0.7146,0.7655,0.6549,0.7059,0.7102
020,0.7195,0.6766,0.6213,0.6478,0.6818
021,0.7188,0.7164,0.6357,0.6736,0.6955
022,0.7086,0.7228,0.6789,0.7002,0.7044
023,0.682,0.7972,0.6702,0.7282,0.7044
024,0.8147,0.7005,0.6584,0.6788,0.7406
025,0.7094,0.6927,0.6674,0.6798,0.6943
026,0.5898,0.6824,0.6594,0.6707,0.6277
027,0.719,0.6916,0.6805,0.686,0.7021
028,0.6801,0.7012,0.6599,0.6799,0.68
029,0.7646,0.6971,0.6662,0.6813,0.7205
030,0.7531,0.7112,0.6391,0.6733,0.711
031,0.7499,0.7298,0.6951,0.712,0.7305
032,0.6562,0.6494,0.6315,0.6403,0.6481
033,0.6058,0.6387,0.5632,0.5985,0.6021
034,0.6445,0.6272,0.6559,0.6412,0.6428
035,0.8073,0.7852,0.6734,0.725,0.7639
036,0.5661,0.6473,0.5912,0.618,0.5909
037,0.6731,0.7024,0.6888,0.6955,0.6842
038,0.7352,0.7695,0.7165,0.7421,0.7386
039,0.6394,0.6942,0.6996,0.6969,0.6669
040,0.6763,0.6818,0.6636,0.6726,0.6744
041,0.666,0.6777,0.6816,0.6797,0.6727
042,0.6002,0.7198,0.5843,0.645,0.6218
043,0.6724,0.7041,0.6018,0.649,0.6605
044,0.695,0.7096,0.6726,0.6906,0.6928
045,0.6114,0.7173,0.6609,0.688,0.6474
046,0.687,0.8039,0.6921,0.7438,0.7143
047,0.6611,0.6833,0.6536,0.6681,0.6646
048,0.5898,0.6691,0.6398,0.6542,0.6203
049,0.7259,0.7373,0.7015,0.719,0.7224
050,0.6701,0.7362,0.6276,0.6776,0.6738
051,0.6281,0.6549,0.6137,0.6336,0.6308
052,0.7428,0.7213,0.6489,0.6832,0.7117
053,0.5751,0.6382,0.6005,0.6188,0.5961
054,0.7124,0.6996,0.7096,0.7046,0.7085
055,0.656,0.6912,0.5877,0.6353,0.6454
056,0.6953,0.7345,0.6339,0.6805,0.6878
057,0.7067,0.744,0.7044,0.7237,0.7151
058,0.6041,0.6282,0.6317,0.63,0.6168
059,0.6235,0.7376,0.641,0.6859,0.6532
060,0.6396,0.7284,0.6637,0.6946,0.6659
061,0.5502,0.6386,0.6202,0.6293,0.5871
062,0.704,0.7228,0.6655,0.693,0.6985
063,0.6315,0.7231,0.6753,0.6984,0.6633
064,0.7505,0.7271,0.6667,0.6956,0.722
065,0.654,0.6986,0.6179,0.6558,0.6549
066,0.5129,0.6297,0.5385,0.5806,0.5446
067,0.6492,0.7273,0.6566,0.6902,0.6691
068,0.646,0.6972,0.6214,0.6572,0.6515
069,0.7695,0.7308,0.6474,0.6866,0.7257
070,0.7998,0.7261,0.6667,0.6952,0.7438
071,0.6699,0.6802,0.6351,0.6569,0.6633
072,0.6654,0.7412,0.6256,0.6785,0.6719
073,0.6598,0.6813,0.6471,0.6638,0.6618
074,0.6704,0.7234,0.6286,0.6727,0.6715
075,0.656,0.6107,0.6342,0.6222,0.6387
076,0.6299,0.6666,0.6071,0.6355,0.6327
077,0.7634,0.7183,0.6719,0.6943,0.7272
078,0.6885,0.7237,0.6163,0.6657,0.6769
079,0.6247,0.7051,0.6448,0.6736,0.6482
080,0.7375,0.7333,0.6117,0.667,0.7005
081,0.7051,0.6731,0.6444,0.6584,0.681
082,0.6212,0.7448,0.6635,0.7018,0.659
083,0.6069,0.6547,0.6321,0.6432,0.6245
084,0.6289,0.6559,0.6765,0.666,0.6469
085,0.6793,0.7325,0.6414,0.6839,0.6816
086,0.4886,0.721,0.5669,0.6347,0.5522
087,0.6083,0.7367,0.697,0.7163,0.6579
