video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6423,0.7084,0.6591,0.6829,0.662
002,0.7407,0.6376,0.6133,0.6252,0.6781
003,0.6567,0.6512,0.6189,0.6347,0.6455
004,0.6572,0.6535,0.6618,0.6576,0.6574
005,0.6759,0.6602,0.6163,0.6375,0.6561
006,0.7129,0.691,0.6656,0.6781,0.6951
007,0.6456,0.6541,0.6093,0.6309,0.6382
008,0.6021,0.6241,0.6123,0.6182,0.61
009,0.5859,0.6511,0.6227,0.6366,0.6102
010,0.6702,0.678,0.6402,0.6586,0.6643
011,0.6568,0.6742,0.6488,0.6612,0.659
012,0.5986,0.6446,0.597,0.6199,0.609
013,0.5614,0.6469,0.6029,0.6242,0.5911
014,0.7176,0.6153,0.6138,0.6145,0.6621
015,0.7324,0.6674,0.6455,0.6563,0.6922
016,0.6381,0.6272,0.6153,0.6212,0.6295
017,0.7202,0.6595,0.6386,0.6489,0.6827
018,0.6748,0.647,0.6177,0.632,0.6527
019,0.7205,0.659,0.6224,0.6402,0.678
020,0.7317,0.5816,0.5968,0.5891,0.6527
021,0.6875,0.6718,0.615,0.6421,0.664
022,0.6884,0.6631,0.6541,0.6585,0.6731
023,0.6523,0.7139,0.6638,0.688,0.6697
024,0.796,0.6557,0.6473,0.6515,0.7165
025,0.6746,0.6518,0.6295,0.6405,0.6571
026,0.6168,0.6518,0.6387,0.6452,0.6306
027,0.6789,0.6833,0.6588,0.6709,0.6749
028,0.7063,0.655,0.6631,0.659,0.6818
029,0.6571,0.6677,0.6486,0.658,0.6576
030,0.7271,0.6639,0.6548,0.6593,0.6916
031,0.7212,0.6823,0.676,0.6791,0.6996
032,0.6311,0.6437,0.6403,0.642,0.6365
033,0.5736,0.5971,0.5934,0.5952,0.5842
034,0.6164,0.613,0.6571,0.6343,0.6252
035,0.6165,0.6788,0.6579,0.6682,0.6413
036,0.5416,0.6183,0.6025,0.6103,0.5739
037,0.6302,0.6988,0.6412,0.6688,0.6489
038,0.6383,0.6427,0.6438,0.6432,0.6408
039,0.6646,0.6444,0.6886,0.6657,0.6652
040,0.6737,0.6604,0.6661,0.6632,0.6684
041,0.6535,0.6315,0.5834,0.6065,0.6291
042,0.6824,0.668,0.6396,0.6535,0.6676
043,0.6264,0.6251,0.6027,0.6137,0.62
044,0.5952,0.6009,0.6169,0.6088,0.6019
045,0.7481,0.6519,0.6265,0.639,0.6892
046,0.647,0.6569,0.6537,0.6553,0.6511
047,0.6847,0.6213,0.6292,0.6252,0.6536
048,0.7039,0.6506,0.6843,0.667,0.6849
049,0.7098,0.6991,0.6871,0.693,0.7013
050,0.675,0.6339,0.5857,0.6088,0.6402
051,0.6843,0.608,0.6182,0.6131,0.6467
052,0.6562,0.63,0.6115,0.6206,0.6379
053,0.6611,0.6196,0.6208,0.6202,0.64
054,0.6981,0.635,0.62,0.6274,0.6609
055,0.5711,0.6275,0.5747,0.5999,0.5852
056,0.6983,0.6518,0.6218,0.6365,0.666
057,0.6114,0.6229,0.6733,0.6471,0.6287
058,0.6596,0.6483,0.6136,0.6305,0.6447
059,0.5729,0.678,0.6164,0.6457,0.6071
060,0.7256,0.6323,0.6551,0.6435,0.6821
061,0.6018,0.6536,0.6167,0.6347,0.6178
062,0.6812,0.6738,0.6465,0.6599,0.6704
063,0.6794,0.6855,0.6719,0.6786,0.679
064,0.6757,0.683,0.6212,0.6506,0.663
065,0.6646,0.6296,0.5958,0.6122,0.6373
066,0.5373,0.5644,0.5291,0.5462,0.5417
067,0.7466,0.6913,0.6527,0.6715,0.707
068,0.7765,0.683,0.6252,0.6528,0.7093
069,0.7173,0.6884,0.6427,0.6648,0.6901
070,0.785,0.716,0.7016,0.7087,0.7449
071,0.6209,0.7064,0.6409,0.6721,0.6455
072,0.598,0.6387,0.6425,0.6406,0.6186
073,0.6896,0.6447,0.642,0.6433,0.6657
074,0.623,0.6449,0.6027,0.6231,0.6231
075,0.6788,0.634,0.6006,0.6168,0.6463
076,0.6344,0.6314,0.6006,0.6156,0.6249
077,0.6723,0.6829,0.6294,0.6551,0.6635
078,0.6584,0.6541,0.597,0.6243,0.6409
079,0.5852,0.6408,0.61,0.625,0.6045
080,0.7307,0.6335,0.6454,0.6394,0.682
081,0.6816,0.6771,0.6128,0.6433,0.6619
082,0.6155,0.6279,0.6364,0.6321,0.6237
