video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5525,0.7345,0.6341,0.6806,0.6099
002,0.619,0.7332,0.6178,0.6705,0.6438
003,0.5341,0.6264,0.5287,0.5734,0.5531
004,0.5057,0.6287,0.5847,0.6059,0.5513
005,0.3107,0.5905,0.4675,0.5219,0.3895
006,0.3713,0.6195,0.5144,0.5621,0.4472
007,0.5001,0.6076,0.5565,0.5809,0.5375
008,0.6515,0.6527,0.603,0.6269,0.639
009,0.5695,0.6449,0.5786,0.6099,0.589
010,0.6186,0.674,0.6013,0.6356,0.627
011,0.5226,0.6258,0.5943,0.6097,0.5628
012,0.3506,0.5717,0.4794,0.5215,0.4193
013,0.5856,0.7236,0.562,0.6327,0.6082
014,0.5246,0.6602,0.5217,0.5828,0.5522
015,0.3381,0.5506,0.5049,0.5267,0.4118
016,0.543,0.6593,0.5722,0.6126,0.5757
017,0.4916,0.645,0.5331,0.5837,0.5337
018,0.5213,0.733,0.5624,0.6365,0.5731
019,0.5466,0.7495,0.5776,0.6524,0.5948
020,0.7283,0.7116,0.6387,0.6732,0.6996
021,0.5216,0.6294,0.5619,0.5938,0.5554
022,0.6278,0.7349,0.6266,0.6765,0.6512
023,0.6124,0.6501,0.6183,0.6338,0.6229
024,0.5613,0.6673,0.5351,0.594,0.5772
025,0.5926,0.7124,0.5972,0.6497,0.6199
026,0.626,0.6702,0.6185,0.6433,0.6345
027,0.4529,0.6562,0.5324,0.5879,0.5117
028,0.4003,0.6689,0.4771,0.5569,0.4658
029,0.5565,0.6476,0.5863,0.6154,0.5845
030,0.5512,0.7176,0.553,0.6247,0.5856
031,0.4703,0.622,0.585,0.6029,0.5284
032,0.6379,0.676,0.6125,0.6427,0.6403
033,0.4815,0.6212,0.5355,0.5752,0.5242
034,0.734,0.703,0.6854,0.6941,0.7135
035,0.5122,0.6068,0.5604,0.5827,0.5452
036,0.3902,0.5494,0.4928,0.5195,0.4457
037,0.5046,0.6358,0.5555,0.5929,0.5452
038,0.4936,0.6433,0.5644,0.6013,0.5422
039,0.5171,0.6322,0.6235,0.6278,0.5671
040,0.5593,0.6207,0.5962,0.6082,0.5827
041,0.4353,0.5944,0.5485,0.5705,0.4938
042,0.3445,0.5857,0.5026,0.541,0.4209
043,0.5273,0.6767,0.5278,0.593,0.5582
044,0.5205,0.636,0.5921,0.6133,0.5631
045,0.5401,0.6568,0.5384,0.5917,0.5647
046,0.5267,0.7449,0.5654,0.6428,0.579
047,0.5401,0.6637,0.5682,0.6123,0.5739
048,0.5129,0.6243,0.5965,0.6101,0.5573
049,0.5082,0.6554,0.5777,0.6141,0.5561
050,0.587,0.7362,0.5899,0.655,0.6191
051,0.5498,0.6648,0.5349,0.5928,0.5705
052,0.5515,0.6603,0.5406,0.5945,0.5722
053,0.454,0.6056,0.5424,0.5723,0.5063
054,0.4229,0.5868,0.5158,0.549,0.4778
055,0.5646,0.6263,0.5761,0.6001,0.5818
056,0.5452,0.6045,0.5718,0.5877,0.5656
057,0.5393,0.6499,0.6187,0.6339,0.5828
058,0.5426,0.6193,0.5675,0.5923,0.5663
059,0.5602,0.6894,0.5912,0.6365,0.5959
060,0.5136,0.6388,0.5804,0.6082,0.5569
061,0.5722,0.6605,0.5945,0.6258,0.5978
062,0.5275,0.678,0.584,0.6275,0.5732
063,0.5345,0.6957,0.6208,0.6561,0.5891
064,0.5799,0.7207,0.5406,0.6178,0.5982
065,0.4305,0.5985,0.5616,0.5795,0.494
066,0.5033,0.6829,0.5719,0.6225,0.5566
067,0.5695,0.6803,0.5891,0.6314,0.5989
068,0.6551,0.6468,0.6361,0.6414,0.6482
069,0.2509,0.5487,0.4523,0.4959,0.3332
070,0.7777,0.755,0.7059,0.7296,0.7529
071,0.6372,0.7081,0.6165,0.6591,0.648
072,0.5434,0.677,0.5134,0.584,0.563
073,0.6603,0.6432,0.5887,0.6147,0.6367
074,0.4801,0.6144,0.557,0.5843,0.5271
075,0.5201,0.6279,0.5377,0.5793,0.5481
076,0.3636,0.5947,0.4183,0.4912,0.4179
077,0.6461,0.6728,0.609,0.6393,0.6427
078,0.5303,0.7074,0.5671,0.6295,0.5757
079,0.5269,0.6289,0.5424,0.5825,0.5533
080,0.5985,0.6777,0.5767,0.6232,0.6106
081,0.4777,0.6392,0.562,0.5981,0.5312
082,0.496,0.6379,0.5515,0.5916,0.5396
083,0.4181,0.5921,0.5388,0.5642,0.4802
084,0.3778,0.5046,0.4931,0.4987,0.4299
085,0.5937,0.6756,0.6317,0.6529,0.6219
086,0.3994,0.5771,0.4971,0.5342,0.457
087,0.5246,0.6037,0.5915,0.5975,0.5587
088,0.3829,0.5414,0.5597,0.5504,0.4516
089,0.4762,0.6914,0.4936,0.576,0.5214
090,0.4081,0.5671,0.4793,0.5195,0.4571
091,0.4372,0.582,0.5102,0.5438,0.4847
092,0.6389,0.6589,0.6241,0.641,0.64
093,0.4505,0.5739,0.5167,0.5438,0.4928
094,0.5488,0.6484,0.5697,0.6065,0.5762
095,0.5677,0.5942,0.5522,0.5724,0.57
096,0.4427,0.6318,0.574,0.6015,0.51
097,0.6589,0.7023,0.6511,0.6757,0.6672
098,0.4362,0.59,0.5529,0.5708,0.4945
099,0.6506,0.7025,0.6518,0.6762,0.6631
100,0.7023,0.7072,0.5637,0.6274,0.6627
101,0.6116,0.6062,0.5726,0.5889,0.6
102,0.6301,0.7071,0.6329,0.668,0.6485
103,0.6868,0.735,0.6691,0.7005,0.6936
104,0.6021,0.6589,0.5772,0.6153,0.6087
105,0.5803,0.6419,0.5556,0.5956,0.5879
106,0.7177,0.7211,0.6751,0.6974,0.7074
107,0.6038,0.6199,0.5606,0.5887,0.5962
108,0.6024,0.6879,0.6058,0.6442,0.6226
109,0.5201,0.6818,0.5715,0.6218,0.5664
110,0.5569,0.697,0.5267,0.6,0.5777
111,0.6466,0.6346,0.5717,0.6015,0.6232
112,0.6147,0.7322,0.6285,0.6764,0.6441
113,0.7154,0.6895,0.6587,0.6738,0.6939
114,0.5454,0.6219,0.542,0.5792,0.5618
115,0.602,0.6687,0.6365,0.6522,0.6261
116,0.6288,0.6235,0.549,0.5839,0.6055
117,0.5319,0.6009,0.5867,0.5937,0.5611
118,0.5438,0.7274,0.6246,0.6721,0.6012
119,0.641,0.7044,0.6304,0.6654,0.653
120,0.5675,0.6163,0.5709,0.5928,0.5799
121,0.6119,0.6707,0.6185,0.6436,0.6273
122,0.5622,0.5846,0.5307,0.5564,0.5593
123,0.653,0.7114,0.6284,0.6673,0.6601
124,0.5802,0.6622,0.5886,0.6232,0.6009
125,0.6241,0.6611,0.6282,0.6442,0.634
127,0.538,0.5781,0.5737,0.5759,0.5563
128,0.5741,0.6689,0.5763,0.6191,0.5958
129,0.616,0.5807,0.6256,0.6023,0.6091
130,0.6021,0.6896,0.6294,0.6581,0.6289
131,0.5019,0.6299,0.5568,0.5911,0.5429
132,0.6861,0.714,0.674,0.6934,0.6898
133,0.4426,0.5665,0.4933,0.5274,0.4813
134,0.5879,0.6772,0.5945,0.6331,0.6097
135,0.6806,0.6399,0.6381,0.639,0.6592
136,0.6387,0.6369,0.5819,0.6082,0.623
137,0.5454,0.6133,0.607,0.6101,0.576
138,0.6742,0.6759,0.6242,0.649,0.6614
139,0.7344,0.7395,0.6701,0.7031,0.7184
140,0.5736,0.6211,0.5862,0.6031,0.588
141,0.7226,0.7017,0.6744,0.6878,0.7048
142,0.4859,0.5764,0.5616,0.5689,0.5241
143,0.5265,0.5866,0.5793,0.5829,0.5533
144,0.4911,0.5915,0.5201,0.5535,0.5205
145,0.651,0.653,0.6898,0.6709,0.6608
146,0.6643,0.6067,0.5881,0.5973,0.629
147,0.5758,0.6477,0.5394,0.5886,0.5822
148,0.459,0.5601,0.5211,0.5399,0.4962
149,0.7318,0.7433,0.6964,0.7191,0.7254
150,0.5054,0.6191,0.5686,0.5928,0.5456
151,0.4722,0.6112,0.4888,0.5432,0.5052
152,0.5556,0.645,0.5387,0.5871,0.5709
153,0.6261,0.6297,0.6538,0.6415,0.6337
154,0.5106,0.5991,0.4801,0.533,0.5216
155,0.6979,0.6816,0.576,0.6244,0.6591
156,0.6493,0.6862,0.5961,0.638,0.6436
157,0.5499,0.6362,0.6211,0.6285,0.5866
158,0.5867,0.69,0.6519,0.6704,0.6258
159,0.5933,0.652,0.5012,0.5668,0.5797
160,0.4962,0.5825,0.544,0.5626,0.5273
161,0.6146,0.6513,0.6088,0.6293,0.6219
162,0.7147,0.6838,0.6492,0.666,0.6895
163,0.3179,0.3847,0.4175,0.4004,0.3544
164,0.5329,0.5807,0.5577,0.569,0.5503
165,0.5634,0.5673,0.5665,0.5669,0.5652
166,0.5013,0.6625,0.5673,0.6112,0.5508
167,0.5557,0.5939,0.5845,0.5892,0.5719
168,0.5591,0.6324,0.5803,0.6052,0.5813
169,0.6608,0.6807,0.6298,0.6543,0.6575
170,0.4997,0.6595,0.6025,0.6297,0.5572
171,0.5978,0.6054,0.6207,0.613,0.6053
172,0.5358,0.6569,0.5447,0.5956,0.5641
173,0.7206,0.6975,0.6681,0.6825,0.701
174,0.7415,0.695,0.6544,0.6741,0.7062
175,0.6204,0.6857,0.6517,0.6683,0.6434
176,0.6147,0.6466,0.6482,0.6474,0.6306
177,0.5152,0.6212,0.5898,0.6051,0.5565
178,0.588,0.6288,0.5505,0.5871,0.5875
179,0.7156,0.663,0.6141,0.6376,0.6744
180,0.4263,0.5243,0.4945,0.509,0.464
181,0.4853,0.5564,0.5275,0.5416,0.5119
182,0.6596,0.5831,0.5538,0.5681,0.6104
183,0.5338,0.614,0.54,0.5747,0.5535
184,0.6286,0.6605,0.6602,0.6603,0.6441
185,0.5447,0.6253,0.569,0.5958,0.5691
186,0.5068,0.6641,0.565,0.6105,0.5538
187,0.5173,0.5752,0.6113,0.5927,0.5525
188,0.5881,0.6231,0.5704,0.5956,0.5918
189,0.6326,0.6195,0.5951,0.6071,0.6196
190,0.584,0.6261,0.5793,0.6018,0.5928
191,0.6438,0.7288,0.6452,0.6844,0.6635
192,0.5833,0.6573,0.6776,0.6673,0.6225
193,0.6362,0.6535,0.6492,0.6513,0.6437
194,0.5803,0.6716,0.6405,0.6557,0.6157
195,0.582,0.6595,0.6423,0.6508,0.6145
196,0.6447,0.6579,0.613,0.6346,0.6396
197,0.4993,0.5734,0.5386,0.5555,0.5259
198,0.486,0.6556,0.6602,0.6579,0.559
199,0.545,0.628,0.5641,0.5944,0.5686
200,0.6108,0.6128,0.5931,0.6028,0.6067
