video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.621,0.6205,0.6594,0.6393,0.6301
002,0.6531,0.71,0.6102,0.6563,0.6547
003,0.575,0.6492,0.5825,0.6141,0.5939
004,0.5623,0.6703,0.6466,0.6582,0.6065
005,0.5496,0.6993,0.5874,0.6385,0.5907
006,0.5619,0.6665,0.6075,0.6356,0.5965
007,0.5484,0.6642,0.5868,0.6231,0.5833
008,0.4251,0.6058,0.5361,0.5688,0.4866
009,0.5112,0.5904,0.5771,0.5837,0.545
010,0.6524,0.7179,0.6734,0.6949,0.673
011,0.5735,0.6424,0.6281,0.6352,0.6028
012,0.5768,0.7098,0.6483,0.6777,0.6231
013,0.5462,0.6806,0.6113,0.6441,0.5911
014,0.5933,0.6878,0.6115,0.6474,0.6192
015,0.6114,0.6727,0.6082,0.6388,0.6248
016,0.5582,0.6424,0.604,0.6226,0.5887
017,0.6876,0.6533,0.6057,0.6286,0.6568
018,0.5243,0.6559,0.5606,0.6045,0.5616
019,0.6267,0.7543,0.6183,0.6796,0.6521
020,0.7074,0.7415,0.6438,0.6892,0.6982
021,0.5428,0.6027,0.557,0.579,0.5603
022,0.6532,0.6889,0.645,0.6662,0.6596
023,0.6632,0.6965,0.6655,0.6806,0.6718
024,0.4322,0.6267,0.583,0.6041,0.5039
025,0.5795,0.6606,0.6324,0.6462,0.611
026,0.5986,0.6458,0.6203,0.6328,0.6152
027,0.6276,0.6346,0.6466,0.6406,0.634
028,0.5596,0.6588,0.6267,0.6424,0.5981
029,0.5074,0.6552,0.5846,0.6179,0.5572
030,0.6129,0.6827,0.637,0.6591,0.6351
031,0.5775,0.6378,0.5955,0.6159,0.5961
032,0.5919,0.6512,0.6387,0.6449,0.6173
033,0.5847,0.6743,0.5848,0.6264,0.6048
034,0.6264,0.6677,0.6569,0.6622,0.6438
035,0.6565,0.6891,0.6424,0.6649,0.6607
036,0.493,0.6138,0.5785,0.5956,0.5395
037,0.6627,0.6854,0.6557,0.6703,0.6665
038,0.6728,0.6609,0.6687,0.6647,0.6687
039,0.5716,0.6756,0.6595,0.6675,0.6158
040,0.5689,0.654,0.6261,0.6398,0.6022
041,0.4974,0.6504,0.5897,0.6186,0.5514
042,0.5435,0.6448,0.6226,0.6335,0.5851
043,0.5615,0.6867,0.5983,0.6395,0.598
044,0.5879,0.6286,0.595,0.6113,0.5994
045,0.5606,0.6212,0.579,0.5994,0.5793
046,0.5873,0.6953,0.6203,0.6557,0.6196
047,0.6137,0.6807,0.6389,0.6591,0.6356
048,0.5304,0.6413,0.6381,0.6397,0.58
049,0.6249,0.6572,0.6353,0.6461,0.6353
050,0.6089,0.6865,0.6207,0.652,0.6297
051,0.5217,0.5729,0.5201,0.5452,0.5332
052,0.6101,0.7208,0.6691,0.694,0.6493
053,0.475,0.635,0.5834,0.6081,0.5334
054,0.5769,0.6494,0.6172,0.6329,0.6036
055,0.668,0.6339,0.6114,0.6225,0.6444
056,0.5487,0.5996,0.5501,0.5738,0.561
057,0.5295,0.592,0.6405,0.6153,0.5692
058,0.5535,0.5894,0.5523,0.5703,0.5618
059,0.5718,0.6656,0.6364,0.6507,0.6087
060,0.5513,0.7003,0.6375,0.6675,0.6038
061,0.6683,0.6929,0.6971,0.695,0.6814
062,0.5474,0.6682,0.5852,0.624,0.5832
063,0.5605,0.6745,0.6296,0.6513,0.6025
064,0.701,0.7285,0.6157,0.6673,0.6838
065,0.5018,0.6477,0.4967,0.5623,0.5303
066,0.6636,0.5816,0.5491,0.5649,0.6103
067,0.6322,0.6645,0.656,0.6602,0.6459
068,0.7914,0.7195,0.6942,0.7066,0.7466
069,0.6576,0.6682,0.5891,0.6261,0.6415
070,0.7844,0.7602,0.6744,0.7148,0.748
071,0.5322,0.6236,0.5633,0.592,0.5605
072,0.6363,0.7143,0.672,0.6925,0.6632
073,0.6571,0.7133,0.6331,0.6708,0.6639
