video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6497,0.6934,0.6648,0.6788,0.6639
002,0.6686,0.6658,0.6515,0.6586,0.6636
003,0.6812,0.6639,0.6388,0.6511,0.6659
004,0.5357,0.6206,0.6041,0.6122,0.5714
005,0.5862,0.6942,0.6527,0.6728,0.6265
006,0.6196,0.6234,0.6278,0.6256,0.6226
007,0.5596,0.6435,0.6199,0.6315,0.5934
008,0.5521,0.6579,0.6313,0.6443,0.5947
009,0.4674,0.6496,0.6299,0.6396,0.5401
010,0.6103,0.702,0.6451,0.6723,0.6398
011,0.5685,0.6955,0.6865,0.691,0.6238
012,0.5347,0.6583,0.6279,0.6428,0.5837
013,0.5951,0.6622,0.6116,0.6359,0.6148
014,0.5833,0.6513,0.5869,0.6174,0.5999
015,0.589,0.6374,0.6094,0.6231,0.6056
016,0.5244,0.6387,0.6028,0.6203,0.5683
017,0.6944,0.6834,0.643,0.6626,0.6781
018,0.6089,0.6658,0.6144,0.6391,0.6236
019,0.594,0.661,0.629,0.6446,0.6183
020,0.6896,0.6995,0.6625,0.6805,0.685
021,0.6902,0.6311,0.6252,0.6281,0.6577
022,0.6516,0.6889,0.6669,0.6777,0.6644
023,0.7057,0.7172,0.6804,0.6983,0.702
024,0.7474,0.6802,0.6563,0.668,0.7055
025,0.6455,0.6744,0.6796,0.677,0.6609
026,0.6199,0.6876,0.6744,0.6809,0.649
027,0.6472,0.6434,0.6644,0.6537,0.6504
028,0.6129,0.6479,0.6783,0.6628,0.6368
029,0.6148,0.648,0.6187,0.633,0.6238
030,0.525,0.6188,0.6161,0.6175,0.5675
031,0.612,0.6572,0.6637,0.6604,0.6353
032,0.6375,0.6174,0.6029,0.61,0.6235
033,0.6051,0.6643,0.6247,0.6439,0.6239
034,0.5624,0.6128,0.6388,0.6255,0.5923
035,0.6553,0.6508,0.6286,0.6395,0.6473
036,0.5061,0.6431,0.5809,0.6104,0.5534
037,0.6736,0.6804,0.6739,0.6771,0.6754
038,0.4942,0.638,0.6102,0.6238,0.5515
039,0.4951,0.5976,0.5945,0.5961,0.5409
040,0.6085,0.6861,0.6481,0.6666,0.6362
041,0.6702,0.6769,0.6126,0.6431,0.6564
042,0.5101,0.6541,0.6015,0.6267,0.5624
043,0.5879,0.6271,0.58,0.6026,0.5952
044,0.588,0.643,0.6095,0.6258,0.6063
045,0.562,0.6618,0.5943,0.6262,0.5924
046,0.6381,0.6838,0.6651,0.6743,0.6557
047,0.5521,0.6268,0.6105,0.6185,0.5834
048,0.6653,0.6891,0.6809,0.685,0.675
049,0.6597,0.6556,0.6418,0.6487,0.6541
050,0.5482,0.7085,0.6312,0.6676,0.602
051,0.6363,0.612,0.6279,0.6199,0.628
052,0.6032,0.6681,0.652,0.6599,0.6303
053,0.3987,0.6115,0.6026,0.607,0.4813
054,0.692,0.635,0.6387,0.6368,0.6632
055,0.6128,0.6478,0.6208,0.634,0.6232
056,0.649,0.6692,0.5522,0.6051,0.6263
057,0.7342,0.7069,0.7063,0.7066,0.7201
058,0.5309,0.6249,0.6109,0.6178,0.5711
059,0.6755,0.7041,0.679,0.6913,0.6833
060,0.6559,0.6565,0.6285,0.6422,0.649
061,0.7303,0.7086,0.6859,0.6971,0.7133
062,0.6255,0.674,0.6482,0.6609,0.6427
063,0.5784,0.6651,0.6084,0.6355,0.6056
064,0.7282,0.6981,0.6637,0.6805,0.7036
065,0.5945,0.6446,0.6219,0.633,0.6132
066,0.6821,0.7003,0.6654,0.6824,0.6822
067,0.6396,0.6672,0.6174,0.6414,0.6405
068,0.7479,0.7011,0.671,0.6857,0.7155
069,0.4595,0.6391,0.6519,0.6455,0.5368
070,0.7838,0.7045,0.7169,0.7106,0.7454
071,0.6244,0.6612,0.6531,0.6571,0.6403
072,0.6183,0.678,0.6806,0.6793,0.6474
073,0.6531,0.6785,0.6606,0.6695,0.6612
074,0.7039,0.6991,0.6675,0.6829,0.6933
075,0.5604,0.6261,0.5974,0.6114,0.5848
076,0.5256,0.6342,0.5542,0.5915,0.5566
077,0.6296,0.6963,0.6685,0.6821,0.6548
078,0.596,0.6686,0.6281,0.6477,0.6208
079,0.6249,0.6977,0.668,0.6825,0.6524
080,0.6117,0.6542,0.6304,0.6421,0.6265
081,0.6748,0.6782,0.6417,0.6594,0.667
082,0.5832,0.6305,0.6193,0.6249,0.6033
083,0.6055,0.6826,0.6707,0.6766,0.6391
084,0.5846,0.6267,0.6323,0.6295,0.6062
085,0.2528,0.4227,0.3914,0.4064,0.3117
086,0.5929,0.6317,0.604,0.6175,0.605
087,0.5298,0.6213,0.6405,0.6308,0.5759
088,0.608,0.6543,0.666,0.6601,0.633
089,0.5304,0.6582,0.6661,0.6621,0.589
090,0.5259,0.6141,0.5983,0.6061,0.5632
091,0.5366,0.6312,0.6393,0.6352,0.5818
092,0.6233,0.6216,0.6286,0.6251,0.6242
093,0.6479,0.6287,0.636,0.6323,0.64
094,0.5231,0.6324,0.6194,0.6258,0.5699
095,0.7166,0.6931,0.6569,0.6745,0.6949
096,0.6394,0.6805,0.6568,0.6685,0.6536
097,0.6084,0.6503,0.6136,0.6314,0.6197
098,0.6797,0.6377,0.6461,0.6419,0.6603
099,0.7146,0.7073,0.6815,0.6942,0.7043
100,0.7263,0.667,0.6477,0.6572,0.6901
101,0.5124,0.6109,0.5833,0.5968,0.5514
102,0.6503,0.674,0.6771,0.6756,0.6627
103,0.7634,0.6963,0.7097,0.7029,0.7319
104,0.7152,0.6283,0.6279,0.6281,0.6688
105,0.5846,0.6274,0.6086,0.6179,0.6008
106,0.7435,0.6796,0.6919,0.6857,0.7134
107,0.6809,0.6498,0.6495,0.6497,0.6649
108,0.6927,0.6472,0.6324,0.6397,0.6651
109,0.604,0.6693,0.6574,0.6633,0.6323
110,0.5727,0.6763,0.6588,0.6675,0.6165
111,0.6856,0.7037,0.6836,0.6935,0.6895
112,0.6943,0.6905,0.7067,0.6985,0.6964
113,0.7595,0.6968,0.6989,0.6978,0.7274
114,0.4742,0.5981,0.5825,0.5902,0.5259
115,0.6304,0.6493,0.6466,0.648,0.6391
116,0.6564,0.6623,0.6823,0.6722,0.6642
117,0.6136,0.6362,0.6924,0.6631,0.6374
118,0.6689,0.6077,0.6487,0.6275,0.6476
119,0.6772,0.6448,0.6497,0.6472,0.6619
120,0.6461,0.6871,0.6863,0.6867,0.6658
121,0.4541,0.6599,0.6307,0.645,0.533
122,0.5628,0.6055,0.6076,0.6066,0.5839
123,0.6795,0.6523,0.6291,0.6405,0.6594
124,0.5066,0.6477,0.634,0.6407,0.5658
125,0.4481,0.5768,0.6037,0.5899,0.5093
127,0.5919,0.6406,0.6239,0.6321,0.6114
128,0.6234,0.6557,0.6773,0.6663,0.6441
129,0.6771,0.7022,0.7101,0.7062,0.6913
130,0.6144,0.6578,0.663,0.6604,0.6366
131,0.4717,0.6344,0.5848,0.6086,0.5315
132,0.5644,0.6974,0.7239,0.7104,0.6291
133,0.5341,0.6326,0.5971,0.6143,0.5714
134,0.6096,0.6684,0.6336,0.6505,0.6294
135,0.6458,0.6208,0.651,0.6355,0.6406
136,0.6938,0.6295,0.6362,0.6328,0.6619
137,0.5436,0.6063,0.6037,0.605,0.5727
138,0.7123,0.7153,0.6746,0.6944,0.7032
139,0.7329,0.6851,0.7119,0.6982,0.7152
140,0.5439,0.5983,0.571,0.5843,0.5634
141,0.6201,0.6291,0.6724,0.65,0.6347
142,0.5517,0.6166,0.637,0.6267,0.5868
143,0.7197,0.6762,0.6202,0.647,0.6814
144,0.5892,0.6036,0.6091,0.6063,0.5976
145,0.6495,0.6681,0.7213,0.6937,0.6709
146,0.6622,0.6344,0.6913,0.6616,0.6619
147,0.5244,0.6111,0.596,0.6034,0.5612
148,0.5792,0.6432,0.6758,0.6591,0.6166
149,0.6824,0.7181,0.7089,0.7135,0.6976
150,0.5758,0.6088,0.6013,0.605,0.5901
151,0.521,0.6351,0.677,0.6554,0.5805
152,0.5461,0.5954,0.5966,0.596,0.5699
153,0.7158,0.6879,0.7197,0.7034,0.7095
154,0.5525,0.6254,0.6053,0.6152,0.5822
155,0.5948,0.7275,0.6563,0.6901,0.6389
