video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6291,0.7057,0.6177,0.6588,0.6436
002,0.6778,0.657,0.5677,0.6091,0.6416
003,0.7391,0.7271,0.6035,0.6596,0.6971
004,0.7511,0.7147,0.6178,0.6627,0.7041
005,0.7147,0.6861,0.5879,0.6332,0.6715
006,0.6889,0.7462,0.6395,0.6888,0.6888
007,0.723,0.6891,0.6114,0.6479,0.6834
008,0.7021,0.7262,0.6214,0.6697,0.6855
009,0.7109,0.658,0.6062,0.6311,0.6686
010,0.7841,0.702,0.6269,0.6623,0.7181
011,0.6249,0.6374,0.5615,0.5971,0.6107
012,0.5621,0.6685,0.5809,0.6217,0.5904
013,0.7189,0.708,0.6097,0.6552,0.6856
014,0.783,0.7126,0.5961,0.6491,0.7098
015,0.6323,0.7008,0.6018,0.6475,0.6398
016,0.5591,0.6551,0.5664,0.6075,0.5823
017,0.7371,0.7128,0.6004,0.6518,0.6918
018,0.7209,0.6446,0.5716,0.6059,0.6584
019,0.6117,0.6994,0.6228,0.6588,0.6344
020,0.7815,0.7217,0.6408,0.6788,0.7266
021,0.7282,0.7025,0.613,0.6547,0.6895
022,0.6385,0.6788,0.5859,0.6289,0.6337
023,0.7117,0.7171,0.6794,0.6978,0.7046
024,0.6551,0.6222,0.5321,0.5736,0.6117
025,0.5783,0.7213,0.5969,0.6532,0.6135
026,0.6917,0.6719,0.6376,0.6543,0.6725
027,0.6869,0.6641,0.5613,0.6084,0.6453
028,0.6028,0.6315,0.5662,0.5971,0.5999
029,0.6591,0.6816,0.607,0.6422,0.6505
030,0.734,0.6424,0.6098,0.6257,0.6755
031,0.5846,0.6129,0.5294,0.5681,0.5763
032,0.7245,0.6868,0.6072,0.6446,0.6822
033,0.7116,0.6552,0.5806,0.6157,0.6602
034,0.7112,0.6199,0.6389,0.6292,0.6677
035,0.7633,0.8268,0.6442,0.7241,0.7432
036,0.5677,0.5787,0.5022,0.5378,0.5524
037,0.7061,0.682,0.5916,0.6336,0.6679
038,0.7348,0.6859,0.6325,0.6581,0.6943
039,0.76,0.7601,0.6784,0.7169,0.7378
040,0.6248,0.6609,0.5847,0.6205,0.6226
041,0.6982,0.6397,0.5757,0.606,0.6489
042,0.5913,0.7046,0.6148,0.6566,0.6222
043,0.6084,0.6592,0.558,0.6044,0.6064
044,0.6872,0.6844,0.6376,0.6602,0.6734
045,0.6678,0.6452,0.5863,0.6143,0.64
046,0.5899,0.6994,0.6253,0.6602,0.6231
047,0.7561,0.7299,0.6312,0.6769,0.7143
048,0.5835,0.6323,0.6137,0.6228,0.6025
049,0.7022,0.6787,0.637,0.6572,0.679
050,0.644,0.7559,0.5938,0.6651,0.6544
051,0.6037,0.5832,0.4804,0.5269,0.5627
