video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6552,0.7233,0.6689,0.6951,0.6746
002,0.6784,0.7116,0.6118,0.658,0.668
003,0.591,0.6512,0.6139,0.632,0.6108
004,0.6526,0.7052,0.6807,0.6927,0.6721
005,0.5982,0.6805,0.5741,0.6228,0.6103
006,0.6078,0.655,0.5793,0.6148,0.6113
007,0.7027,0.7191,0.6064,0.658,0.6796
008,0.6832,0.6965,0.6455,0.67,0.6766
009,0.6821,0.681,0.625,0.6518,0.6666
010,0.7058,0.7115,0.6697,0.69,0.6978
011,0.6846,0.7078,0.6344,0.6691,0.6768
012,0.5383,0.5881,0.5283,0.5566,0.5473
013,0.5536,0.6443,0.5834,0.6123,0.5815
014,0.7371,0.6928,0.6449,0.668,0.7009
015,0.7685,0.7082,0.6616,0.6841,0.7238
016,0.6413,0.7251,0.6499,0.6854,0.6626
017,0.6923,0.6815,0.6033,0.64,0.6651
018,0.7058,0.6996,0.6453,0.6714,0.6881
019,0.682,0.6876,0.6741,0.6808,0.6814
020,0.7345,0.7245,0.6761,0.6995,0.7166
021,0.7015,0.6484,0.6103,0.6288,0.6631
022,0.6997,0.7384,0.6672,0.701,0.7004
023,0.75,0.7299,0.7365,0.7332,0.7415
024,0.6607,0.6608,0.6092,0.6339,0.647
025,0.6287,0.697,0.6702,0.6834,0.6549
026,0.7111,0.6875,0.7085,0.6979,0.7044
027,0.7149,0.6925,0.6783,0.6853,0.6998
028,0.6626,0.65,0.6105,0.6296,0.6457
029,0.6707,0.6748,0.6647,0.6697,0.6702
030,0.6521,0.6806,0.6312,0.6549,0.6535
031,0.8074,0.7435,0.7067,0.7246,0.7638
032,0.6569,0.6414,0.6703,0.6555,0.6562
033,0.6643,0.7023,0.6475,0.6738,0.669
034,0.5395,0.6298,0.6065,0.6179,0.5761
035,0.715,0.7709,0.7008,0.7342,0.7245
036,0.6626,0.6183,0.6091,0.6137,0.6372
037,0.783,0.6866,0.6818,0.6842,0.7303
038,0.6766,0.6893,0.6423,0.6649,0.6707
039,0.674,0.7595,0.7196,0.739,0.705
040,0.7348,0.6627,0.6564,0.6595,0.6951
041,0.6712,0.7031,0.6198,0.6588,0.665
042,0.56,0.7119,0.6181,0.6617,0.6066
043,0.7167,0.6891,0.6212,0.6534,0.6836
