video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.4975,0.5077,0.5508,0.5284,0.5125
002,0.4882,0.5655,0.4692,0.5129,0.5002
003,0.4898,0.5316,0.5453,0.5384,0.5129
004,0.5147,0.5856,0.561,0.573,0.5423
005,0.3359,0.5238,0.4758,0.4986,0.4014
006,0.4886,0.6452,0.5574,0.5981,0.5378
007,0.6185,0.5625,0.5174,0.539,0.576
008,0.4725,0.5679,0.5441,0.5557,0.5108
009,0.5452,0.5077,0.476,0.4913,0.5168
010,0.7465,0.6365,0.6063,0.621,0.678
011,0.3804,0.5425,0.4941,0.5172,0.4384
012,0.4352,0.5231,0.4839,0.5028,0.4665
013,0.4753,0.6083,0.4748,0.5333,0.5026
014,0.4693,0.5967,0.542,0.5681,0.514
015,0.3856,0.5076,0.4553,0.48,0.4277
016,0.4869,0.6004,0.5295,0.5627,0.5221
017,0.4555,0.5833,0.4962,0.5363,0.4926
018,0.5755,0.5617,0.5331,0.547,0.5609
019,0.5995,0.5361,0.5398,0.5379,0.5671
020,0.5917,0.5638,0.5261,0.5443,0.567
021,0.4838,0.5496,0.5784,0.5636,0.5207
022,0.3525,0.4685,0.483,0.4756,0.4049
023,0.6539,0.6264,0.5996,0.6127,0.6326
024,0.6532,0.5769,0.5525,0.5644,0.6056
025,0.5736,0.5745,0.541,0.5572,0.5653
026,0.5486,0.6088,0.5559,0.5812,0.5644
027,0.4257,0.5243,0.48,0.5012,0.4604
028,0.4774,0.4812,0.4952,0.4881,0.4827
029,0.5107,0.481,0.5207,0.5001,0.5053
030,0.4462,0.501,0.4975,0.4992,0.4712
031,0.4664,0.5014,0.4767,0.4888,0.4773
032,0.554,0.5023,0.5352,0.5182,0.5355
033,0.6298,0.5334,0.5124,0.5227,0.5712
034,0.6585,0.5646,0.5849,0.5746,0.6137
035,0.5525,0.5355,0.5325,0.534,0.5431
036,0.462,0.5086,0.4662,0.4865,0.4739
037,0.4294,0.6153,0.4724,0.5345,0.4762
038,0.4698,0.5149,0.5217,0.5183,0.4928
039,0.6046,0.5987,0.5914,0.595,0.5998
040,0.4677,0.5324,0.5779,0.5542,0.5073
041,0.5001,0.5218,0.5134,0.5176,0.5087
042,0.5365,0.4753,0.4481,0.4613,0.4961
043,0.4474,0.5233,0.4999,0.5113,0.4772
044,0.4556,0.4941,0.4763,0.485,0.4698
045,0.5945,0.6012,0.5412,0.5696,0.5818
046,0.4628,0.5668,0.5285,0.547,0.5014
047,0.5524,0.582,0.5786,0.5803,0.566
048,0.571,0.507,0.4967,0.5018,0.5342
049,0.5057,0.4991,0.4943,0.4967,0.5012
050,0.5783,0.5728,0.5084,0.5386,0.5578
051,0.6549,0.6092,0.5848,0.5968,0.6245
052,0.5185,0.5877,0.5025,0.5418,0.5298
053,0.3869,0.4918,0.4419,0.4655,0.4226
054,0.5688,0.5871,0.5178,0.5503,0.5594
055,0.5664,0.628,0.5282,0.5738,0.5701
056,0.5329,0.4866,0.4732,0.4798,0.505
057,0.5087,0.5315,0.5698,0.55,0.5285
058,0.496,0.4629,0.4443,0.4534,0.4738
059,0.2983,0.4563,0.4047,0.429,0.3519
060,0.456,0.5372,0.5072,0.5218,0.4867
061,0.5114,0.5081,0.5125,0.5103,0.5109
062,0.4283,0.5084,0.4664,0.4865,0.4556
063,0.6325,0.6223,0.5636,0.5915,0.6113
064,0.592,0.6315,0.6074,0.6192,0.6053
065,0.4741,0.6033,0.5149,0.5556,0.5116
066,0.4959,0.54,0.4743,0.505,0.5004
067,0.596,0.5504,0.5493,0.5498,0.572
068,0.6766,0.6159,0.5689,0.5915,0.6312
069,0.4696,0.5648,0.5101,0.5361,0.5006
070,0.8106,0.6724,0.648,0.66,0.7276
071,0.5871,0.6132,0.5589,0.5848,0.5859
072,0.6408,0.6559,0.555,0.6012,0.6204
073,0.6417,0.535,0.5423,0.5386,0.5857
074,0.6127,0.5898,0.5586,0.5738,0.5926
075,0.4216,0.4767,0.4608,0.4686,0.4438
076,0.4155,0.5537,0.4572,0.5009,0.4542
077,0.4836,0.5635,0.4634,0.5086,0.4958
078,0.5875,0.5906,0.5267,0.5568,0.5717
079,0.4524,0.5505,0.5422,0.5463,0.495
080,0.3741,0.5241,0.5026,0.5131,0.4327
081,0.5589,0.514,0.4779,0.4953,0.5252
082,0.4479,0.529,0.4864,0.5068,0.4755
083,0.6582,0.5782,0.6305,0.6032,0.6295
084,0.6264,0.4898,0.4976,0.4937,0.5522
085,0.4956,0.5152,0.5055,0.5103,0.5029
086,0.6046,0.5307,0.5002,0.515,0.5562
087,0.4795,0.5369,0.5316,0.5343,0.5054
088,0.4711,0.4736,0.5288,0.4997,0.485
089,0.7378,0.589,0.5803,0.5846,0.6524
090,0.3988,0.4662,0.4262,0.4453,0.4208
091,0.4135,0.5096,0.4729,0.4906,0.4488
092,0.5527,0.4947,0.5156,0.5049,0.5277
093,0.458,0.4736,0.4364,0.4542,0.4561
094,0.5497,0.5096,0.5061,0.5079,0.528
