video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6928,0.6681,0.6373,0.6524,0.672
002,0.7188,0.6106,0.527,0.5657,0.6331
003,0.5793,0.6562,0.602,0.628,0.6026
004,0.649,0.6888,0.6223,0.6538,0.6514
005,0.6118,0.6114,0.5786,0.5945,0.603
006,0.6274,0.6635,0.5951,0.6274,0.6274
007,0.6527,0.7073,0.6138,0.6572,0.655
008,0.6802,0.6325,0.5777,0.6039,0.6398
009,0.603,0.6393,0.5712,0.6034,0.6032
010,0.7301,0.7215,0.6179,0.6657,0.6964
011,0.5804,0.6539,0.5774,0.6133,0.5964
012,0.6671,0.6421,0.5857,0.6126,0.6387
013,0.7312,0.7144,0.6021,0.6534,0.6901
014,0.6516,0.6484,0.5995,0.623,0.637
015,0.7655,0.6266,0.598,0.612,0.6802
016,0.6184,0.6198,0.5199,0.5654,0.5907
017,0.6368,0.6291,0.559,0.592,0.6136
018,0.6973,0.6835,0.5566,0.6135,0.6527
019,0.6378,0.6274,0.597,0.6118,0.6245
020,0.7652,0.7108,0.6324,0.6693,0.7141
021,0.6157,0.6215,0.5457,0.5811,0.5979
022,0.6259,0.6127,0.6258,0.6192,0.6225
023,0.7031,0.687,0.6289,0.6567,0.6791
024,0.7373,0.6701,0.6354,0.6523,0.6922
025,0.6606,0.7029,0.657,0.6792,0.6698
026,0.7631,0.6269,0.6213,0.6241,0.6866
027,0.5791,0.55,0.5327,0.5412,0.5595
028,0.723,0.6013,0.5673,0.5838,0.646
029,0.6071,0.6007,0.5789,0.5896,0.5982
030,0.6984,0.6548,0.6067,0.6298,0.6623
031,0.6137,0.5939,0.5551,0.5738,0.5931
032,0.7524,0.631,0.6284,0.6297,0.6856
033,0.6819,0.6756,0.5997,0.6354,0.6578
034,0.6612,0.5158,0.5894,0.5501,0.6006
035,0.792,0.7234,0.6229,0.6694,0.7255
036,0.6841,0.5596,0.5325,0.5457,0.6071
037,0.7228,0.7388,0.6564,0.6951,0.7087
038,0.6639,0.6536,0.5792,0.6141,0.6381
039,0.793,0.7265,0.6856,0.7054,0.7467
040,0.7047,0.7233,0.6351,0.6763,0.6902
041,0.7027,0.629,0.6126,0.6207,0.6592
042,0.5246,0.6482,0.5328,0.5849,0.5531
043,0.6278,0.6349,0.5513,0.5902,0.6084
044,0.7272,0.653,0.5928,0.6214,0.6702
045,0.7652,0.6464,0.6124,0.6289,0.6904
046,0.6858,0.6256,0.5726,0.5979,0.6389
047,0.7506,0.6489,0.6215,0.6349,0.6879
048,0.7114,0.6453,0.6281,0.6366,0.6719
049,0.7328,0.7073,0.6642,0.6851,0.7081
050,0.6584,0.6463,0.5576,0.5987,0.6271
051,0.7358,0.6675,0.5889,0.6257,0.6763
052,0.6277,0.611,0.6213,0.6161,0.6219
053,0.5935,0.6015,0.584,0.5926,0.593
054,0.5637,0.5977,0.6155,0.6064,0.5843
055,0.7207,0.6267,0.5965,0.6113,0.6615
056,0.6621,0.5572,0.5094,0.5322,0.5901
057,0.6935,0.5981,0.5784,0.5881,0.6365
058,0.7081,0.6277,0.5987,0.6129,0.6571
059,0.7115,0.6827,0.6067,0.6425,0.6752
060,0.7643,0.6892,0.6004,0.6417,0.6977
061,0.6953,0.61,0.5626,0.5853,0.6356
062,0.7232,0.694,0.6258,0.6581,0.6891
063,0.7103,0.6633,0.5976,0.6287,0.667
064,0.7366,0.6626,0.6166,0.6388,0.6842
065,0.7387,0.6509,0.5655,0.6052,0.6653
066,0.7388,0.6651,0.5671,0.6122,0.6696
067,0.6796,0.7153,0.5861,0.6443,0.6615
068,0.6667,0.6155,0.5544,0.5834,0.6222
069,0.645,0.639,0.5579,0.5957,0.6194
070,0.7862,0.7168,0.6702,0.6927,0.7365
071,0.7165,0.6222,0.5878,0.6045,0.6558
072,0.7645,0.6745,0.6398,0.6567,0.7065
073,0.7953,0.7003,0.6622,0.6807,0.7335
074,0.6062,0.6292,0.5449,0.584,0.5949
075,0.681,0.5455,0.5796,0.5621,0.6158
076,0.6372,0.6301,0.5125,0.5652,0.5991
077,0.7329,0.6459,0.61,0.6274,0.6761
078,0.7324,0.6543,0.5907,0.6209,0.6721
079,0.6815,0.6725,0.5639,0.6135,0.6457
080,0.7237,0.6604,0.6127,0.6356,0.6768
081,0.7858,0.6501,0.614,0.6316,0.7003
082,0.6737,0.6571,0.6124,0.634,0.6532
083,0.7226,0.6682,0.6411,0.6544,0.6868
084,0.6594,0.5084,0.5121,0.5103,0.5753
085,0.684,0.5918,0.5742,0.5829,0.6294
086,0.6961,0.6197,0.5486,0.582,0.634
087,0.6127,0.7309,0.6345,0.6793,0.6442
088,0.6993,0.6069,0.5653,0.5854,0.6373
089,0.7701,0.6412,0.601,0.6205,0.6872
090,0.6484,0.5857,0.5543,0.5696,0.6065
091,0.6864,0.6524,0.6253,0.6386,0.6616
092,0.6618,0.5926,0.6042,0.5984,0.6285
093,0.6617,0.5704,0.5134,0.5404,0.5949
094,0.7845,0.644,0.5809,0.6109,0.6869
095,0.6231,0.6452,0.5894,0.616,0.6195
096,0.6567,0.5971,0.5385,0.5663,0.6082
097,0.7557,0.6849,0.5853,0.6312,0.6879
098,0.585,0.6035,0.569,0.5857,0.5853
099,0.7593,0.6402,0.611,0.6253,0.6858
100,0.7965,0.6048,0.5654,0.5844,0.6742
101,0.7417,0.5432,0.6068,0.5732,0.6467
102,0.7659,0.6377,0.6129,0.625,0.6883
103,0.788,0.7298,0.6478,0.6864,0.7337
104,0.786,0.6194,0.5853,0.6018,0.6817
105,0.662,0.6011,0.566,0.5831,0.62
106,0.7573,0.6849,0.651,0.6675,0.7096
107,0.7856,0.697,0.6686,0.6825,0.7304
108,0.6172,0.6787,0.571,0.6202,0.6187
109,0.7913,0.6517,0.6406,0.6461,0.7114
110,0.6776,0.6486,0.5755,0.6099,0.642
111,0.7549,0.6105,0.6158,0.6131,0.6767
112,0.8411,0.7193,0.7004,0.7097,0.7699
113,0.7091,0.5728,0.5399,0.5559,0.6232
114,0.6099,0.4811,0.5509,0.5136,0.5576
115,0.6825,0.6423,0.7042,0.6718,0.6771
116,0.6674,0.5938,0.5941,0.5939,0.6285
117,0.6548,0.6237,0.5904,0.6066,0.6298
118,0.732,0.5926,0.6429,0.6167,0.6695
119,0.6845,0.6101,0.6123,0.6112,0.6458
120,0.6319,0.6147,0.6287,0.6216,0.6267
121,0.6219,0.6194,0.5973,0.6081,0.615
122,0.6858,0.6014,0.5747,0.5878,0.633
123,0.6773,0.6008,0.4979,0.5446,0.6037
124,0.6215,0.575,0.5094,0.5403,0.578
125,0.7033,0.5833,0.5744,0.5788,0.635
127,0.6894,0.5799,0.5963,0.588,0.6347
128,0.7863,0.6343,0.6054,0.6195,0.693
129,0.7423,0.6064,0.668,0.6357,0.6849
130,0.7046,0.6642,0.6407,0.6522,0.6774
131,0.6645,0.6425,0.5437,0.589,0.6245
132,0.708,0.5969,0.5642,0.5801,0.6377
133,0.6675,0.6178,0.5298,0.5704,0.6152
134,0.7239,0.5846,0.5725,0.5785,0.6431
135,0.6537,0.5074,0.5297,0.5183,0.5782
136,0.7489,0.5984,0.613,0.6056,0.6697
137,0.7205,0.5981,0.6004,0.5993,0.6543
138,0.66,0.5411,0.5408,0.541,0.5946
139,0.8542,0.738,0.6904,0.7134,0.7775
140,0.7235,0.6474,0.6011,0.6234,0.6697
141,0.7602,0.6631,0.6612,0.6622,0.7078
142,0.6743,0.6005,0.609,0.6047,0.6376
143,0.7214,0.6756,0.676,0.6758,0.6979
144,0.7435,0.6084,0.6158,0.6121,0.6714
145,0.7213,0.6645,0.6639,0.6642,0.6915
146,0.6509,0.5802,0.6074,0.5935,0.6209
147,0.6406,0.5865,0.489,0.5333,0.582
148,0.7036,0.6261,0.6239,0.625,0.662
149,0.6963,0.6306,0.6051,0.6176,0.6546
150,0.817,0.7141,0.6809,0.6971,0.7523
151,0.7249,0.6164,0.5957,0.6059,0.6601
152,0.6987,0.6229,0.6641,0.6428,0.6696
153,0.6917,0.6012,0.7036,0.6484,0.6694
154,0.6378,0.5678,0.5838,0.5757,0.6052
155,0.7195,0.629,0.6091,0.6189,0.6654
156,0.6477,0.585,0.5614,0.573,0.608
157,0.6479,0.5859,0.6274,0.6059,0.6262
158,0.6885,0.6102,0.6052,0.6077,0.6455
159,0.6967,0.622,0.6113,0.6166,0.6542
160,0.7583,0.6638,0.6655,0.6646,0.7084
161,0.8185,0.6513,0.6091,0.6295,0.7117
162,0.711,0.635,0.6288,0.6319,0.6691
163,0.6944,0.5529,0.6638,0.6033,0.6456
164,0.6499,0.6386,0.5662,0.6002,0.6241
165,0.7042,0.537,0.5226,0.5297,0.6046
166,0.6798,0.5865,0.5485,0.5669,0.6182
167,0.6956,0.6574,0.622,0.6392,0.6662
168,0.7115,0.6419,0.5991,0.6198,0.6625
169,0.6904,0.6854,0.625,0.6538,0.6716
170,0.7716,0.6769,0.6213,0.6479,0.7044
171,0.6663,0.5705,0.6416,0.604,0.6336
172,0.7532,0.6466,0.6283,0.6373,0.6904
173,0.7162,0.5889,0.5919,0.5903,0.6472
174,0.7045,0.6011,0.6212,0.611,0.6544
175,0.6585,0.6078,0.6224,0.615,0.636
176,0.6799,0.6334,0.6135,0.6233,0.6504
177,0.7427,0.6267,0.7007,0.6616,0.6998
178,0.8186,0.6503,0.674,0.6619,0.732
179,0.711,0.6377,0.6671,0.6521,0.6803
180,0.721,0.6282,0.5748,0.6003,0.6551
181,0.6654,0.5521,0.5434,0.5478,0.6009
182,0.6787,0.5927,0.6216,0.6068,0.6408
183,0.7343,0.6717,0.6013,0.6345,0.6808
184,0.6675,0.5406,0.5751,0.5573,0.6074
185,0.6415,0.5335,0.56,0.5464,0.5902
186,0.805,0.6257,0.6704,0.6473,0.7176
187,0.7386,0.5841,0.7095,0.6407,0.6862
188,0.6021,0.604,0.5545,0.5782,0.5899
189,0.7687,0.6686,0.6662,0.6674,0.7145
190,0.7712,0.6776,0.641,0.6588,0.7106
191,0.7508,0.7029,0.7549,0.728,0.7392
192,0.7232,0.6257,0.6128,0.6192,0.6672
193,0.7863,0.5869,0.6509,0.6173,0.6916
194,0.7727,0.601,0.6138,0.6073,0.6801
195,0.8011,0.6539,0.6788,0.6661,0.7274
196,0.673,0.5401,0.6642,0.5957,0.632
197,0.5746,0.5459,0.5159,0.5305,0.5517
198,0.6634,0.5298,0.5802,0.5538,0.6037
199,0.6981,0.6966,0.6444,0.6695,0.6835
200,0.7775,0.6574,0.6812,0.6691,0.7192
