video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6941,0.6521,0.5841,0.6162,0.6529
002,0.7603,0.5577,0.5424,0.55,0.6383
003,0.6767,0.551,0.5385,0.5447,0.6035
004,0.6027,0.5598,0.5934,0.5761,0.5891
005,0.6763,0.5527,0.5552,0.554,0.609
006,0.6901,0.6172,0.6021,0.6095,0.6473
007,0.6673,0.5692,0.5651,0.5672,0.6132
008,0.6905,0.5366,0.4858,0.51,0.5867
009,0.6455,0.5662,0.5544,0.5602,0.5999
010,0.6551,0.5642,0.5626,0.5634,0.6058
011,0.6994,0.5884,0.5799,0.5841,0.6366
012,0.6061,0.5547,0.5088,0.5308,0.5659
013,0.6132,0.5407,0.5293,0.5349,0.5714
014,0.7211,0.4543,0.5215,0.4856,0.5803
015,0.7658,0.597,0.5771,0.5869,0.6645
016,0.6655,0.5628,0.5198,0.5405,0.5965
017,0.7115,0.576,0.5775,0.5767,0.6371
018,0.655,0.5335,0.5238,0.5286,0.5851
019,0.6606,0.5764,0.5427,0.5591,0.6056
020,0.7271,0.3781,0.4875,0.4259,0.5371
021,0.7219,0.6132,0.5571,0.5838,0.6455
022,0.7114,0.5981,0.5846,0.5913,0.6458
023,0.664,0.5946,0.5639,0.5789,0.6185
024,0.7557,0.585,0.5873,0.5861,0.6602
025,0.6951,0.5586,0.556,0.5573,0.6186
026,0.6149,0.5528,0.5304,0.5414,0.5758
027,0.7405,0.572,0.5574,0.5646,0.6407
028,0.7033,0.5726,0.5481,0.5601,0.6236
029,0.6547,0.5501,0.5444,0.5472,0.5961
030,0.7542,0.582,0.5981,0.5899,0.662
031,0.6725,0.5921,0.5912,0.5917,0.6295
032,0.6007,0.537,0.5594,0.548,0.5731
033,0.5871,0.5081,0.4898,0.4988,0.5394
034,0.6315,0.5112,0.5485,0.5292,0.5758
035,0.6523,0.6068,0.5771,0.5916,0.6204
036,0.6248,0.5264,0.4941,0.5098,0.5615
037,0.7188,0.6145,0.5536,0.5825,0.6435
038,0.6345,0.5411,0.5506,0.5459,0.5868
039,0.6207,0.5519,0.6221,0.5849,0.6023
040,0.6387,0.5434,0.5647,0.5539,0.5933
041,0.6208,0.5239,0.4606,0.4902,0.5478
042,0.6498,0.5773,0.5245,0.5496,0.5955
043,0.7052,0.5115,0.4819,0.4962,0.5825
044,0.6039,0.5108,0.5556,0.5322,0.5658
045,0.7152,0.546,0.5412,0.5436,0.6177
046,0.6821,0.5912,0.5933,0.5923,0.634
047,0.6806,0.5332,0.5326,0.5329,0.5978
048,0.6821,0.585,0.6326,0.6079,0.6428
049,0.7036,0.6043,0.6031,0.6037,0.6499
050,0.6395,0.5257,0.4793,0.5014,0.5621
051,0.7085,0.4936,0.5138,0.5035,0.5886
052,0.7252,0.5397,0.5562,0.5478,0.6241
053,0.6136,0.5219,0.5192,0.5205,0.5632
054,0.6972,0.5611,0.5556,0.5583,0.6201
055,0.5064,0.489,0.4591,0.4736,0.4894
056,0.6738,0.5522,0.516,0.5335,0.5955
057,0.5918,0.5211,0.5609,0.5403,0.5649
058,0.655,0.5545,0.5614,0.5579,0.6026
059,0.6654,0.6059,0.5336,0.5675,0.6125
060,0.7324,0.5347,0.5724,0.5529,0.6301
061,0.6757,0.5715,0.5288,0.5493,0.606
062,0.699,0.6026,0.576,0.589,0.6393
063,0.719,0.572,0.5988,0.5851,0.6452
064,0.73,0.6002,0.5736,0.5866,0.6505
065,0.6717,0.5003,0.4822,0.4911,0.5674
066,0.5931,0.4991,0.4481,0.4723,0.5258
067,0.7362,0.6506,0.6013,0.625,0.6761
068,0.8134,0.5868,0.6051,0.5958,0.6878
069,0.7436,0.5981,0.5549,0.5757,0.649
070,0.7885,0.6101,0.6538,0.6312,0.7011
071,0.5834,0.5866,0.5336,0.5588,0.5708
072,0.666,0.5285,0.5573,0.5425,0.5979
073,0.737,0.5315,0.5596,0.5452,0.6267
074,0.7485,0.5667,0.5034,0.5332,0.6228
075,0.7332,0.5327,0.5241,0.5284,0.6141
076,0.6172,0.5306,0.4923,0.5107,0.5589
077,0.6886,0.6097,0.5529,0.5799,0.6296
078,0.61,0.5827,0.5258,0.5528,0.58
079,0.6489,0.547,0.5285,0.5376,0.588
080,0.77,0.5574,0.5673,0.5623,0.65
081,0.7272,0.5433,0.508,0.525,0.6098
082,0.6967,0.5449,0.5522,0.5485,0.6138
083,0.724,0.5864,0.6003,0.5933,0.6522
084,0.7792,0.5101,0.5655,0.5363,0.6354
085,0.6286,0.5397,0.4989,0.5185,0.5683
086,0.7081,0.5663,0.5399,0.5528,0.6209
087,0.5766,0.5457,0.5616,0.5535,0.5648
088,0.6928,0.5958,0.5904,0.5931,0.6391
089,0.7807,0.5678,0.5641,0.5659,0.6562
090,0.6211,0.5319,0.5237,0.5278,0.5706
091,0.6502,0.5003,0.5761,0.5355,0.5873
092,0.6625,0.5253,0.5415,0.5333,0.5909
093,0.685,0.527,0.5149,0.5209,0.5918
094,0.6803,0.4945,0.4873,0.4909,0.5703
095,0.7563,0.5748,0.5884,0.5815,0.6575
096,0.5783,0.5083,0.4976,0.5029,0.5379
097,0.6835,0.4804,0.4823,0.4814,0.5649
098,0.5969,0.5164,0.5272,0.5217,0.5568
099,0.6656,0.562,0.5682,0.5651,0.6112
100,0.7139,0.5549,0.5113,0.5322,0.6098
101,0.6402,0.5139,0.5321,0.5229,0.5756
102,0.695,0.5307,0.6042,0.5651,0.6233
103,0.6859,0.5976,0.6162,0.6067,0.6439
104,0.7781,0.4941,0.5299,0.5114,0.6172
105,0.735,0.5171,0.587,0.5499,0.6291
106,0.721,0.5394,0.5631,0.551,0.6246
107,0.7243,0.5561,0.5777,0.5667,0.6359
108,0.6395,0.5019,0.5214,0.5114,0.5683
109,0.7636,0.571,0.6164,0.5928,0.6674
110,0.6442,0.5333,0.5218,0.5275,0.58
111,0.6411,0.5177,0.5483,0.5326,0.5818
112,0.7702,0.6008,0.6432,0.6213,0.6878
113,0.6655,0.5495,0.5349,0.5421,0.5974
114,0.6008,0.4395,0.5078,0.4712,0.5281
115,0.6986,0.5426,0.5795,0.5605,0.622
116,0.5842,0.5106,0.5716,0.5394,0.5609
117,0.6481,0.5153,0.5358,0.5253,0.5803
118,0.5522,0.5452,0.5667,0.5558,0.554
119,0.6696,0.5014,0.5351,0.5177,0.5839
120,0.6341,0.5324,0.5143,0.5232,0.5733
121,0.5796,0.5184,0.5524,0.5348,0.5563
122,0.5947,0.5227,0.5118,0.5172,0.5532
123,0.7038,0.5582,0.5396,0.5487,0.6167
124,0.6014,0.5076,0.5147,0.5111,0.5526
125,0.5316,0.416,0.4555,0.4348,0.4784
127,0.715,0.5406,0.6418,0.5869,0.6446
128,0.6749,0.5748,0.5804,0.5776,0.6225
129,0.7394,0.5369,0.575,0.5553,0.6342
130,0.5707,0.4822,0.5419,0.5103,0.5388
131,0.5678,0.5257,0.5167,0.5212,0.5435
132,0.6492,0.5985,0.6213,0.6097,0.6288
133,0.6715,0.5565,0.5214,0.5384,0.5976
134,0.6534,0.533,0.5334,0.5332,0.5872
135,0.6356,0.4654,0.5141,0.4885,0.5524
136,0.7522,0.565,0.5813,0.5731,0.6505
137,0.547,0.4132,0.4684,0.4391,0.4871
138,0.6483,0.5347,0.5465,0.5405,0.5895
139,0.7409,0.6033,0.6494,0.6255,0.6783
140,0.654,0.5384,0.5383,0.5383,0.5905
141,0.6209,0.5196,0.5765,0.5466,0.5814
142,0.6375,0.4928,0.5377,0.5143,0.5693
143,0.6951,0.5695,0.5923,0.5807,0.6327
144,0.6106,0.4916,0.538,0.5138,0.558
145,0.661,0.56,0.5809,0.5703,0.6123
146,0.6707,0.5093,0.531,0.5199,0.5857
147,0.5968,0.5066,0.4933,0.4998,0.544
148,0.6353,0.5159,0.5579,0.5361,0.5815
149,0.6271,0.5662,0.5906,0.5781,0.6016
150,0.5756,0.5422,0.5842,0.5624,0.569
151,0.8048,0.5802,0.5921,0.5861,0.6782
152,0.635,0.5283,0.5633,0.5452,0.5867
153,0.5786,0.4835,0.609,0.539,0.5581
154,0.673,0.5591,0.571,0.565,0.6143
155,0.6216,0.5317,0.5422,0.5369,0.5761
156,0.6367,0.5528,0.6207,0.5848,0.6096
157,0.6063,0.5092,0.5259,0.5174,0.5583
158,0.6446,0.5524,0.6104,0.58,0.6106
159,0.6274,0.5378,0.5929,0.564,0.594
160,0.6482,0.5742,0.6191,0.5958,0.6209
161,0.6884,0.5155,0.5345,0.5248,0.5956
162,0.7049,0.5226,0.5915,0.5549,0.621
163,0.6812,0.584,0.6098,0.5966,0.6361
164,0.6489,0.5899,0.5802,0.585,0.6153
165,0.7032,0.5818,0.5452,0.5629,0.6253
166,0.6156,0.4785,0.5038,0.4908,0.5462
167,0.7253,0.5612,0.6227,0.5904,0.6509
168,0.7171,0.5296,0.5656,0.547,0.6206
169,0.6838,0.588,0.6057,0.5967,0.6373
170,0.6613,0.5665,0.5682,0.5674,0.6107
171,0.6913,0.5394,0.5871,0.5622,0.6201
172,0.6477,0.5613,0.5889,0.5748,0.609
173,0.6285,0.5025,0.5446,0.5227,0.5708
174,0.7089,0.5304,0.6266,0.5745,0.6346
175,0.711,0.5967,0.6353,0.6154,0.6597
176,0.7207,0.5739,0.6091,0.5909,0.6494
177,0.6054,0.4942,0.591,0.5383,0.5699
178,0.7058,0.4993,0.6201,0.5532,0.6202
179,0.6496,0.5618,0.5652,0.5635,0.6035
180,0.7331,0.5922,0.6355,0.6131,0.6678
181,0.5995,0.4837,0.5242,0.5031,0.5471
182,0.5499,0.5149,0.587,0.5486,0.5493
183,0.7559,0.6223,0.6215,0.6219,0.6824
184,0.5983,0.4346,0.5261,0.476,0.5302
185,0.6587,0.4821,0.5376,0.5084,0.5738
186,0.604,0.4824,0.5425,0.5107,0.5535
187,0.6864,0.5669,0.682,0.6191,0.651
188,0.4819,0.5752,0.526,0.5495,0.5135
189,0.7612,0.562,0.6309,0.5944,0.6676
190,0.68,0.6029,0.5714,0.5867,0.6299
191,0.6838,0.5517,0.5982,0.574,0.6241
192,0.6714,0.5882,0.6624,0.6231,0.6464
193,0.6443,0.5016,0.5776,0.5369,0.5857
194,0.7293,0.5063,0.5502,0.5273,0.6121
195,0.7371,0.5657,0.5979,0.5814,0.65
196,0.6791,0.5329,0.6224,0.5742,0.6222
197,0.6813,0.537,0.5893,0.5619,0.6159
198,0.7633,0.647,0.6842,0.665,0.7108
199,0.7189,0.5602,0.6024,0.5805,0.6423
200,0.6408,0.5667,0.561,0.5638,0.5998
