video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6749,0.6566,0.6306,0.6433,0.6587
002,0.802,0.67,0.6097,0.6384,0.7109
003,0.7843,0.6909,0.6409,0.6649,0.7197
004,0.7094,0.7186,0.6333,0.6733,0.6908
005,0.7458,0.6259,0.5941,0.6096,0.6709
006,0.7496,0.7081,0.6721,0.6896,0.7184
007,0.7603,0.6896,0.6389,0.6633,0.7085
008,0.7255,0.6396,0.5927,0.6153,0.6658
009,0.721,0.6784,0.6331,0.655,0.6864
010,0.7615,0.6765,0.6003,0.6361,0.6932
011,0.6948,0.7444,0.6157,0.674,0.6842
012,0.7201,0.6421,0.5802,0.6096,0.6603
013,0.7469,0.6702,0.6208,0.6446,0.692
014,0.8004,0.768,0.6361,0.6959,0.7445
015,0.8407,0.7178,0.6209,0.6658,0.7431
016,0.6579,0.6413,0.5567,0.596,0.6254
017,0.8324,0.6834,0.6262,0.6536,0.7322
018,0.7757,0.6754,0.5981,0.6344,0.698
019,0.7702,0.6858,0.6416,0.663,0.7126
020,0.7866,0.7154,0.6099,0.6584,0.7168
021,0.7946,0.6908,0.6594,0.6748,0.7298
022,0.7839,0.6806,0.6801,0.6804,0.7285
023,0.7384,0.7124,0.6508,0.6802,0.7081
024,0.8293,0.6619,0.6672,0.6645,0.7378
025,0.7146,0.6635,0.6407,0.6519,0.6818
026,0.7531,0.7372,0.6648,0.6991,0.7251
027,0.6484,0.5888,0.5946,0.5917,0.6188
028,0.7733,0.6878,0.6368,0.6613,0.7129
029,0.7143,0.6354,0.6051,0.6199,0.6638
030,0.7429,0.62,0.5928,0.6061,0.6676
031,0.7298,0.6194,0.648,0.6334,0.6782
032,0.7297,0.6381,0.6209,0.6293,0.6758
033,0.7395,0.6489,0.6153,0.6317,0.6814
034,0.6614,0.5505,0.6213,0.5838,0.6202
035,0.804,0.7104,0.6234,0.664,0.7273
036,0.7111,0.6142,0.5802,0.5967,0.6489
037,0.8431,0.7183,0.6851,0.7013,0.7657
038,0.7199,0.7092,0.6395,0.6726,0.6954
039,0.8091,0.7093,0.6959,0.7025,0.7521
040,0.716,0.729,0.6166,0.6681,0.6912
041,0.6997,0.6305,0.6067,0.6184,0.6566
042,0.5796,0.7009,0.5897,0.6405,0.6085
043,0.6969,0.6293,0.5673,0.5967,0.6429
044,0.7423,0.6696,0.6086,0.6377,0.686
045,0.7836,0.6631,0.5989,0.6293,0.6981
046,0.7433,0.688,0.6354,0.6607,0.6996
047,0.7762,0.7067,0.6119,0.6559,0.711
048,0.6706,0.6841,0.645,0.664,0.6673
049,0.7861,0.7128,0.6876,0.7,0.7405
050,0.7314,0.7056,0.596,0.6462,0.6862
051,0.7645,0.6682,0.5931,0.6284,0.6898
052,0.7997,0.7135,0.6646,0.6882,0.7398
053,0.6443,0.6688,0.6168,0.6417,0.643
054,0.6914,0.6362,0.7083,0.6703,0.6807
055,0.5777,0.5673,0.5343,0.5503,0.5637
056,0.7623,0.6426,0.5766,0.6078,0.6763
057,0.7725,0.7112,0.6439,0.6759,0.721
058,0.7342,0.638,0.6114,0.6244,0.6749
059,0.6848,0.6687,0.5928,0.6284,0.6554
060,0.8024,0.7017,0.6637,0.6822,0.7374
061,0.7912,0.6619,0.6456,0.6537,0.7159
062,0.6841,0.6536,0.5917,0.6211,0.6511
063,0.7557,0.7168,0.6334,0.6726,0.7117
064,0.6786,0.6617,0.6205,0.6404,0.659
065,0.6656,0.5995,0.5716,0.5852,0.6228
066,0.6995,0.6086,0.5817,0.5949,0.6429
067,0.7132,0.6641,0.5789,0.6185,0.6625
068,0.7824,0.6408,0.6535,0.6471,0.7083
069,0.7041,0.7008,0.6084,0.6514,0.6767
070,0.8371,0.7134,0.6636,0.6876,0.755
071,0.6285,0.6727,0.5715,0.618,0.6232
072,0.7876,0.7156,0.6419,0.6768,0.728
073,0.8185,0.7045,0.6628,0.683,0.7446
074,0.61,0.6375,0.5508,0.591,0.6003
075,0.62,0.4946,0.6005,0.5424,0.5786
076,0.7948,0.6358,0.5658,0.5988,0.683
077,0.7017,0.7221,0.5839,0.6457,0.6725
078,0.7268,0.707,0.593,0.645,0.6834
079,0.606,0.6253,0.5073,0.5602,0.5822
080,0.7067,0.6607,0.6177,0.6385,0.6709
081,0.7915,0.6266,0.6075,0.6169,0.6934
082,0.7687,0.6557,0.6335,0.6444,0.7011
083,0.7669,0.6957,0.6107,0.6505,0.7039
084,0.8112,0.6277,0.5999,0.6135,0.6986
085,0.7254,0.5902,0.5446,0.5665,0.6362
086,0.6628,0.6314,0.57,0.5991,0.6294
087,0.6504,0.6907,0.6174,0.652,0.6512
088,0.768,0.7294,0.68,0.7038,0.7345
089,0.739,0.5972,0.6301,0.6132,0.6703
090,0.7928,0.6856,0.6424,0.6633,0.7223
091,0.707,0.701,0.6531,0.6762,0.6913
092,0.7207,0.6612,0.6255,0.6428,0.6796
093,0.8017,0.6081,0.6069,0.6075,0.6912
094,0.7792,0.6135,0.6272,0.6203,0.6907
095,0.7554,0.6349,0.6281,0.6315,0.6879
096,0.7078,0.6333,0.6121,0.6225,0.6624
097,0.7759,0.7162,0.6546,0.684,0.727
098,0.7277,0.7254,0.627,0.6726,0.6991
099,0.6902,0.6279,0.5945,0.6108,0.6481
100,0.7424,0.668,0.6116,0.6385,0.6865
101,0.6619,0.5783,0.5423,0.5597,0.6065
