video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6635,0.5948,0.6124,0.6035,0.6321
002,0.7123,0.6356,0.524,0.5745,0.636
003,0.5824,0.6228,0.5034,0.5567,0.5693
004,0.6566,0.593,0.5921,0.5926,0.623
005,0.6171,0.6183,0.5123,0.5603,0.5874
006,0.5673,0.6248,0.5555,0.5881,0.5775
007,0.6333,0.5801,0.5354,0.5569,0.5926
008,0.5504,0.5418,0.4565,0.4955,0.5215
009,0.5823,0.4956,0.532,0.5132,0.5456
010,0.6649,0.6409,0.5789,0.6084,0.6354
011,0.596,0.5959,0.5664,0.5808,0.5883
012,0.6618,0.6398,0.6052,0.622,0.6413
013,0.5978,0.5956,0.5209,0.5558,0.576
014,0.6338,0.648,0.5789,0.6115,0.6225
015,0.7084,0.5875,0.5147,0.5487,0.6184
016,0.6079,0.5555,0.4957,0.5239,0.5628
017,0.7031,0.5609,0.5313,0.5457,0.6145
018,0.5847,0.5808,0.5039,0.5396,0.5613
019,0.5808,0.6302,0.5701,0.5987,0.5896
020,0.8139,0.667,0.5827,0.622,0.7051
021,0.5243,0.5833,0.4913,0.5334,0.5288
022,0.7091,0.6559,0.6095,0.6318,0.6682
023,0.6759,0.6624,0.6258,0.6436,0.6593
024,0.5046,0.5549,0.5099,0.5315,0.5177
025,0.6119,0.5771,0.5785,0.5778,0.5943
026,0.6838,0.5887,0.5736,0.5811,0.6283
027,0.6181,0.5705,0.5485,0.5593,0.5872
028,0.5867,0.5652,0.5853,0.5751,0.5809
029,0.5403,0.6147,0.5185,0.5625,0.5512
030,0.6618,0.5822,0.5757,0.5789,0.6176
031,0.599,0.5569,0.5333,0.5448,0.5706
032,0.5182,0.5826,0.5668,0.5746,0.545
033,0.6483,0.6906,0.5964,0.64,0.6441
034,0.6298,0.554,0.5741,0.5639,0.595
035,0.7,0.6674,0.5922,0.6275,0.6618
036,0.6014,0.519,0.4889,0.5035,0.5481
037,0.7649,0.6342,0.6217,0.6279,0.6897
038,0.6833,0.5736,0.5961,0.5846,0.6301
039,0.6502,0.6215,0.5825,0.6014,0.6248
040,0.5391,0.5848,0.5385,0.5607,0.5497
041,0.5298,0.4936,0.4552,0.4736,0.5001
042,0.5617,0.5714,0.543,0.5568,0.5593
043,0.6949,0.6137,0.5087,0.5563,0.6179
044,0.6036,0.5357,0.4998,0.5171,0.557
045,0.5627,0.4888,0.4932,0.491,0.5244
046,0.665,0.6066,0.5311,0.5664,0.6117
047,0.7094,0.6287,0.5689,0.5973,0.6485
048,0.6244,0.567,0.5435,0.555,0.5877
049,0.659,0.544,0.5844,0.5635,0.6075
050,0.5946,0.6519,0.5612,0.6032,0.5989
051,0.5091,0.4536,0.429,0.441,0.4726
052,0.6757,0.6629,0.629,0.6455,0.6602
053,0.58,0.5726,0.4993,0.5334,0.5557
054,0.5748,0.5843,0.5213,0.551,0.5627
055,0.6598,0.5297,0.5182,0.5239,0.5841
056,0.574,0.5563,0.4921,0.5222,0.5469
057,0.4871,0.4758,0.5373,0.5047,0.4957
058,0.6157,0.5667,0.5102,0.537,0.5737
059,0.6592,0.5887,0.5728,0.5806,0.6174
060,0.6101,0.6374,0.5785,0.6065,0.6083
061,0.7473,0.6029,0.6365,0.6192,0.6773
062,0.5528,0.6174,0.5037,0.5548,0.5538
063,0.558,0.5799,0.5543,0.5668,0.5624
064,0.6682,0.6593,0.5512,0.6004,0.6325
065,0.5118,0.6405,0.4441,0.5245,0.5181
066,0.6406,0.6091,0.5171,0.5593,0.5972
067,0.6922,0.5789,0.5756,0.5772,0.6295
068,0.8749,0.6729,0.6654,0.6691,0.7583
069,0.6302,0.608,0.528,0.5652,0.5959
070,0.7883,0.6877,0.6326,0.659,0.7179
071,0.5477,0.6484,0.5366,0.5872,0.5668
072,0.7335,0.655,0.5846,0.6178,0.6707
073,0.7308,0.6333,0.5865,0.609,0.6644
074,0.6452,0.623,0.553,0.5859,0.6142
075,0.5855,0.5384,0.546,0.5421,0.563
076,0.6212,0.5889,0.515,0.5495,0.5832
077,0.733,0.6639,0.5875,0.6234,0.6737
078,0.7155,0.5622,0.5543,0.5582,0.6271
079,0.6007,0.6057,0.5203,0.5598,0.5795
080,0.7087,0.659,0.5723,0.6126,0.6572
081,0.7255,0.5698,0.5425,0.5558,0.6294
082,0.6881,0.6636,0.5562,0.6052,0.644
083,0.6272,0.5475,0.5221,0.5345,0.5771
084,0.632,0.5641,0.5467,0.5553,0.5912
085,0.6973,0.5463,0.5301,0.5381,0.6074
086,0.4829,0.4956,0.4802,0.4877,0.4853
087,0.6427,0.5982,0.591,0.5946,0.6177
088,0.6525,0.6071,0.5946,0.6008,0.6256
089,0.6857,0.5709,0.4923,0.5287,0.597
090,0.6337,0.626,0.5269,0.5722,0.6014
091,0.5557,0.5566,0.5357,0.5459,0.5508
092,0.5683,0.4944,0.4904,0.4924,0.5276
093,0.6696,0.501,0.5085,0.5047,0.5756
094,0.6922,0.6265,0.54,0.58,0.6312
095,0.6254,0.5618,0.5565,0.5592,0.5904
096,0.6317,0.5591,0.5447,0.5518,0.5891
097,0.7031,0.5391,0.5444,0.5417,0.612
098,0.5526,0.491,0.4813,0.4861,0.5172
099,0.6518,0.5938,0.5645,0.5788,0.6131
100,0.7254,0.5445,0.5326,0.5385,0.6181
101,0.538,0.5055,0.4891,0.4972,0.5168
102,0.7725,0.6466,0.5942,0.6193,0.6875
103,0.7255,0.6159,0.6141,0.615,0.6657
104,0.7521,0.5818,0.5565,0.5689,0.6478
105,0.651,0.5869,0.5415,0.5633,0.604
106,0.5627,0.5787,0.5868,0.5827,0.5725
107,0.6691,0.5623,0.5587,0.5605,0.61
108,0.58,0.5647,0.5888,0.5765,0.5782
109,0.7246,0.5657,0.6274,0.595,0.6534
110,0.531,0.583,0.5212,0.5504,0.5405
111,0.6854,0.5268,0.55,0.5382,0.603
112,0.7682,0.619,0.6129,0.6159,0.6837
113,0.7149,0.6004,0.6172,0.6087,0.6575
114,0.7009,0.5265,0.5355,0.531,0.6042
115,0.7389,0.6173,0.6911,0.6522,0.6928
116,0.6562,0.5858,0.5751,0.5804,0.616
117,0.6052,0.5092,0.543,0.5256,0.5626
118,0.7392,0.5585,0.5936,0.5755,0.6472
119,0.5299,0.5328,0.5396,0.5362,0.533
120,0.5695,0.5252,0.555,0.5397,0.5542
121,0.601,0.5367,0.5521,0.5443,0.5712
122,0.5327,0.4803,0.5488,0.5123,0.5223
123,0.7144,0.6013,0.5309,0.5639,0.6303
124,0.4875,0.4611,0.4811,0.4709,0.4791
125,0.5379,0.5241,0.4837,0.5031,0.5199
127,0.6623,0.6895,0.6252,0.6558,0.659
128,0.7022,0.6047,0.6052,0.6049,0.65
129,0.7238,0.6434,0.6899,0.6659,0.6936
130,0.6495,0.6266,0.6244,0.6255,0.6373
131,0.5679,0.5547,0.5129,0.533,0.5499
132,0.5683,0.5645,0.5741,0.5693,0.5688
133,0.5483,0.5409,0.5168,0.5286,0.5383
134,0.6558,0.6032,0.5264,0.5622,0.6054
135,0.6293,0.4574,0.5073,0.4811,0.5453
136,0.5941,0.5609,0.5114,0.535,0.563
137,0.5326,0.4398,0.5023,0.469,0.4988
138,0.6906,0.5376,0.5511,0.5443,0.6088
139,0.7918,0.6359,0.6488,0.6423,0.7093
140,0.6514,0.5218,0.4945,0.5078,0.5707
141,0.5515,0.5162,0.4316,0.4701,0.5076
142,0.5548,0.6307,0.5725,0.6002,0.5766
143,0.7336,0.5925,0.6037,0.5981,0.6589
144,0.5484,0.522,0.523,0.5225,0.5351
145,0.7251,0.6055,0.6089,0.6072,0.6609
146,0.5941,0.5265,0.4949,0.5102,0.5489
147,0.6233,0.616,0.4971,0.5502,0.5845
148,0.6143,0.4963,0.5421,0.5182,0.5622
149,0.5958,0.5695,0.568,0.5688,0.582
150,0.7257,0.5859,0.5798,0.5828,0.6465
151,0.6705,0.6255,0.6175,0.6215,0.645
152,0.6221,0.5393,0.5543,0.5467,0.5819
153,0.6767,0.5772,0.6399,0.6069,0.6399
154,0.5546,0.56,0.5093,0.5335,0.5438
155,0.6506,0.5715,0.5937,0.5824,0.6146
156,0.568,0.5372,0.5638,0.5501,0.5589
157,0.5828,0.6218,0.5495,0.5835,0.5832
158,0.6494,0.6414,0.626,0.6336,0.6414
159,0.7052,0.6213,0.6423,0.6316,0.6664
160,0.6974,0.5824,0.5945,0.5884,0.6383
161,0.6565,0.5022,0.5239,0.5128,0.5758
162,0.7244,0.5489,0.6063,0.5762,0.6418
163,0.6488,0.545,0.5958,0.5693,0.6064
164,0.6292,0.6016,0.5508,0.5751,0.6009
165,0.6285,0.5554,0.524,0.5392,0.5805
166,0.6759,0.5298,0.529,0.5294,0.5938
167,0.6232,0.5288,0.5531,0.5407,0.579
168,0.6076,0.5106,0.5622,0.5352,0.5691
169,0.5876,0.5319,0.5876,0.5584,0.5726
170,0.6683,0.5562,0.6105,0.5821,0.6222
171,0.6665,0.58,0.5782,0.5791,0.6197
172,0.6418,0.5819,0.527,0.553,0.5941
173,0.6535,0.605,0.6088,0.6069,0.6293
174,0.7318,0.6804,0.6523,0.6661,0.6974
175,0.6958,0.659,0.6955,0.6768,0.6862
176,0.6768,0.5875,0.6402,0.6127,0.6432
177,0.6828,0.5536,0.629,0.5889,0.6324
178,0.7606,0.5731,0.6932,0.6274,0.6876
179,0.6888,0.5945,0.6439,0.6182,0.6516
180,0.6455,0.5409,0.5465,0.5437,0.5903
181,0.5425,0.5198,0.5181,0.5189,0.5305
