video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5726,0.6374,0.5772,0.6058,0.5888
002,0.611,0.6412,0.5482,0.591,0.6008
003,0.7435,0.6952,0.5945,0.641,0.6884
004,0.6366,0.6665,0.5851,0.6231,0.6298
005,0.7114,0.6448,0.5601,0.5995,0.6506
006,0.6225,0.7208,0.6215,0.6675,0.6442
007,0.7402,0.6727,0.6104,0.64,0.6865
008,0.567,0.616,0.5752,0.5949,0.5806
009,0.6242,0.6155,0.585,0.5999,0.6118
010,0.7455,0.6682,0.5776,0.6196,0.6767
011,0.5489,0.5859,0.4678,0.5202,0.5342
012,0.4967,0.6026,0.5117,0.5535,0.5236
013,0.6287,0.6585,0.5626,0.6068,0.6176
014,0.6396,0.7045,0.5469,0.6158,0.6275
015,0.5523,0.6437,0.5789,0.6096,0.5795
016,0.5287,0.5696,0.4907,0.5272,0.528
017,0.7174,0.6889,0.5988,0.6407,0.6769
018,0.651,0.5463,0.5019,0.5232,0.5801
019,0.5622,0.6146,0.6083,0.6114,0.5858
020,0.7361,0.6647,0.5603,0.6081,0.666
021,0.6807,0.6136,0.5787,0.5956,0.6353
022,0.623,0.6336,0.5917,0.6119,0.6174
023,0.6354,0.6834,0.6282,0.6547,0.6449
024,0.6218,0.5975,0.5623,0.5793,0.5998
025,0.5253,0.6824,0.5712,0.6219,0.5695
026,0.607,0.6523,0.57,0.6084,0.6077
027,0.6067,0.6527,0.5536,0.5991,0.6029
028,0.5299,0.5337,0.5015,0.5171,0.5234
029,0.5418,0.5755,0.5118,0.5418,0.5418
030,0.7122,0.5689,0.56,0.5644,0.6297
031,0.4681,0.5287,0.4584,0.491,0.4793
032,0.637,0.5994,0.5214,0.5577,0.5947
033,0.6476,0.635,0.5399,0.5836,0.614
034,0.6826,0.546,0.5815,0.5632,0.6172
035,0.6448,0.7918,0.5935,0.6785,0.6612
036,0.5476,0.4843,0.4415,0.4619,0.5012
037,0.6569,0.6364,0.576,0.6047,0.6297
038,0.665,0.5881,0.5711,0.5795,0.6193
039,0.6891,0.648,0.6101,0.6285,0.6574
040,0.5244,0.5682,0.5194,0.5427,0.5334
041,0.5837,0.5741,0.543,0.5581,0.5706
042,0.5378,0.5977,0.5077,0.549,0.5434
043,0.6143,0.5913,0.4807,0.5303,0.5692
044,0.6955,0.5943,0.5839,0.589,0.6378
045,0.6278,0.5958,0.5648,0.5798,0.6029
046,0.5597,0.6445,0.5729,0.6066,0.5822
047,0.6385,0.6458,0.5599,0.5998,0.6186
048,0.6032,0.5622,0.5458,0.5539,0.5775
049,0.6812,0.6237,0.6038,0.6136,0.6456
050,0.5638,0.7118,0.5459,0.6179,0.5896
051,0.5507,0.6457,0.4865,0.5549,0.5528
052,0.5719,0.6176,0.5088,0.5579,0.5648
053,0.487,0.5599,0.4935,0.5246,0.5051
054,0.4793,0.5342,0.5557,0.5447,0.5099
055,0.521,0.6173,0.5534,0.5836,0.5506
056,0.5869,0.5348,0.487,0.5098,0.5456
057,0.6797,0.5664,0.5606,0.5635,0.6162
058,0.5948,0.5811,0.5233,0.5507,0.5719
059,0.57,0.592,0.556,0.5734,0.5717
060,0.7118,0.6538,0.5926,0.6217,0.6637
061,0.638,0.6183,0.5602,0.5878,0.6119
062,0.5344,0.589,0.5161,0.5502,0.5421
063,0.6174,0.6467,0.5717,0.6069,0.6121
064,0.6892,0.6829,0.5881,0.632,0.6593
065,0.6418,0.624,0.5235,0.5694,0.6034
066,0.6705,0.6191,0.5065,0.5571,0.6086
067,0.7086,0.6791,0.579,0.6251,0.6642
068,0.6066,0.5924,0.5635,0.5776,0.5918
069,0.6314,0.6872,0.5256,0.5956,0.613
