video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.7673,0.7806,0.7462,0.763,0.7651
002,0.7867,0.7395,0.692,0.7149,0.7491
003,0.7797,0.7789,0.7368,0.7572,0.7683
004,0.7608,0.7931,0.7363,0.7637,0.7622
005,0.7474,0.7295,0.7035,0.7162,0.7315
006,0.7578,0.7727,0.7069,0.7383,0.7479
007,0.8057,0.7931,0.7292,0.7598,0.7821
008,0.7868,0.768,0.7239,0.7453,0.7655
009,0.6722,0.7491,0.6991,0.7232,0.6968
010,0.8447,0.8251,0.7421,0.7814,0.8118
011,0.6682,0.7367,0.697,0.7163,0.6914
012,0.7473,0.7621,0.7068,0.7334,0.7403
013,0.7922,0.8071,0.7311,0.7672,0.7795
014,0.7852,0.7618,0.7121,0.7361,0.7599
015,0.848,0.7688,0.731,0.7494,0.7957
016,0.7289,0.7282,0.6781,0.7023,0.7153
017,0.7715,0.7518,0.6934,0.7214,0.7456
018,0.7921,0.7715,0.6774,0.7214,0.7551
019,0.7944,0.7745,0.7309,0.7521,0.7727
020,0.8169,0.8018,0.7365,0.7677,0.7915
021,0.7501,0.7139,0.6758,0.6944,0.7211
022,0.7648,0.7403,0.7188,0.7294,0.7467
023,0.8235,0.7937,0.7312,0.7612,0.7911
024,0.8455,0.7877,0.7456,0.7661,0.8038
025,0.8023,0.8152,0.769,0.7914,0.7969
026,0.8277,0.753,0.7333,0.743,0.7831
027,0.7795,0.719,0.6718,0.6946,0.7346
028,0.7915,0.7437,0.7088,0.7259,0.7573
029,0.733,0.726,0.7005,0.713,0.7229
030,0.8162,0.7803,0.7238,0.7509,0.7822
031,0.7258,0.7339,0.6932,0.713,0.7193
032,0.8551,0.7196,0.7263,0.7229,0.7835
033,0.8349,0.7835,0.7168,0.7486,0.7894
034,0.7342,0.6934,0.7162,0.7046,0.7191
035,0.8824,0.7933,0.7352,0.7631,0.8185
036,0.7192,0.6922,0.6592,0.6753,0.6966
037,0.834,0.8148,0.7467,0.7793,0.8057
038,0.7571,0.7242,0.6968,0.7102,0.7329
039,0.891,0.8188,0.7769,0.7973,0.8416
040,0.8408,0.8072,0.7427,0.7736,0.8058
041,0.7669,0.7436,0.7236,0.7335,0.7498
042,0.6789,0.745,0.6809,0.7115,0.6948
043,0.7425,0.757,0.6848,0.7191,0.7306
044,0.8205,0.7501,0.7124,0.7308,0.773
045,0.8158,0.7579,0.7228,0.7399,0.776
046,0.8099,0.7683,0.7261,0.7466,0.777
047,0.8439,0.7711,0.7365,0.7534,0.7961
048,0.843,0.7504,0.747,0.7487,0.793
049,0.8448,0.8009,0.769,0.7847,0.8136
050,0.7629,0.7884,0.7007,0.742,0.7523
051,0.806,0.7561,0.7012,0.7277,0.7648
052,0.7396,0.7387,0.6958,0.7166,0.7279
053,0.6657,0.7231,0.6983,0.7105,0.6874
054,0.7608,0.732,0.7325,0.7322,0.7462
055,0.8279,0.7567,0.7109,0.7331,0.7776
056,0.7428,0.6872,0.6473,0.6666,0.7027
057,0.8159,0.7422,0.7166,0.7292,0.7701
058,0.8345,0.7407,0.7128,0.7265,0.7768
059,0.7686,0.7872,0.7132,0.7483,0.7583
060,0.829,0.7754,0.706,0.739,0.7814
061,0.7826,0.7265,0.6958,0.7108,0.745
062,0.801,0.7906,0.7479,0.7687,0.7845
063,0.6977,0.75,0.7048,0.7267,0.7119
064,0.8394,0.7718,0.7292,0.7499,0.7921
065,0.8201,0.7663,0.705,0.7344,0.7749
066,0.8338,0.7577,0.687,0.7206,0.7731
067,0.7932,0.82,0.7306,0.7727,0.7828
068,0.7927,0.7612,0.6992,0.7289,0.7595
069,0.7495,0.7279,0.6829,0.7047,0.7264
070,0.8724,0.8228,0.7962,0.8093,0.8397
071,0.8428,0.767,0.7334,0.7498,0.7936
072,0.8376,0.7899,0.7648,0.7771,0.8062
073,0.8448,0.799,0.7632,0.7807,0.8115
074,0.7685,0.7485,0.6895,0.7178,0.7423
075,0.784,0.7056,0.6938,0.6996,0.7394
076,0.7341,0.7285,0.6506,0.6874,0.71
077,0.832,0.7648,0.7192,0.7413,0.784
078,0.8599,0.7809,0.7211,0.7498,0.8011
079,0.8183,0.7646,0.7251,0.7443,0.7795
