video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6373,0.722,0.6636,0.6916,0.6634
002,0.7467,0.6822,0.6424,0.6617,0.7016
003,0.6895,0.6788,0.6654,0.672,0.6807
004,0.6069,0.6946,0.6825,0.6885,0.6451
005,0.6941,0.6821,0.6618,0.6718,0.6828
006,0.6734,0.6872,0.6623,0.6745,0.674
007,0.5573,0.6328,0.598,0.6149,0.5847
008,0.6258,0.6987,0.6428,0.6696,0.6469
009,0.6684,0.6347,0.6452,0.6399,0.6538
010,0.7082,0.7748,0.6828,0.7259,0.717
011,0.7456,0.7221,0.7142,0.7181,0.7316
012,0.6165,0.6725,0.6264,0.6486,0.6321
013,0.5634,0.7335,0.6466,0.6873,0.6192
014,0.6898,0.6863,0.6263,0.6549,0.6719
015,0.6905,0.7078,0.6918,0.6997,0.695
016,0.648,0.6749,0.6709,0.6729,0.6602
017,0.7074,0.694,0.6565,0.6747,0.6907
018,0.7132,0.6846,0.6579,0.671,0.6914
019,0.7158,0.754,0.7542,0.7541,0.7345
020,0.6329,0.7043,0.7091,0.7067,0.6678
021,0.5842,0.6453,0.6321,0.6386,0.6102
022,0.7175,0.6849,0.6707,0.6777,0.697
023,0.6513,0.685,0.6947,0.6898,0.67
024,0.7272,0.6832,0.6772,0.6802,0.7029
025,0.6288,0.6604,0.6567,0.6585,0.6433
026,0.6405,0.7221,0.7139,0.718,0.677
027,0.6708,0.6491,0.6764,0.6625,0.6666
028,0.5727,0.6705,0.7093,0.6893,0.6256
029,0.7079,0.6955,0.6586,0.6766,0.6919
030,0.571,0.6109,0.5808,0.5955,0.583
031,0.5555,0.706,0.6975,0.7018,0.6201
032,0.7105,0.6781,0.675,0.6766,0.6931
033,0.5531,0.6133,0.5917,0.6023,0.5767
034,0.7527,0.7028,0.688,0.6953,0.7229
035,0.6711,0.7236,0.6806,0.7014,0.6859
036,0.6161,0.6461,0.6451,0.6456,0.6305
037,0.6459,0.7054,0.6657,0.685,0.6649
038,0.5681,0.5835,0.5735,0.5785,0.5732
