video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.7726,0.7632,0.7048,0.7328,0.7522
002,0.8323,0.7032,0.6931,0.6981,0.7593
003,0.7739,0.7047,0.6736,0.6888,0.7289
004,0.7917,0.7139,0.7336,0.7236,0.7561
005,0.8125,0.7426,0.7059,0.7237,0.7656
006,0.8386,0.7482,0.7336,0.7408,0.7867
007,0.8241,0.7291,0.6879,0.7079,0.7616
008,0.815,0.7244,0.6865,0.7049,0.756
009,0.7076,0.7171,0.7028,0.7099,0.7087
010,0.823,0.7389,0.7234,0.7311,0.7743
011,0.7683,0.7362,0.7275,0.7318,0.7496
012,0.7091,0.6923,0.6494,0.6702,0.6891
013,0.7098,0.7115,0.6648,0.6874,0.6984
014,0.8301,0.6572,0.6746,0.6658,0.7389
015,0.8602,0.7405,0.7154,0.7277,0.7885
016,0.8085,0.7334,0.6858,0.7088,0.7554
017,0.8148,0.7206,0.7099,0.7152,0.7618
018,0.8411,0.7124,0.6828,0.6973,0.7625
019,0.8122,0.7705,0.7136,0.741,0.775
020,0.7806,0.6362,0.6693,0.6524,0.7107
021,0.8311,0.7622,0.7114,0.7359,0.7806
022,0.8141,0.7462,0.7098,0.7275,0.7684
023,0.8006,0.7413,0.7057,0.7231,0.7598
024,0.8362,0.7238,0.7167,0.7202,0.7739
025,0.7736,0.7111,0.6991,0.7051,0.7377
026,0.7539,0.7283,0.6925,0.71,0.7313
027,0.8018,0.7324,0.7056,0.7188,0.758
028,0.8134,0.7078,0.6875,0.6975,0.751
029,0.753,0.7194,0.6893,0.704,0.7277
030,0.8528,0.7331,0.7289,0.731,0.7872
031,0.7893,0.7176,0.7115,0.7145,0.75
032,0.7688,0.6824,0.6786,0.6805,0.722
033,0.7885,0.684,0.6664,0.6751,0.7274
034,0.735,0.6799,0.7191,0.6989,0.7165
035,0.7688,0.7431,0.7153,0.7289,0.7483
036,0.6798,0.6863,0.6562,0.6709,0.6753
037,0.8241,0.7521,0.7003,0.7253,0.7715
038,0.7876,0.6792,0.6849,0.6821,0.7311
039,0.8143,0.7127,0.7362,0.7243,0.7667
040,0.8111,0.7183,0.7175,0.7179,0.7617
041,0.723,0.6936,0.6501,0.6712,0.6961
042,0.8276,0.7448,0.7018,0.7226,0.7716
