video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.619,0.7578,0.7277,0.7424,0.6751
002,0.8087,0.7789,0.7366,0.7572,0.7821
003,0.853,0.7766,0.7353,0.7554,0.8012
004,0.6991,0.8208,0.7478,0.7826,0.7385
005,0.7346,0.7276,0.7192,0.7233,0.7289
006,0.8747,0.7911,0.7715,0.7812,0.8253
007,0.8762,0.7754,0.7354,0.7549,0.811
008,0.8445,0.7528,0.7253,0.7388,0.7881
009,0.7121,0.7618,0.7307,0.7459,0.7286
010,0.8767,0.8095,0.7384,0.7723,0.8212
011,0.6328,0.8147,0.7434,0.7774,0.6977
012,0.7555,0.7399,0.6864,0.7121,0.7332
013,0.6802,0.7718,0.732,0.7514,0.714
014,0.7497,0.8767,0.7401,0.8026,0.7752
015,0.9003,0.8218,0.7522,0.7855,0.839
016,0.7623,0.7501,0.6916,0.7196,0.7403
017,0.8845,0.7678,0.7267,0.7467,0.8097
018,0.8381,0.7771,0.7342,0.755,0.7944
019,0.8542,0.7885,0.7268,0.7564,0.8023
020,0.6946,0.7908,0.7206,0.754,0.7231
021,0.8777,0.7799,0.7461,0.7626,0.8161
022,0.848,0.787,0.769,0.7779,0.8115
023,0.7021,0.7802,0.7437,0.7615,0.7306
024,0.8681,0.7652,0.7601,0.7627,0.812
025,0.7872,0.7634,0.7295,0.7461,0.7661
026,0.8638,0.8001,0.7409,0.7693,0.8139
027,0.6345,0.7193,0.6926,0.7057,0.6682
028,0.7339,0.7799,0.7481,0.7636,0.7485
029,0.8206,0.7503,0.7157,0.7326,0.7741
030,0.827,0.7271,0.7106,0.7187,0.7691
031,0.7851,0.7383,0.7488,0.7435,0.7637
032,0.6749,0.7018,0.7173,0.7095,0.6918
033,0.8371,0.7489,0.7237,0.7361,0.7834
034,0.7797,0.7162,0.7536,0.7344,0.7564
035,0.8916,0.8104,0.7428,0.7751,0.8293
036,0.7602,0.7227,0.6828,0.7022,0.73
037,0.8955,0.8192,0.7734,0.7957,0.8426
038,0.679,0.7637,0.7268,0.7448,0.7104
039,0.8807,0.814,0.7951,0.8044,0.8408
040,0.6858,0.8185,0.734,0.7739,0.7272
041,0.6409,0.7521,0.7207,0.7361,0.6852
042,0.7721,0.8163,0.7319,0.7718,0.7719
043,0.6778,0.7474,0.6896,0.7173,0.697
044,0.7229,0.7923,0.7285,0.759,0.7405
045,0.833,0.753,0.7071,0.7293,0.7777
046,0.8476,0.7975,0.7636,0.7802,0.8125
047,0.8301,0.7843,0.7378,0.7604,0.7937
048,0.8504,0.7803,0.7675,0.7738,0.8103
049,0.8761,0.8244,0.801,0.8125,0.8431
050,0.8244,0.8031,0.7108,0.7541,0.7877
051,0.819,0.7322,0.6836,0.7071,0.7589
052,0.7324,0.7978,0.747,0.7715,0.7515
053,0.763,0.7905,0.7332,0.7608,0.7619
054,0.8065,0.7491,0.773,0.7609,0.783
055,0.6973,0.6756,0.6479,0.6615,0.6789
056,0.7066,0.736,0.6755,0.7044,0.7055
057,0.7542,0.7776,0.744,0.7604,0.7573
058,0.6869,0.7062,0.6973,0.7017,0.6943
059,0.6335,0.7615,0.6995,0.7292,0.678
060,0.8529,0.7885,0.7651,0.7766,0.813
061,0.8261,0.7537,0.7378,0.7457,0.7838
062,0.7125,0.7649,0.7172,0.7403,0.7261
063,0.7719,0.7807,0.7321,0.7556,0.7637
064,0.8291,0.7752,0.7268,0.7502,0.7877
065,0.8503,0.7271,0.7178,0.7224,0.7812
066,0.7605,0.7226,0.7037,0.713,0.736
067,0.8479,0.7818,0.7287,0.7543,0.7984
068,0.8776,0.7784,0.7593,0.7687,0.8196
069,0.6958,0.7352,0.7324,0.7338,0.7143
070,0.8964,0.8296,0.7863,0.8074,0.8496
071,0.6552,0.7397,0.6931,0.7156,0.6841
072,0.6944,0.8074,0.7474,0.7762,0.733
073,0.8482,0.8,0.7739,0.7867,0.8163
074,0.6188,0.7124,0.6816,0.6967,0.6554
075,0.6503,0.6805,0.7042,0.6921,0.6706
076,0.8229,0.7463,0.7061,0.7257,0.7712
077,0.6845,0.7516,0.7001,0.725,0.7041
078,0.8794,0.832,0.7475,0.7875,0.8309
079,0.7073,0.7128,0.6588,0.6848,0.6958
080,0.6506,0.7504,0.7193,0.7345,0.69
081,0.821,0.7372,0.7122,0.7245,0.7697
082,0.8675,0.7504,0.7512,0.7508,0.8049
083,0.856,0.802,0.7564,0.7785,0.8154
084,0.7294,0.7646,0.7332,0.7486,0.7389
085,0.7653,0.7365,0.6957,0.7155,0.7396
086,0.7061,0.765,0.7059,0.7343,0.7199
087,0.7552,0.7876,0.7246,0.7548,0.755
088,0.7141,0.8049,0.7719,0.788,0.7492
089,0.8129,0.7371,0.739,0.7381,0.7737
090,0.8559,0.773,0.7326,0.7522,0.8007
091,0.8259,0.7765,0.7381,0.7568,0.7899
092,0.7967,0.7645,0.7412,0.7527,0.7741
093,0.8316,0.7291,0.7323,0.7307,0.7779
094,0.8009,0.7388,0.7624,0.7504,0.7748
095,0.7933,0.7352,0.7412,0.7382,0.7648
096,0.804,0.7537,0.7414,0.7475,0.7747
097,0.8273,0.7985,0.7542,0.7757,0.8007
098,0.7268,0.8385,0.7371,0.7845,0.7546
099,0.784,0.7496,0.7355,0.7425,0.7627
100,0.826,0.7754,0.7328,0.7535,0.7881
101,0.6661,0.7022,0.6802,0.691,0.6784
102,0.7586,0.7317,0.7599,0.7455,0.752
103,0.8864,0.8058,0.7573,0.7808,0.8303
104,0.8615,0.7864,0.7413,0.7632,0.8093
105,0.6358,0.6485,0.6717,0.6599,0.6477
106,0.891,0.7985,0.8016,0.8001,0.8431
107,0.8095,0.7649,0.7844,0.7746,0.7916
