video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6244,0.7042,0.707,0.7056,0.6625
002,0.6676,0.7269,0.6846,0.7051,0.6859
003,0.7167,0.7154,0.6719,0.693,0.7046
004,0.7369,0.7187,0.7132,0.7159,0.7263
005,0.7638,0.7636,0.6623,0.7094,0.7356
006,0.7311,0.7439,0.6991,0.7208,0.7259
007,0.613,0.7296,0.6739,0.7006,0.6539
008,0.6148,0.6616,0.6146,0.6373,0.6258
009,0.7091,0.6697,0.669,0.6694,0.6887
010,0.7746,0.7759,0.7261,0.7502,0.7622
011,0.5412,0.7044,0.6861,0.6951,0.6086
012,0.6882,0.7627,0.7207,0.7411,0.7137
013,0.665,0.735,0.6752,0.7038,0.6839
014,0.7078,0.75,0.6847,0.7159,0.7118
015,0.7842,0.7268,0.6775,0.7013,0.7404
016,0.6968,0.7089,0.6706,0.6892,0.693
017,0.8146,0.7181,0.6887,0.7031,0.7548
018,0.7184,0.7249,0.6492,0.6849,0.7013
019,0.6043,0.7855,0.6978,0.739,0.6649
020,0.7715,0.7859,0.7256,0.7545,0.7629
021,0.7244,0.698,0.6462,0.6711,0.6967
022,0.8054,0.742,0.7112,0.7263,0.7638
023,0.8249,0.7713,0.7304,0.7503,0.7858
024,0.6638,0.6801,0.6484,0.6638,0.6638
025,0.7159,0.7167,0.7103,0.7135,0.7147
026,0.7446,0.7417,0.6919,0.7159,0.73
027,0.7319,0.7191,0.6997,0.7093,0.7204
028,0.7153,0.7132,0.6916,0.7022,0.7087
029,0.5315,0.689,0.626,0.656,0.5872
030,0.7329,0.7195,0.6937,0.7064,0.7194
031,0.6817,0.6893,0.6591,0.6738,0.6778
032,0.7428,0.7028,0.6764,0.6893,0.7151
033,0.6052,0.755,0.6872,0.7195,0.6574
034,0.7654,0.7125,0.7172,0.7148,0.7393
035,0.7762,0.7611,0.713,0.7363,0.7557
036,0.6755,0.6817,0.6476,0.6642,0.6698
037,0.8351,0.7579,0.7293,0.7434,0.7865
038,0.6786,0.7069,0.7122,0.7096,0.6938
039,0.7492,0.7389,0.712,0.7252,0.737
040,0.7562,0.7092,0.68,0.6943,0.7239
041,0.6086,0.6724,0.6399,0.6558,0.6313
042,0.7334,0.7142,0.6851,0.6993,0.716
043,0.7612,0.7322,0.652,0.6898,0.7237
044,0.7536,0.6848,0.6675,0.676,0.7127
045,0.7127,0.6525,0.6496,0.651,0.6805
046,0.7326,0.7504,0.6967,0.7226,0.7275
047,0.7901,0.7475,0.7012,0.7236,0.7554
048,0.7378,0.7299,0.7015,0.7154,0.7264
049,0.7296,0.691,0.6751,0.6829,0.7055
