video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.8051,0.795,0.7473,0.7704,0.7874
002,0.8129,0.791,0.7152,0.7512,0.7808
003,0.7325,0.7213,0.6886,0.7046,0.7183
004,0.8032,0.7777,0.7598,0.7686,0.7855
005,0.7559,0.7492,0.6755,0.7105,0.7325
006,0.7748,0.7674,0.6931,0.7284,0.7509
007,0.8406,0.7935,0.7095,0.7491,0.7922
008,0.6993,0.7617,0.734,0.7476,0.7226
009,0.7766,0.7721,0.7216,0.746,0.761
010,0.8307,0.7749,0.7425,0.7584,0.7929
011,0.8091,0.7905,0.7346,0.7615,0.7846
012,0.628,0.6845,0.6359,0.6593,0.6433
013,0.7405,0.7425,0.6894,0.715,0.7275
014,0.7206,0.7763,0.7317,0.7533,0.7366
015,0.9035,0.8092,0.7673,0.7877,0.8416
016,0.8305,0.8062,0.7446,0.7742,0.8014
017,0.8356,0.7788,0.7108,0.7432,0.7867
018,0.7374,0.7953,0.7455,0.7696,0.7532
019,0.806,0.7714,0.7412,0.756,0.7802
020,0.8457,0.7845,0.7582,0.7711,0.8067
021,0.8307,0.7502,0.7248,0.7373,0.7812
022,0.8568,0.8255,0.7621,0.7925,0.8234
023,0.873,0.7934,0.7958,0.7946,0.8319
024,0.8058,0.7396,0.7144,0.7268,0.7643
025,0.7503,0.768,0.7664,0.7672,0.7587
026,0.6987,0.7774,0.7838,0.7806,0.7374
027,0.8272,0.7807,0.7453,0.7626,0.7936
028,0.7876,0.7431,0.6987,0.7202,0.7524
029,0.7993,0.7498,0.7268,0.7381,0.7675
030,0.8071,0.7652,0.7333,0.7489,0.7769
031,0.7293,0.8187,0.7849,0.8015,0.7637
032,0.6485,0.7311,0.7396,0.7354,0.6892
033,0.7207,0.7932,0.7408,0.7661,0.7427
034,0.6414,0.6797,0.6832,0.6814,0.6608
035,0.8731,0.8482,0.7976,0.8221,0.8469
036,0.6422,0.7049,0.7072,0.706,0.6726
037,0.7365,0.7709,0.7728,0.7719,0.7538
038,0.8157,0.7492,0.7288,0.7389,0.7754
039,0.6762,0.814,0.7903,0.802,0.7337
040,0.7347,0.7534,0.7366,0.7449,0.7398
041,0.7152,0.718,0.6826,0.6999,0.7075
042,0.7522,0.7717,0.7255,0.7479,0.75
043,0.8487,0.7655,0.7165,0.7401,0.7907
044,0.8289,0.7435,0.7096,0.7262,0.7741
045,0.676,0.7537,0.7139,0.7333,0.7034
046,0.7847,0.768,0.7279,0.7474,0.7656
047,0.6637,0.7012,0.653,0.6763,0.6699
048,0.7278,0.7801,0.7779,0.779,0.7525
049,0.7614,0.7605,0.746,0.7532,0.7573
050,0.7503,0.7239,0.7328,0.7283,0.7391
051,0.8061,0.842,0.7857,0.8129,0.8095
052,0.8168,0.7597,0.7342,0.7467,0.7802
053,0.8107,0.8023,0.7613,0.7813,0.7957
054,0.8147,0.7482,0.7068,0.7269,0.7683
055,0.7245,0.7213,0.6949,0.7079,0.7161
056,0.8111,0.7597,0.6794,0.7173,0.7613
057,0.8298,0.7178,0.7197,0.7187,0.7703
058,0.794,0.6959,0.6929,0.6944,0.7409
059,0.6823,0.7153,0.7493,0.7319,0.7062
060,0.6362,0.7423,0.7056,0.7235,0.6771
