video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6746,0.5208,0.5085,0.5146,0.5838
002,0.6495,0.5037,0.4867,0.4951,0.5618
003,0.5904,0.5342,0.4991,0.5161,0.5507
004,0.6672,0.5637,0.5267,0.5446,0.5997
005,0.6843,0.4935,0.496,0.4947,0.5743
006,0.5965,0.5292,0.5005,0.5145,0.5524
007,0.5237,0.5353,0.4403,0.4832,0.5026
008,0.6026,0.5321,0.4878,0.509,0.5519
009,0.6012,0.5371,0.4854,0.5099,0.5518
010,0.5714,0.5307,0.4886,0.5088,0.5383
011,0.4985,0.4828,0.4951,0.4889,0.4936
012,0.5066,0.4873,0.5018,0.4945,0.5005
013,0.5467,0.5025,0.4326,0.4649,0.5025
014,0.5991,0.4828,0.4554,0.4687,0.5259
015,0.5688,0.5234,0.5028,0.5129,0.5394
016,0.6256,0.5096,0.483,0.4959,0.5533
017,0.6085,0.4725,0.4376,0.4544,0.5203
018,0.6493,0.5563,0.4656,0.5069,0.5693
019,0.7081,0.5674,0.5489,0.558,0.6241
020,0.5829,0.582,0.5075,0.5422,0.5618
021,0.4167,0.4607,0.4201,0.4395,0.4278
022,0.6361,0.5975,0.5467,0.571,0.6018
023,0.5769,0.5221,0.5265,0.5243,0.5493
024,0.5881,0.529,0.5338,0.5314,0.5583
025,0.5926,0.5175,0.4861,0.5013,0.5431
026,0.5692,0.4533,0.4763,0.4645,0.5116
027,0.4959,0.5008,0.4468,0.4723,0.4838
028,0.5996,0.5005,0.4941,0.4973,0.5437
029,0.5171,0.4809,0.475,0.4779,0.4967
030,0.577,0.5419,0.4981,0.5191,0.5465
031,0.4833,0.4873,0.4537,0.4699,0.4765
032,0.537,0.4488,0.4228,0.4354,0.4809
033,0.4259,0.4087,0.4079,0.4083,0.4169
034,0.6404,0.505,0.5281,0.5163,0.5717
035,0.63,0.5118,0.5249,0.5183,0.5687
036,0.5174,0.4311,0.4181,0.4245,0.4664
037,0.6702,0.5481,0.5273,0.5375,0.5965
038,0.6261,0.4898,0.4932,0.4915,0.5507
039,0.5105,0.5625,0.5464,0.5543,0.5315
040,0.6991,0.5605,0.5217,0.5404,0.6096
041,0.4998,0.4653,0.4403,0.4525,0.475
042,0.394,0.4078,0.3862,0.3967,0.3953
043,0.5441,0.4954,0.4584,0.4762,0.5079
044,0.5434,0.4862,0.4736,0.4798,0.5096
045,0.6039,0.502,0.4463,0.4725,0.5302
046,0.5824,0.5641,0.5155,0.5387,0.5597
047,0.5462,0.467,0.4956,0.4808,0.5114
048,0.5379,0.4549,0.524,0.487,0.5112
049,0.5437,0.452,0.5212,0.4841,0.5122
050,0.6354,0.5253,0.4979,0.5113,0.5666
051,0.6149,0.4535,0.4687,0.461,0.5269
052,0.5253,0.5393,0.4995,0.5186,0.522
053,0.1571,0.3253,0.2535,0.285,0.2025
054,0.6219,0.4283,0.4441,0.4361,0.5127
055,0.6023,0.4975,0.5029,0.5002,0.5465
056,0.5369,0.4451,0.4352,0.4401,0.4837
057,0.4961,0.4398,0.4344,0.4371,0.4647
058,0.6165,0.5041,0.4806,0.4921,0.5473
059,0.5753,0.4893,0.4807,0.485,0.5263
060,0.5422,0.4422,0.4368,0.4395,0.4855
061,0.5282,0.4906,0.4826,0.4866,0.5065
062,0.6757,0.4844,0.4732,0.4788,0.5604
063,0.5572,0.5018,0.5295,0.5153,0.5354
064,0.6842,0.5448,0.5243,0.5344,0.6001
065,0.6128,0.4526,0.4526,0.4526,0.5207
066,0.5562,0.4859,0.4559,0.4704,0.5097
067,0.656,0.5354,0.4969,0.5154,0.5773
068,0.6958,0.5312,0.5137,0.5223,0.5967
069,0.6481,0.5279,0.5077,0.5176,0.5755
070,0.1559,0.3171,0.2266,0.2643,0.1961
071,0.6733,0.5079,0.487,0.4973,0.5721
072,0.6341,0.5043,0.4842,0.4941,0.5554
073,0.5906,0.4886,0.5126,0.5003,0.5417
074,0.7169,0.5057,0.4648,0.4844,0.5781
075,0.5375,0.4442,0.4207,0.4321,0.4791
076,0.6117,0.5339,0.4427,0.484,0.5404
077,0.6273,0.5116,0.4675,0.4886,0.5493
078,0.3831,0.4496,0.363,0.4017,0.3922
079,0.49,0.5,0.4675,0.4832,0.4866
080,0.5593,0.4683,0.4752,0.4717,0.5118
081,0.5395,0.4393,0.4355,0.4374,0.4831
082,0.5763,0.4977,0.4896,0.4936,0.5318
083,0.6226,0.5234,0.4957,0.5092,0.5602
084,0.4327,0.4898,0.4899,0.4899,0.4595
085,0.6193,0.4982,0.4713,0.4844,0.5436
086,0.5137,0.4935,0.4177,0.4524,0.4811
087,0.4663,0.4833,0.4969,0.49,0.4779
088,0.5337,0.4686,0.538,0.5009,0.5168
089,0.6094,0.4586,0.4494,0.454,0.5203
090,0.5847,0.4956,0.4476,0.4703,0.5213
091,0.6164,0.526,0.5155,0.5207,0.5645
092,0.6374,0.4202,0.4617,0.44,0.5206
093,0.599,0.4613,0.474,0.4676,0.5252
094,0.6324,0.4839,0.5065,0.495,0.5553
095,0.6627,0.4837,0.4104,0.4441,0.5318
096,0.542,0.5329,0.5185,0.5256,0.5337
097,0.5963,0.4599,0.5031,0.4805,0.5322
098,0.5796,0.6344,0.5818,0.6069,0.593
099,0.6949,0.5602,0.545,0.5525,0.6156
100,0.5073,0.4793,0.4333,0.4551,0.4798
101,0.5625,0.4772,0.4846,0.4808,0.5185
102,0.6814,0.5183,0.537,0.5275,0.5946
103,0.5753,0.4633,0.5041,0.4828,0.525
104,0.6766,0.5128,0.5125,0.5127,0.5833
105,0.6061,0.4921,0.4703,0.481,0.5363
106,0.7132,0.5092,0.5118,0.5105,0.5951
107,0.5659,0.5129,0.5195,0.5162,0.5399
108,0.5315,0.5468,0.4901,0.5169,0.5241
109,0.5147,0.4756,0.4944,0.4848,0.4993
110,0.5824,0.5344,0.4973,0.5152,0.5467
111,0.6011,0.579,0.5394,0.5585,0.579
112,0.6108,0.4545,0.4924,0.4727,0.5329
113,0.4343,0.4259,0.4547,0.4398,0.437
114,0.5116,0.4371,0.4527,0.4448,0.4758
115,0.6192,0.4736,0.5077,0.4901,0.5471
116,0.5382,0.4952,0.4977,0.4965,0.5165
117,0.5107,0.4917,0.5019,0.4967,0.5036
118,0.5129,0.459,0.4829,0.4707,0.4909
119,0.5032,0.4605,0.4544,0.4574,0.4792
120,0.4468,0.4447,0.5107,0.4754,0.4606
121,0.5391,0.5833,0.5352,0.5582,0.5485
122,0.512,0.4252,0.4743,0.4484,0.4781
123,0.7331,0.5626,0.5224,0.5417,0.6231
124,0.4269,0.4695,0.4736,0.4715,0.4481
125,0.3887,0.4398,0.4563,0.4479,0.4162
127,0.5345,0.4595,0.4611,0.4603,0.4947
128,0.7971,0.6365,0.5748,0.6041,0.6873
129,0.5064,0.5035,0.506,0.5047,0.5056
130,0.4324,0.4304,0.4514,0.4407,0.4365
131,0.3807,0.4511,0.4653,0.4581,0.4158
132,0.5037,0.4891,0.4904,0.4898,0.4966
133,0.5834,0.463,0.5025,0.482,0.5278
134,0.6161,0.4638,0.5264,0.4931,0.5478
135,0.6627,0.4565,0.4435,0.4499,0.5359
136,0.4904,0.4601,0.4946,0.4767,0.4835
137,0.5586,0.431,0.5252,0.4735,0.5125
138,0.4748,0.4694,0.4763,0.4728,0.4738
139,0.6871,0.5736,0.5751,0.5743,0.6257
140,0.4521,0.4274,0.4207,0.424,0.4376
141,0.6826,0.5769,0.5936,0.5851,0.6301
142,0.4761,0.553,0.5269,0.5397,0.5059
143,0.6939,0.5786,0.5387,0.558,0.6186
144,0.4385,0.4214,0.4392,0.4301,0.4343
145,0.7135,0.5954,0.6679,0.6296,0.6689
146,0.4684,0.5013,0.517,0.509,0.4878
147,0.5947,0.5109,0.4968,0.5037,0.5455
148,0.589,0.4668,0.5024,0.484,0.5313
149,0.6553,0.528,0.5861,0.5556,0.6013
150,0.6138,0.5488,0.5411,0.5449,0.5773
