video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6353,0.5507,0.4932,0.5204,0.5721
002,0.6771,0.5328,0.415,0.4666,0.5525
003,0.6591,0.5379,0.5096,0.5233,0.5834
004,0.6173,0.4982,0.4716,0.4845,0.5429
005,0.6623,0.5139,0.4349,0.4711,0.5506
006,0.7335,0.5829,0.5006,0.5386,0.6211
007,0.7588,0.5745,0.4724,0.5185,0.616
008,0.5798,0.4777,0.4505,0.4637,0.5153
009,0.4638,0.4854,0.4243,0.4528,0.4582
010,0.5596,0.5305,0.4076,0.461,0.5056
011,0.6189,0.6195,0.5227,0.567,0.5918
012,0.4611,0.4643,0.4008,0.4302,0.4451
013,0.6911,0.5247,0.4523,0.4858,0.5706
014,0.7457,0.6005,0.4737,0.5296,0.6193
015,0.6899,0.584,0.5268,0.5539,0.6145
016,0.5448,0.4619,0.3894,0.4226,0.476
017,0.6936,0.5065,0.4468,0.4748,0.5637
018,0.5239,0.5792,0.4686,0.5181,0.521
019,0.6986,0.628,0.5302,0.5749,0.6307
020,0.6819,0.5338,0.4888,0.5103,0.5837
021,0.6861,0.5895,0.5041,0.5435,0.6065
022,0.6914,0.5612,0.5292,0.5447,0.6093
023,0.6814,0.6788,0.5634,0.6157,0.6469
024,0.6948,0.5368,0.4737,0.5033,0.5837
025,0.6706,0.5426,0.5397,0.5411,0.5989
026,0.602,0.5515,0.5055,0.5275,0.5623
027,0.6569,0.5311,0.4884,0.5089,0.5735
028,0.6501,0.5903,0.518,0.5518,0.5969
029,0.6874,0.5322,0.4936,0.5122,0.587
030,0.7196,0.5737,0.4877,0.5272,0.6086
031,0.6941,0.585,0.5525,0.5683,0.6249
032,0.5943,0.4774,0.473,0.4752,0.5281
033,0.4769,0.543,0.4568,0.4962,0.4863
034,0.5567,0.4158,0.48,0.4456,0.495
035,0.775,0.6944,0.5661,0.6237,0.6912
036,0.5461,0.5364,0.4559,0.4929,0.5181
037,0.7057,0.5529,0.522,0.537,0.6099
038,0.8021,0.6519,0.5828,0.6155,0.6965
039,0.5529,0.5331,0.5294,0.5313,0.5419
