video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5772,0.4453,0.5014,0.4717,0.5191
002,0.6329,0.5021,0.4685,0.4847,0.549
003,0.5097,0.4684,0.4184,0.442,0.4734
004,0.5927,0.529,0.5063,0.5174,0.5525
005,0.5867,0.5406,0.3993,0.4593,0.5152
006,0.5382,0.5062,0.4244,0.4617,0.497
007,0.4982,0.502,0.4429,0.4706,0.484
008,0.3571,0.4101,0.3517,0.3787,0.3676
009,0.4216,0.435,0.4007,0.4172,0.4194
010,0.565,0.5656,0.4848,0.5221,0.5427
011,0.4236,0.541,0.514,0.5272,0.4697
012,0.5728,0.5775,0.5343,0.5551,0.5638
013,0.4497,0.5126,0.4409,0.4741,0.4616
014,0.543,0.5181,0.4337,0.4722,0.5051
015,0.6007,0.4875,0.4315,0.4578,0.5196
016,0.4638,0.4438,0.4109,0.4267,0.4445
017,0.5815,0.4731,0.4451,0.4586,0.5128
018,0.5043,0.4809,0.3686,0.4173,0.4567
019,0.5356,0.6316,0.524,0.5728,0.5536
020,0.6312,0.5833,0.5005,0.5387,0.5813
021,0.5067,0.4353,0.3739,0.4023,0.4485
022,0.6247,0.5375,0.4848,0.5098,0.5614
023,0.7037,0.5713,0.5301,0.5499,0.6174
024,0.4117,0.4139,0.359,0.3845,0.3977
025,0.5432,0.4902,0.4781,0.4841,0.512
026,0.606,0.4935,0.4495,0.4705,0.5297
027,0.6223,0.4938,0.4591,0.4758,0.5393
028,0.5365,0.5071,0.458,0.4813,0.5074
029,0.4009,0.4832,0.4072,0.442,0.4204
030,0.5679,0.4956,0.4661,0.4804,0.5205
031,0.5215,0.462,0.421,0.4406,0.4776
032,0.5803,0.4866,0.4433,0.464,0.5156
033,0.4695,0.5499,0.4723,0.5081,0.4881
034,0.6196,0.4791,0.4819,0.4805,0.5413
035,0.6388,0.5396,0.4934,0.5155,0.5705
036,0.4678,0.4246,0.3842,0.4034,0.4332
037,0.7224,0.5311,0.4956,0.5127,0.5998
038,0.6256,0.5148,0.5102,0.5125,0.5634
039,0.4948,0.493,0.4695,0.481,0.4878
040,0.5146,0.4733,0.4473,0.4599,0.4857
041,0.4036,0.4451,0.3751,0.4071,0.4054
042,0.4994,0.481,0.4539,0.4671,0.4827
043,0.6229,0.5144,0.397,0.4482,0.5213
044,0.5198,0.4474,0.4088,0.4272,0.469
045,0.5014,0.4297,0.4115,0.4204,0.4574
046,0.5537,0.5227,0.4551,0.4866,0.518
047,0.6156,0.5546,0.4945,0.5228,0.5654
048,0.5019,0.5011,0.4706,0.4854,0.4935
049,0.5403,0.4731,0.4477,0.4601,0.497
050,0.6176,0.5227,0.472,0.4961,0.5502
051,0.3803,0.3712,0.3412,0.3555,0.3675
052,0.565,0.5843,0.5188,0.5497,0.5572
053,0.4612,0.4818,0.4187,0.4481,0.4545
054,0.5084,0.4252,0.3831,0.4031,0.4496
055,0.5287,0.4672,0.4427,0.4546,0.4889
056,0.4592,0.4764,0.4,0.4349,0.4467
057,0.5262,0.391,0.4414,0.4147,0.4638
058,0.5668,0.427,0.3795,0.4018,0.4703
059,0.5788,0.5094,0.4846,0.4967,0.5346
060,0.5478,0.498,0.4346,0.4642,0.5025
061,0.6881,0.5567,0.5497,0.5532,0.6133
062,0.4275,0.4843,0.4162,0.4477,0.4374
063,0.4248,0.5005,0.4539,0.4761,0.449
064,0.6465,0.5665,0.456,0.5053,0.5672
065,0.3741,0.5193,0.3459,0.4152,0.3936
066,0.5056,0.4879,0.4446,0.4652,0.4846
067,0.547,0.4997,0.5119,0.5057,0.5255
068,0.8255,0.5841,0.564,0.5738,0.6771
069,0.5046,0.5104,0.417,0.459,0.4807
070,0.7473,0.6092,0.5273,0.5653,0.6437
071,0.4868,0.4795,0.4371,0.4573,0.4716
072,0.7027,0.5859,0.5087,0.5446,0.6136
073,0.626,0.5384,0.4785,0.5066,0.56
074,0.5385,0.5433,0.4794,0.5093,0.5235
075,0.4638,0.4528,0.4149,0.433,0.4479
076,0.5116,0.5104,0.4289,0.4661,0.4878
077,0.7167,0.5924,0.5137,0.5503,0.6225
078,0.6545,0.5419,0.4907,0.515,0.5765
079,0.4653,0.5061,0.4484,0.4755,0.4703
080,0.5552,0.524,0.4209,0.4669,0.5072
081,0.5697,0.4678,0.4329,0.4497,0.5026
082,0.6268,0.5347,0.4158,0.4678,0.5358
083,0.5743,0.4632,0.4433,0.4531,0.5065
084,0.5662,0.4803,0.458,0.4689,0.513
085,0.6056,0.4815,0.4558,0.4683,0.5282
086,0.4599,0.4067,0.3836,0.3948,0.4249
087,0.5574,0.4863,0.4699,0.478,0.5146
088,0.5835,0.4889,0.5255,0.5065,0.5423
089,0.5448,0.4512,0.3841,0.415,0.4711
090,0.4726,0.4655,0.3931,0.4262,0.4482
091,0.5345,0.4599,0.4138,0.4356,0.48
092,0.5208,0.4127,0.4159,0.4143,0.4615
093,0.4999,0.4337,0.4104,0.4217,0.4575
094,0.6244,0.531,0.4588,0.4922,0.5505
095,0.5474,0.383,0.4215,0.4013,0.4631
096,0.5154,0.4727,0.4601,0.4663,0.4896
097,0.6119,0.4557,0.4371,0.4462,0.5161
098,0.461,0.3676,0.3735,0.3705,0.4108
099,0.5389,0.47,0.4336,0.4511,0.4911
100,0.5899,0.4456,0.4282,0.4367,0.5019
101,0.3889,0.3918,0.3786,0.385,0.387
102,0.6548,0.5684,0.4872,0.5247,0.5826
103,0.6852,0.5216,0.5019,0.5116,0.5858
104,0.6608,0.5233,0.5059,0.5145,0.5785
105,0.5476,0.5,0.4216,0.4574,0.4985
106,0.526,0.5076,0.5052,0.5064,0.516
107,0.5787,0.4787,0.5205,0.4987,0.5357
108,0.4708,0.4965,0.5039,0.5001,0.485
109,0.6677,0.5373,0.5497,0.5434,0.5992
110,0.468,0.5083,0.4163,0.4577,0.4628
111,0.516,0.4772,0.4739,0.4755,0.4949
112,0.6976,0.5433,0.5339,0.5386,0.6079
113,0.5868,0.5158,0.5477,0.5313,0.5577
114,0.5508,0.4478,0.4424,0.4451,0.4923
115,0.6229,0.5446,0.581,0.5622,0.591
116,0.6264,0.4869,0.4919,0.4894,0.5494
117,0.5053,0.4207,0.4526,0.4361,0.4681
118,0.6272,0.4688,0.5108,0.4889,0.5495
119,0.4136,0.463,0.416,0.4382,0.4256
120,0.4755,0.4718,0.4392,0.4549,0.465
121,0.497,0.4873,0.5018,0.4945,0.4957
122,0.3944,0.4301,0.4788,0.4531,0.4217
123,0.6685,0.5396,0.4939,0.5158,0.5823
124,0.4043,0.4298,0.4362,0.433,0.4181
125,0.3788,0.4401,0.4048,0.4218,0.3991
127,0.5192,0.5561,0.4967,0.5247,0.522
128,0.7002,0.5281,0.522,0.525,0.6001
129,0.6362,0.5321,0.5843,0.557,0.594
130,0.5687,0.5608,0.5669,0.5638,0.5662
131,0.4409,0.5113,0.4704,0.49,0.4642
132,0.5472,0.4692,0.4905,0.4796,0.5112
133,0.4207,0.5056,0.4578,0.4805,0.4486
134,0.595,0.5207,0.4683,0.4932,0.5393
135,0.522,0.3625,0.3762,0.3692,0.4325
136,0.4936,0.4925,0.4373,0.4633,0.4779
137,0.4003,0.3837,0.4281,0.4047,0.4025
138,0.5406,0.4592,0.4951,0.4765,0.5065
139,0.675,0.5963,0.6021,0.5992,0.6348
140,0.4585,0.4184,0.3945,0.4061,0.4307
141,0.3854,0.3485,0.3096,0.3279,0.3544
142,0.4174,0.4913,0.4289,0.458,0.4368
143,0.6852,0.5104,0.493,0.5015,0.5791
144,0.4394,0.4153,0.4092,0.4122,0.4254
145,0.6489,0.509,0.5027,0.5058,0.5685
146,0.4559,0.408,0.3586,0.3817,0.4155
147,0.5056,0.5142,0.4676,0.4898,0.4976
148,0.521,0.4134,0.477,0.443,0.4788
149,0.5288,0.5079,0.494,0.5009,0.5145
150,0.6572,0.5286,0.507,0.5176,0.5791
151,0.48,0.5647,0.5653,0.565,0.519
152,0.4547,0.4399,0.4517,0.4457,0.4502
153,0.6306,0.5094,0.584,0.5441,0.5842
154,0.4219,0.4761,0.4238,0.4484,0.4347
155,0.4793,0.4826,0.5065,0.4943,0.4867
156,0.5527,0.4562,0.4982,0.4763,0.5116
157,0.4696,0.4955,0.4747,0.4849,0.4771
158,0.5524,0.5481,0.5331,0.5405,0.5464
159,0.6323,0.5428,0.5295,0.536,0.5802
160,0.558,0.4943,0.5095,0.5018,0.5284
161,0.584,0.4527,0.462,0.4573,0.5129
162,0.6364,0.5187,0.5435,0.5308,0.5788
163,0.5402,0.468,0.5007,0.4838,0.5104
164,0.5424,0.5097,0.4739,0.4911,0.5155
165,0.4669,0.4379,0.4083,0.4226,0.4437
166,0.5521,0.4753,0.4644,0.4698,0.5076
167,0.4743,0.4692,0.4485,0.4586,0.4663
168,0.5079,0.4292,0.4507,0.4397,0.4713
169,0.5501,0.4629,0.4912,0.4766,0.5107
170,0.64,0.4906,0.5039,0.4972,0.5596
171,0.541,0.4457,0.5003,0.4714,0.5038
172,0.6017,0.4436,0.4216,0.4323,0.5032
173,0.5705,0.5304,0.5164,0.5233,0.5459
174,0.6113,0.5573,0.5447,0.5509,0.5795
175,0.6151,0.5596,0.5874,0.5732,0.5934
176,0.5389,0.5073,0.5625,0.5335,0.5362
177,0.5299,0.467,0.4921,0.4793,0.5033
178,0.6543,0.5107,0.593,0.5488,0.5969
179,0.6073,0.4912,0.5419,0.5153,0.5575
