video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5749,0.5275,0.4151,0.4646,0.5139
002,0.6664,0.51,0.4314,0.4674,0.5494
003,0.6223,0.5023,0.3715,0.4271,0.5065
004,0.5469,0.4932,0.4155,0.451,0.4943
005,0.526,0.4962,0.3568,0.4151,0.464
006,0.5509,0.4976,0.4033,0.4455,0.4926
007,0.4311,0.4705,0.3353,0.3916,0.4104
008,0.5156,0.503,0.3463,0.4102,0.4569
009,0.3937,0.4392,0.3351,0.3802,0.3868
010,0.577,0.5663,0.399,0.4681,0.5169
011,0.5173,0.5481,0.3837,0.4514,0.4821
012,0.5387,0.467,0.2707,0.3427,0.4189
013,0.4761,0.4412,0.3281,0.3763,0.4204
014,0.5299,0.4608,0.3382,0.3901,0.4494
015,0.5769,0.5095,0.412,0.4556,0.5092
016,0.5451,0.4562,0.3864,0.4184,0.4734
017,0.6133,0.3592,0.2869,0.319,0.4197
018,0.5168,0.4431,0.3634,0.3993,0.4505
019,0.6102,0.6125,0.4431,0.5142,0.5581
020,0.6097,0.5449,0.3996,0.461,0.5251
021,0.5923,0.439,0.3189,0.3694,0.455
022,0.6749,0.5486,0.4898,0.5175,0.5858
023,0.652,0.587,0.4719,0.5232,0.5805
024,0.741,0.5234,0.4244,0.4688,0.5742
025,0.636,0.5243,0.4592,0.4896,0.5533
026,0.6151,0.5159,0.4008,0.4511,0.5205
027,0.5725,0.449,0.3888,0.4167,0.4824
028,0.6495,0.5143,0.4077,0.4548,0.535
029,0.628,0.4788,0.371,0.4181,0.502
030,0.6665,0.5174,0.4288,0.4689,0.5505
031,0.7317,0.5534,0.4877,0.5185,0.6069
032,0.5415,0.4468,0.3485,0.3916,0.4545
033,0.4915,0.4556,0.3723,0.4098,0.4469
034,0.699,0.4752,0.463,0.469,0.5613
035,0.6485,0.5522,0.4363,0.4875,0.5566
036,0.5101,0.4248,0.3091,0.3578,0.4206
037,0.5753,0.5342,0.4028,0.4593,0.5108
038,0.5713,0.4987,0.4508,0.4735,0.5178
039,0.4473,0.4178,0.3662,0.3903,0.4169
040,0.558,0.5454,0.4433,0.4891,0.5213
041,0.3913,0.3711,0.3102,0.338,0.3627
042,0.5236,0.5326,0.3813,0.4444,0.4808
043,0.5544,0.4757,0.3514,0.4042,0.4675
044,0.4892,0.417,0.3401,0.3747,0.4243
045,0.5474,0.5169,0.4406,0.4757,0.5091
046,0.6574,0.5448,0.462,0.5,0.568
047,0.5155,0.4488,0.3874,0.4158,0.4603
048,0.517,0.4419,0.3797,0.4084,0.4563
049,0.499,0.5037,0.4997,0.5017,0.5003
050,0.5939,0.4893,0.4313,0.4585,0.5174
051,0.5406,0.4836,0.3971,0.4361,0.4828
052,0.4665,0.4143,0.2904,0.3415,0.3943
053,0.4301,0.4263,0.3613,0.3911,0.4097
054,0.633,0.444,0.3658,0.4011,0.4911
055,0.566,0.3826,0.2982,0.3352,0.421
056,0.5121,0.3842,0.3257,0.3526,0.4176
057,0.4697,0.4298,0.4361,0.4329,0.4506
058,0.6709,0.4897,0.4057,0.4437,0.5342
059,0.6008,0.5532,0.4297,0.4837,0.5359
