video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.4105,0.4165,0.2166,0.285,0.3364
002,0.5227,0.5078,0.3674,0.4263,0.4696
003,0.5313,0.4209,0.3565,0.386,0.4472
004,0.3352,0.3246,0.3065,0.3153,0.3249
005,0.5134,0.4054,0.3315,0.3648,0.4265
006,0.432,0.3859,0.3327,0.3574,0.3912
007,0.3518,0.3075,0.2505,0.2761,0.3094
008,0.3577,0.3559,0.2738,0.3095,0.3319
009,0.2776,0.3005,0.1431,0.1938,0.2283
010,0.4268,0.4276,0.3136,0.3618,0.3916
011,0.3258,0.3876,0.2295,0.2883,0.3059
012,0.4115,0.3957,0.3008,0.3418,0.3734
013,0.3467,0.3576,0.231,0.2807,0.3102
014,0.4736,0.3965,0.3419,0.3672,0.4137
015,0.3564,0.3545,0.2731,0.3085,0.3307
016,0.5381,0.409,0.3167,0.357,0.4292
017,0.317,0.3191,0.2929,0.3054,0.3111
018,0.2552,0.3193,0.2433,0.2761,0.2652
019,0.577,0.507,0.481,0.4936,0.5321
020,0.5396,0.509,0.3983,0.4469,0.4889
021,0.3717,0.2864,0.2496,0.2668,0.3106
022,0.594,0.4717,0.4202,0.4445,0.5084
023,0.5748,0.4021,0.444,0.422,0.4867
024,0.4354,0.3658,0.2453,0.2937,0.3508
025,0.3433,0.3677,0.2984,0.3294,0.3362
026,0.4941,0.4189,0.3907,0.4043,0.4447
027,0.49,0.4101,0.4125,0.4113,0.4472
028,0.585,0.422,0.3362,0.3742,0.4565
029,0.6318,0.4833,0.4079,0.4424,0.5204
030,0.4505,0.4068,0.349,0.3757,0.4097
031,0.4687,0.3866,0.3524,0.3687,0.4127
032,0.4561,0.3095,0.309,0.3093,0.3686
033,0.5067,0.4345,0.3342,0.3778,0.4328
034,0.6326,0.5127,0.5019,0.5072,0.563
035,0.4447,0.4193,0.4176,0.4185,0.4312
036,0.2881,0.3367,0.2307,0.2738,0.2808
037,0.4873,0.442,0.3145,0.3675,0.419
038,0.4244,0.3876,0.3269,0.3547,0.3864
039,0.4044,0.3223,0.2995,0.3105,0.3513
040,0.4448,0.4946,0.3711,0.4241,0.4342
041,0.3637,0.281,0.2038,0.2362,0.2864
042,0.3334,0.2933,0.2282,0.2567,0.2901
043,0.2589,0.2666,0.1444,0.1873,0.2173
044,0.3721,0.3488,0.2524,0.2929,0.3277
045,0.347,0.3643,0.2501,0.2966,0.3198
046,0.5755,0.4387,0.4118,0.4249,0.4888
047,0.2567,0.2991,0.2089,0.246,0.2512
048,0.3994,0.3781,0.3057,0.3381,0.3662
049,0.3495,0.3779,0.3471,0.3619,0.3556
050,0.4938,0.448,0.3419,0.3878,0.4344
051,0.5308,0.3505,0.4127,0.3791,0.4423
052,0.2635,0.2309,0.1555,0.1858,0.2179
053,0.3553,0.3278,0.2702,0.2962,0.3231
054,0.5412,0.459,0.4482,0.4535,0.4935
055,0.4322,0.2776,0.2533,0.2649,0.3285
056,0.257,0.2595,0.155,0.1941,0.2212
057,0.267,0.276,0.1856,0.222,0.2424
058,0.4224,0.3013,0.2737,0.2868,0.3417
059,0.4536,0.4857,0.3645,0.4164,0.4342
060,0.4291,0.3619,0.3309,0.3457,0.3829
061,0.294,0.2995,0.2129,0.2489,0.2696
062,0.389,0.4788,0.3349,0.3941,0.3916
063,0.4712,0.489,0.4144,0.4486,0.4596
064,0.4234,0.3442,0.3765,0.3596,0.3889
065,0.338,0.3133,0.2229,0.2605,0.2942
066,0.4252,0.3399,0.2417,0.2825,0.3395
067,0.5191,0.4451,0.3782,0.4089,0.4575
