video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6664,0.4742,0.4088,0.4391,0.5294
002,0.6551,0.4531,0.4346,0.4437,0.529
003,0.6214,0.4268,0.4149,0.4208,0.5018
004,0.4954,0.3233,0.3166,0.3199,0.3888
005,0.5238,0.4694,0.3961,0.4296,0.4721
006,0.5055,0.3717,0.3647,0.3682,0.426
007,0.5125,0.4082,0.3886,0.3981,0.4481
008,0.5043,0.4225,0.3447,0.3796,0.4332
009,0.3904,0.3946,0.3507,0.3713,0.3806
010,0.4667,0.4853,0.3962,0.4363,0.451
011,0.5507,0.4985,0.4195,0.4556,0.4987
012,0.491,0.4,0.33,0.3616,0.4165
013,0.49,0.4216,0.3774,0.3983,0.4394
014,0.5298,0.4306,0.3229,0.3691,0.4351
015,0.4721,0.4224,0.3634,0.3907,0.4275
016,0.5138,0.4321,0.3537,0.389,0.4427
017,0.6732,0.428,0.4019,0.4145,0.5131
018,0.4282,0.3771,0.3122,0.3416,0.3801
019,0.5216,0.4923,0.3861,0.4328,0.473
020,0.5114,0.5344,0.4371,0.4808,0.4957
021,0.5752,0.3928,0.3445,0.3671,0.4482
022,0.6476,0.5089,0.4507,0.478,0.5501
023,0.6675,0.4785,0.4205,0.4476,0.5359
024,0.6439,0.4366,0.4153,0.4257,0.5125
025,0.4998,0.4267,0.4182,0.4224,0.4578
026,0.5961,0.4771,0.441,0.4584,0.5182
027,0.6055,0.3842,0.4272,0.4045,0.485
028,0.5383,0.4203,0.4455,0.4325,0.4797
029,0.5743,0.4377,0.373,0.4028,0.4735
030,0.4238,0.3636,0.3781,0.3707,0.3955
031,0.5529,0.4272,0.41,0.4184,0.4764
032,0.5784,0.383,0.3115,0.3435,0.4311
033,0.502,0.4184,0.3643,0.3895,0.4386
034,0.6157,0.3722,0.4143,0.3921,0.4791
035,0.6367,0.4635,0.4057,0.4327,0.5152
036,0.421,0.3563,0.2954,0.323,0.3656
037,0.5972,0.4429,0.4679,0.4551,0.5165
038,0.45,0.3847,0.3409,0.3615,0.4009
039,0.474,0.3263,0.3508,0.3381,0.3947
040,0.5817,0.4553,0.4103,0.4316,0.4955
041,0.452,0.4499,0.3181,0.3727,0.4085
042,0.4647,0.3718,0.3285,0.3488,0.3985
043,0.4392,0.3585,0.3132,0.3344,0.3797
044,0.4277,0.3789,0.3103,0.3412,0.3796
045,0.4435,0.425,0.3333,0.3736,0.4056
046,0.5641,0.5359,0.4396,0.483,0.5204
047,0.4964,0.3696,0.3189,0.3424,0.4052
048,0.5704,0.4591,0.4221,0.4398,0.4967
049,0.4263,0.4207,0.3844,0.4017,0.4136
050,0.4426,0.5181,0.3949,0.4482,0.4454
051,0.4955,0.4065,0.3434,0.3723,0.4251
052,0.4141,0.4236,0.3741,0.3973,0.4055
053,0.3995,0.3151,0.3126,0.3139,0.3515
054,0.576,0.4201,0.3454,0.3791,0.4573
055,0.5303,0.3402,0.3144,0.3268,0.4044
