video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6363,0.5133,0.411,0.4565,0.5316
002,0.7772,0.5216,0.5004,0.5108,0.6165
003,0.6911,0.4541,0.4411,0.4475,0.5433
004,0.684,0.508,0.4403,0.4717,0.5584
005,0.7979,0.5164,0.4612,0.4872,0.605
006,0.7059,0.5296,0.4315,0.4756,0.5683
007,0.6932,0.4967,0.4569,0.476,0.5644
008,0.5617,0.4492,0.3902,0.4177,0.4791
009,0.5999,0.455,0.3883,0.419,0.4934
010,0.7232,0.5525,0.4841,0.5161,0.6023
011,0.6467,0.5113,0.4286,0.4663,0.5419
012,0.8221,0.4792,0.4139,0.4441,0.5767
013,0.6619,0.495,0.4139,0.4508,0.5363
014,0.6447,0.5293,0.4562,0.4901,0.5568
015,0.7083,0.5434,0.4622,0.4995,0.5859
016,0.6113,0.4209,0.3985,0.4094,0.4904
017,0.8132,0.4582,0.4251,0.441,0.5719
018,0.3558,0.0,0.0,0.0,0.0
019,0.4298,0.0,0.0,0.0,0.0
020,0.7119,0.5521,0.4704,0.508,0.5929
021,0.6848,0.443,0.4473,0.4451,0.5395
022,0.7673,0.5715,0.5419,0.5563,0.645
023,0.7853,0.5327,0.5269,0.5298,0.6327
024,0.7655,0.5192,0.4698,0.4933,0.5999
025,0.6229,0.4253,0.4451,0.435,0.5123
026,0.6355,0.5085,0.4649,0.4857,0.5506
027,0.7067,0.4824,0.4934,0.4878,0.5772
028,0.7465,0.3811,0.4549,0.4148,0.5332
029,0.711,0.499,0.4558,0.4764,0.5705
030,0.7871,0.4876,0.4448,0.4652,0.5848
031,0.7834,0.5385,0.5017,0.5194,0.6247
032,0.6168,0.4686,0.3861,0.4234,0.5021
033,0.7429,0.4544,0.4555,0.455,0.5643
034,0.6702,0.494,0.456,0.4742,0.5554
035,0.4339,0.6064,0.5001,0.5482,0.4844
036,0.6289,0.4016,0.4076,0.4046,0.4924
037,0.6515,0.5169,0.4632,0.4886,0.5584
038,0.724,0.5376,0.5415,0.5395,0.6183
039,0.7636,0.4847,0.5018,0.4931,0.5992
040,0.5631,0.4787,0.4465,0.462,0.5076
041,0.578,0.4715,0.4939,0.4824,0.5259
042,0.3884,0.5231,0.4334,0.474,0.427
043,0.5393,0.4413,0.3171,0.369,0.4382
044,0.6555,0.4261,0.4078,0.4168,0.5096
045,0.7002,0.5038,0.5098,0.5068,0.588
046,0.741,0.5372,0.5411,0.5391,0.6241
047,0.5952,0.4191,0.4361,0.4274,0.4976
048,0.6454,0.4323,0.4935,0.4609,0.5378
049,0.5638,0.4729,0.5505,0.5088,0.5349
050,0.7535,0.5543,0.5145,0.5337,0.6248
051,0.5566,0.4707,0.4217,0.4449,0.4945
052,0.5209,0.4561,0.3787,0.4138,0.4612
053,0.6696,0.4867,0.4942,0.4904,0.5662
054,0.748,0.486,0.517,0.501,0.6001
