video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6753,0.545,0.4337,0.483,0.5632
002,0.6618,0.5135,0.3978,0.4483,0.5346
003,0.499,0.3906,0.3352,0.3608,0.4188
004,0.64,0.4476,0.4408,0.4442,0.5244
005,0.5545,0.4794,0.313,0.3787,0.4501
006,0.5877,0.4302,0.3211,0.3677,0.4524
007,0.6118,0.5507,0.3697,0.4424,0.5135
008,0.5595,0.4562,0.3745,0.4113,0.4741
009,0.4571,0.416,0.3813,0.3979,0.4254
010,0.6323,0.4887,0.4428,0.4646,0.5356
011,0.6899,0.5586,0.4051,0.4697,0.5588
012,0.4048,0.3262,0.2395,0.2762,0.3284
013,0.6048,0.4405,0.3319,0.3786,0.4656
014,0.5193,0.5032,0.4226,0.4594,0.4875
015,0.7586,0.5237,0.441,0.4788,0.5871
016,0.6836,0.5562,0.4331,0.487,0.5688
017,0.7383,0.4846,0.3576,0.4115,0.5285
018,0.6093,0.4719,0.401,0.4336,0.5066
019,0.6976,0.5031,0.4238,0.4601,0.5545
020,0.741,0.5758,0.4841,0.526,0.6152
021,0.6675,0.4386,0.3697,0.4012,0.5012
022,0.712,0.623,0.4877,0.5471,0.6188
023,0.8182,0.5051,0.5168,0.5109,0.629
024,0.6882,0.4354,0.3579,0.3929,0.5002
025,0.6812,0.4933,0.4612,0.4767,0.5609
026,0.54,0.4636,0.505,0.4834,0.5102
027,0.6302,0.5038,0.4653,0.4838,0.5474
028,0.5889,0.4396,0.3683,0.4008,0.477
029,0.6537,0.4664,0.429,0.4469,0.5309
030,0.6786,0.4992,0.4105,0.4505,0.5415
031,0.57,0.5985,0.5499,0.5732,0.5716
032,0.368,0.368,0.4453,0.403,0.3847
033,0.4133,0.4758,0.385,0.4256,0.4194
034,0.5375,0.3981,0.3907,0.3944,0.4549
035,0.704,0.6077,0.5236,0.5625,0.6254
036,0.3476,0.3645,0.366,0.3653,0.3562
037,0.6877,0.4786,0.4632,0.4708,0.5589
038,0.6762,0.4684,0.4449,0.4564,0.5449
039,0.3801,0.5756,0.5375,0.5559,0.4515
040,0.4719,0.448,0.4221,0.4346,0.4525
041,0.4986,0.4321,0.3712,0.3993,0.4435
042,0.5737,0.5032,0.3849,0.4362,0.4956
043,0.6528,0.4919,0.3775,0.4272,0.5164
044,0.6018,0.4178,0.3831,0.3997,0.4804
045,0.4707,0.518,0.4508,0.4821,0.4763
046,0.6484,0.514,0.4144,0.4589,0.5374
047,0.4421,0.4103,0.2892,0.3393,0.3839
048,0.293,0.4889,0.4839,0.4864,0.3657
049,0.6192,0.4938,0.4738,0.4836,0.5431
050,0.4946,0.4357,0.4205,0.428,0.4589
051,0.4497,0.6087,0.5259,0.5643,0.5005
052,0.6439,0.4707,0.454,0.4622,0.5381
053,0.6835,0.5275,0.4309,0.4743,0.56
054,0.6564,0.4188,0.3538,0.3835,0.4842
055,0.5628,0.3682,0.3407,0.3539,0.4346
056,0.616,0.4804,0.3594,0.4112,0.4932
057,0.5646,0.3895,0.414,0.4014,0.4692
058,0.6692,0.3433,0.3411,0.3422,0.4528
059,0.3032,0.3428,0.4044,0.3711,0.3337
060,0.2872,0.5669,0.4464,0.4995,0.3647
061,0.4744,0.413,0.3756,0.3934,0.4301
062,0.292,0.4878,0.4335,0.4591,0.3569
063,0.5495,0.4827,0.3817,0.4263,0.4801
064,0.5594,0.4317,0.2877,0.3453,0.427
065,0.3305,0.4986,0.4125,0.4515,0.3816
066,0.4383,0.3306,0.3173,0.3238,0.3725
067,0.6678,0.5473,0.475,0.5086,0.5774
068,0.7402,0.5309,0.4644,0.4954,0.5936
069,0.7163,0.6533,0.4292,0.5181,0.6013
070,0.3243,0.6409,0.5272,0.5785,0.4156
071,0.6846,0.5178,0.4125,0.4592,0.5497
072,0.4588,0.6163,0.5129,0.5599,0.5043
073,0.7463,0.4823,0.4524,0.4668,0.5744
074,0.1824,0.2159,0.342,0.2647,0.216
075,0.7514,0.4019,0.439,0.4196,0.5385
076,0.2661,0.4735,0.4244,0.4476,0.3338
077,0.5289,0.5251,0.4774,0.5001,0.5141
078,0.429,0.4752,0.4993,0.4869,0.4561
079,0.6179,0.5652,0.3835,0.4569,0.5254
080,0.695,0.5064,0.4164,0.457,0.5514
081,0.5209,0.4653,0.3871,0.4226,0.4666
082,0.6861,0.4839,0.4551,0.4691,0.5572
083,0.723,0.5365,0.4844,0.5091,0.5975
084,0.5878,0.4191,0.4279,0.4234,0.4923
085,0.5475,0.4125,0.3551,0.3817,0.4498
086,0.2817,0.4098,0.3306,0.366,0.3183
087,0.4185,0.3602,0.3893,0.3742,0.3951
088,0.6719,0.5509,0.4635,0.5034,0.5756
089,0.294,0.3647,0.3891,0.3765,0.3302
090,0.5043,0.4218,0.3723,0.3955,0.4433
091,0.6193,0.5102,0.4006,0.4488,0.5205
092,0.7694,0.4875,0.4872,0.4873,0.5967
093,0.3569,0.4986,0.4299,0.4617,0.4026
094,0.6089,0.4728,0.3633,0.4109,0.4906
095,0.2542,0.6457,0.4788,0.5498,0.3477
096,0.7619,0.4634,0.4538,0.4586,0.5726
097,0.5568,0.4113,0.3852,0.3978,0.4641
098,0.7271,0.4285,0.4328,0.4306,0.5409
099,0.633,0.4229,0.3498,0.3829,0.4771
100,0.6434,0.4231,0.369,0.3942,0.4889
101,0.5579,0.3026,0.3248,0.3133,0.4013
102,0.3133,0.3889,0.4332,0.4099,0.3551
103,0.6632,0.4954,0.3526,0.412,0.5082
104,0.7467,0.4255,0.4444,0.4347,0.5495
105,0.6175,0.3977,0.4487,0.4217,0.5012
106,0.6498,0.5116,0.4466,0.4769,0.5501
107,0.7999,0.5905,0.5834,0.5869,0.677
108,0.702,0.4569,0.4872,0.4716,0.5642
109,0.7516,0.4217,0.4719,0.4454,0.5593
110,0.7136,0.3869,0.4453,0.414,0.524
111,0.6928,0.4635,0.4336,0.4481,0.5442
112,0.7253,0.4338,0.481,0.4562,0.5601
113,0.4992,0.3641,0.3726,0.3683,0.4238
114,0.573,0.4351,0.4151,0.4248,0.4879
115,0.3944,0.6801,0.5694,0.6198,0.4821
116,0.7018,0.4478,0.4491,0.4484,0.5472
117,0.5701,0.3358,0.3548,0.3451,0.4299
118,0.6462,0.4219,0.4969,0.4563,0.5349
119,0.7517,0.4305,0.4388,0.4346,0.5507
120,0.736,0.4088,0.4707,0.4376,0.5488
121,0.5739,0.429,0.3796,0.4028,0.4734
122,0.6491,0.4038,0.3423,0.3706,0.4718
123,0.7321,0.5072,0.4924,0.4997,0.594
124,0.6005,0.3821,0.3461,0.3632,0.4526
125,0.5543,0.3631,0.3014,0.3294,0.4132
127,0.7697,0.3866,0.4284,0.4064,0.532
128,0.2225,0.5141,0.5464,0.5297,0.3134
129,0.6704,0.3884,0.4337,0.4098,0.5087
130,0.31,0.4743,0.4324,0.4524,0.3679
131,0.5962,0.4445,0.414,0.4287,0.4988
132,0.5742,0.3686,0.3231,0.3444,0.4305
133,0.7522,0.4453,0.4293,0.4371,0.5529
134,0.7077,0.4494,0.4965,0.4718,0.5661
135,0.3753,0.2973,0.2528,0.2733,0.3162
136,0.6866,0.4375,0.4136,0.4252,0.5252
137,0.6679,0.4713,0.4585,0.4648,0.5482
138,0.5694,0.4062,0.3713,0.388,0.4615
139,0.7026,0.6025,0.5367,0.5677,0.628
140,0.6261,0.479,0.3833,0.4258,0.5069
141,0.7296,0.5006,0.4962,0.4984,0.5922
142,0.7219,0.4252,0.4162,0.4207,0.5316
143,0.681,0.4432,0.4437,0.4434,0.5371
144,0.6114,0.3583,0.318,0.337,0.4345
145,0.563,0.4047,0.4059,0.4053,0.4713
146,0.5465,0.3514,0.3964,0.3725,0.443
147,0.6436,0.3536,0.3383,0.3457,0.4498
148,0.5961,0.3898,0.3978,0.3937,0.4742
149,0.6582,0.4756,0.3973,0.433,0.5223
150,0.7094,0.4991,0.437,0.466,0.5625
151,0.7561,0.5458,0.4587,0.4985,0.6008
152,0.6692,0.4734,0.459,0.4661,0.5495
153,0.6819,0.5106,0.5387,0.5243,0.5928
154,0.6461,0.3604,0.3211,0.3396,0.4452
155,0.6216,0.4559,0.4079,0.4306,0.5088
156,0.4282,0.3386,0.1899,0.2433,0.3103
157,0.6701,0.5396,0.4974,0.5176,0.5841
158,0.5825,0.4366,0.4338,0.4352,0.4982
159,0.6655,0.4889,0.4311,0.4581,0.5427
160,0.6918,0.4582,0.45,0.4541,0.5483
161,0.6626,0.3575,0.4022,0.3785,0.4818
162,0.4747,0.4489,0.3954,0.4205,0.446
163,0.6154,0.3496,0.5147,0.4164,0.4967
164,0.7562,0.382,0.4067,0.394,0.5181
165,0.5615,0.3955,0.3802,0.3877,0.4587
166,0.2754,0.4883,0.3742,0.4237,0.3338
167,0.6171,0.4842,0.4164,0.4477,0.5189
168,0.6871,0.4419,0.4248,0.4332,0.5314
169,0.6935,0.4609,0.4814,0.4709,0.5609
170,0.7346,0.4574,0.4353,0.4461,0.5551
171,0.8259,0.5049,0.5181,0.5114,0.6317
172,0.7168,0.439,0.3563,0.3934,0.508
173,0.7246,0.4288,0.4115,0.42,0.5317
174,0.6913,0.4487,0.5439,0.4918,0.5747
175,0.6624,0.4622,0.4696,0.4659,0.547
176,0.7447,0.5268,0.5799,0.5521,0.6341
177,0.3286,0.4082,0.4433,0.425,0.3707
178,0.5846,0.4368,0.4601,0.4482,0.5074
179,0.7208,0.4998,0.4868,0.4932,0.5857
180,0.692,0.4031,0.4663,0.4324,0.5322
181,0.7539,0.474,0.4617,0.4678,0.5773
182,0.5279,0.4302,0.3365,0.3776,0.4403
183,0.7346,0.4525,0.4892,0.4702,0.5734
184,0.5449,0.3393,0.3819,0.3594,0.4331
185,0.6363,0.329,0.3466,0.3376,0.4412
186,0.6574,0.4218,0.433,0.4273,0.518
187,0.6993,0.5763,0.6864,0.6265,0.6609
188,0.5693,0.4335,0.3998,0.416,0.4807
189,0.8018,0.49,0.568,0.5262,0.6354
190,0.7239,0.4992,0.4991,0.4992,0.5909
191,0.6604,0.4991,0.4937,0.4964,0.5668
192,0.6638,0.4944,0.5086,0.5014,0.5713
193,0.6761,0.4634,0.533,0.4958,0.5721
194,0.6733,0.3789,0.3914,0.3851,0.4899
195,0.7339,0.5101,0.5118,0.5109,0.6024
196,0.6605,0.4136,0.4906,0.4488,0.5345
197,0.6518,0.44,0.5335,0.4823,0.5544
198,0.6233,0.423,0.4325,0.4277,0.5073
199,0.7739,0.4414,0.4847,0.462,0.5786
200,0.6998,0.546,0.5601,0.5529,0.6178
