video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5455,0.6433,0.6396,0.6414,0.5896
002,0.6025,0.6973,0.589,0.6385,0.62
003,0.5071,0.6472,0.5988,0.6221,0.5587
004,0.492,0.6664,0.629,0.6472,0.559
005,0.3822,0.6399,0.5642,0.5996,0.4668
006,0.5079,0.6784,0.6087,0.6417,0.567
007,0.6232,0.6466,0.5809,0.612,0.6175
008,0.5046,0.6625,0.616,0.6384,0.5637
009,0.5465,0.6375,0.5978,0.617,0.5796
010,0.703,0.7034,0.6802,0.6916,0.6972
011,0.4829,0.6567,0.6061,0.6304,0.5468
012,0.517,0.6307,0.5881,0.6087,0.5591
013,0.5083,0.689,0.5703,0.6241,0.5603
014,0.4954,0.6668,0.5792,0.6199,0.5507
015,0.4421,0.6204,0.5736,0.5961,0.5077
016,0.5502,0.6959,0.6121,0.6513,0.5965
017,0.4835,0.6586,0.5704,0.6113,0.54
018,0.5525,0.6899,0.6103,0.6477,0.5963
019,0.5759,0.6467,0.6052,0.6252,0.5996
020,0.6454,0.6642,0.6265,0.6448,0.6451
021,0.4423,0.6036,0.5934,0.5984,0.5086
022,0.4198,0.6157,0.5772,0.5958,0.4926
023,0.6818,0.7296,0.6675,0.6972,0.6894
024,0.667,0.6624,0.6175,0.6392,0.6528
025,0.6241,0.6822,0.6385,0.6597,0.6414
026,0.5846,0.7091,0.6478,0.6771,0.6274
027,0.4602,0.6127,0.5895,0.6009,0.5212
028,0.5308,0.5926,0.5862,0.5894,0.5585
029,0.5698,0.6333,0.6196,0.6264,0.5967
030,0.4759,0.6365,0.5757,0.6046,0.5326
031,0.4305,0.6183,0.5766,0.5967,0.5002
032,0.5642,0.6328,0.6188,0.6257,0.5934
033,0.6094,0.6285,0.5919,0.6096,0.6095
034,0.6159,0.661,0.6568,0.6589,0.6366
035,0.4889,0.6532,0.6395,0.6463,0.5567
036,0.3826,0.5793,0.552,0.5653,0.4563
037,0.4506,0.7066,0.5895,0.6428,0.5298
038,0.5955,0.671,0.6253,0.6473,0.6204
039,0.6607,0.7175,0.6818,0.6992,0.6794
040,0.5424,0.6598,0.6402,0.6499,0.5913
041,0.5421,0.6518,0.6076,0.6289,0.5823
042,0.5263,0.6321,0.572,0.6005,0.561
043,0.3765,0.6456,0.5943,0.6189,0.4682
044,0.5087,0.6033,0.5931,0.5982,0.5498
045,0.6128,0.6898,0.633,0.6601,0.6356
046,0.504,0.661,0.5963,0.627,0.5588
047,0.62,0.663,0.6393,0.6509,0.6351
048,0.5149,0.5899,0.6131,0.6013,0.5548
049,0.5299,0.6064,0.597,0.6016,0.5635
050,0.618,0.6991,0.6125,0.6529,0.635
051,0.6144,0.6493,0.6292,0.6391,0.6265
052,0.6173,0.6573,0.602,0.6284,0.6228
053,0.3738,0.6452,0.5988,0.6211,0.4667
054,0.6092,0.6903,0.5924,0.6376,0.6231
055,0.5838,0.6566,0.5978,0.6258,0.6041
056,0.5416,0.6192,0.5658,0.5913,0.5654
057,0.453,0.6,0.6461,0.6222,0.5243
058,0.4758,0.6014,0.5532,0.5763,0.5213
059,0.3429,0.5884,0.526,0.5554,0.4241
060,0.484,0.6548,0.6098,0.6315,0.548
061,0.5017,0.6084,0.5703,0.5887,0.5418
062,0.4942,0.6323,0.5764,0.6031,0.5432
063,0.6102,0.7169,0.677,0.6964,0.6504
064,0.6392,0.7251,0.6434,0.6818,0.6598
065,0.514,0.6778,0.5825,0.6265,0.5647
066,0.563,0.6805,0.5892,0.6315,0.5953
067,0.6346,0.6795,0.6514,0.6652,0.6495
068,0.6945,0.7414,0.6621,0.6995,0.697
069,0.5163,0.7002,0.6066,0.65,0.5755
070,0.804,0.7397,0.7253,0.7325,0.7666
071,0.5644,0.6839,0.6028,0.6408,0.6002
072,0.6008,0.7259,0.6365,0.6783,0.6372
073,0.6375,0.6692,0.6545,0.6618,0.6494
074,0.6138,0.6844,0.6206,0.651,0.6318
075,0.4798,0.6005,0.5668,0.5831,0.5265
076,0.4763,0.6731,0.562,0.6126,0.5359
077,0.5705,0.6944,0.5975,0.6423,0.6043
078,0.6137,0.6727,0.6165,0.6434,0.6282
079,0.4881,0.6255,0.5638,0.5931,0.5355
080,0.4537,0.6056,0.5819,0.5935,0.5143
081,0.5619,0.6011,0.5816,0.5912,0.5762
082,0.4016,0.604,0.5806,0.5921,0.4786
083,0.5976,0.6264,0.6611,0.6433,0.6196
084,0.6437,0.6167,0.6141,0.6154,0.6292
085,0.4823,0.6283,0.6189,0.6236,0.5439
086,0.4832,0.6148,0.579,0.5963,0.5338
087,0.4974,0.6324,0.6462,0.6393,0.5595
088,0.5412,0.6401,0.5999,0.6193,0.5776
089,0.6972,0.6659,0.6425,0.654,0.6749
090,0.3387,0.5417,0.509,0.5248,0.4117
091,0.5012,0.6234,0.5967,0.6098,0.5502
092,0.5958,0.6111,0.6437,0.627,0.611
093,0.4591,0.5955,0.5667,0.5808,0.5128
094,0.5371,0.6241,0.6005,0.6121,0.5721
095,0.6623,0.6607,0.6284,0.6442,0.6531
096,0.4202,0.6278,0.5577,0.5907,0.4911
097,0.6078,0.5826,0.6421,0.6109,0.6093
098,0.4336,0.5884,0.5781,0.5832,0.4974
099,0.7237,0.7132,0.7067,0.71,0.7168
100,0.678,0.6721,0.5789,0.622,0.6488
101,0.4794,0.5892,0.5534,0.5707,0.5211
102,0.622,0.6335,0.6241,0.6287,0.6253
103,0.6428,0.6858,0.6788,0.6823,0.662
104,0.6079,0.6348,0.6188,0.6267,0.6172
105,0.6434,0.6588,0.5989,0.6274,0.6353
106,0.6128,0.6164,0.6244,0.6204,0.6166
107,0.6241,0.6349,0.6324,0.6337,0.6288
108,0.4821,0.6086,0.5788,0.5933,0.532
109,0.6988,0.6866,0.672,0.6792,0.6888
110,0.6218,0.6685,0.624,0.6455,0.6334
111,0.6762,0.654,0.635,0.6444,0.6599
112,0.5829,0.6943,0.6709,0.6824,0.6287
113,0.5854,0.5872,0.6052,0.5961,0.5907
114,0.4123,0.5526,0.5678,0.5601,0.4749
115,0.7263,0.7121,0.716,0.7141,0.7201
116,0.652,0.6887,0.6369,0.6618,0.6569
117,0.4589,0.5412,0.5611,0.551,0.5007
