video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5876,0.7097,0.6671,0.6878,0.6338
002,0.6242,0.6728,0.5997,0.6341,0.6291
003,0.6429,0.71,0.6534,0.6805,0.6612
004,0.6203,0.7516,0.6715,0.7093,0.6618
005,0.6013,0.6662,0.6164,0.6403,0.6202
006,0.5718,0.6895,0.5963,0.6395,0.6037
007,0.6577,0.7113,0.6243,0.665,0.6613
008,0.5977,0.6838,0.6492,0.666,0.63
009,0.5973,0.682,0.6006,0.6387,0.6173
010,0.7089,0.7639,0.669,0.7133,0.7111
011,0.5551,0.7031,0.6187,0.6582,0.6023
012,0.635,0.7131,0.6512,0.6807,0.6571
013,0.6997,0.7293,0.6432,0.6836,0.6915
014,0.6262,0.6822,0.6201,0.6496,0.6377
015,0.6825,0.6887,0.6443,0.6657,0.674
016,0.5815,0.6514,0.593,0.6208,0.6005
017,0.6346,0.6689,0.6126,0.6395,0.6371
018,0.6786,0.7277,0.5874,0.65,0.664
019,0.6323,0.7135,0.6588,0.6851,0.6576
020,0.7487,0.7567,0.6592,0.7046,0.726
021,0.6188,0.6639,0.5822,0.6204,0.6196
022,0.5962,0.6688,0.634,0.651,0.6224
023,0.7153,0.732,0.6561,0.692,0.7035
024,0.7784,0.726,0.6705,0.6971,0.7355
025,0.7099,0.7647,0.6933,0.7272,0.7185
026,0.6607,0.6768,0.6639,0.6703,0.6655
027,0.6193,0.6335,0.5943,0.6133,0.6163
028,0.6883,0.6772,0.6428,0.6596,0.6736
029,0.6313,0.6794,0.644,0.6612,0.6459
030,0.6929,0.7134,0.6364,0.6727,0.6826
031,0.5921,0.6659,0.6149,0.6393,0.6148
032,0.7621,0.6631,0.6316,0.647,0.6998
033,0.6728,0.7131,0.63,0.669,0.6709
034,0.6562,0.6321,0.6612,0.6463,0.6512
035,0.8213,0.7568,0.656,0.7028,0.7574
036,0.5533,0.6428,0.5963,0.6187,0.5841
037,0.6448,0.7325,0.6461,0.6866,0.665
038,0.6448,0.6885,0.6182,0.6514,0.6481
