video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6034,0.7004,0.6533,0.676,0.6377
002,0.7292,0.7159,0.6741,0.6944,0.7113
003,0.7313,0.7037,0.6554,0.6787,0.704
004,0.6912,0.7564,0.6652,0.7079,0.6994
005,0.675,0.6605,0.6183,0.6387,0.6564
006,0.7179,0.7296,0.7009,0.715,0.7164
007,0.7172,0.6961,0.6357,0.6645,0.6899
008,0.5456,0.6677,0.6143,0.6399,0.589
009,0.6179,0.7033,0.6553,0.6785,0.6468
010,0.7408,0.7389,0.6648,0.6999,0.7198
011,0.6935,0.7416,0.6493,0.6924,0.6929
012,0.6293,0.6786,0.6378,0.6576,0.6431
013,0.7329,0.6905,0.6546,0.6721,0.7012
014,0.7965,0.815,0.6572,0.7276,0.7605
015,0.7456,0.7601,0.6715,0.7131,0.729
016,0.6155,0.6636,0.6071,0.6341,0.6247
017,0.7618,0.6931,0.6356,0.6631,0.709
018,0.7026,0.6928,0.6432,0.6671,0.6844
019,0.7763,0.732,0.6713,0.7004,0.7364
020,0.7707,0.7375,0.6405,0.6856,0.7257
021,0.717,0.7022,0.6682,0.6848,0.7005
022,0.7303,0.7203,0.6977,0.7088,0.7194
023,0.6615,0.748,0.6873,0.7164,0.6879
024,0.7832,0.6913,0.6953,0.6933,0.7355
025,0.7125,0.6933,0.647,0.6693,0.6903
026,0.6657,0.7285,0.6656,0.6956,0.6803
027,0.6068,0.6248,0.6162,0.6205,0.6136
028,0.7628,0.7472,0.6848,0.7146,0.7379
029,0.724,0.716,0.673,0.6938,0.7086
030,0.7389,0.6395,0.6468,0.6431,0.6877
031,0.7143,0.6935,0.691,0.6923,0.7031
032,0.6856,0.6748,0.6464,0.6603,0.6727
033,0.625,0.6981,0.6574,0.6771,0.65
034,0.6674,0.6588,0.7015,0.6795,0.6734
035,0.7564,0.7355,0.6563,0.6936,0.7236
036,0.6103,0.6399,0.5892,0.6135,0.6119
037,0.7463,0.7547,0.6907,0.7213,0.7336
038,0.7363,0.7193,0.6693,0.6934,0.7142
039,0.6804,0.7529,0.7212,0.7367,0.7074
040,0.6997,0.7539,0.639,0.6917,0.6957
041,0.6592,0.7287,0.6575,0.6913,0.6749
042,0.5762,0.7495,0.6413,0.6912,0.6285
043,0.6527,0.6891,0.6081,0.6461,0.6494
044,0.7382,0.717,0.6677,0.6915,0.7141
045,0.7767,0.7013,0.6492,0.6742,0.7219
046,0.712,0.7316,0.6937,0.7121,0.7121
047,0.7414,0.7178,0.6733,0.6948,0.7173
048,0.653,0.7094,0.689,0.699,0.6752
049,0.7539,0.7566,0.7339,0.7451,0.7495
050,0.712,0.7498,0.6487,0.6956,0.7037
051,0.6908,0.6679,0.6339,0.6504,0.67
052,0.7556,0.733,0.6887,0.7102,0.7322
053,0.6248,0.7157,0.6683,0.6912,0.6563
054,0.7137,0.6898,0.7355,0.7119,0.7128
055,0.6081,0.6084,0.5842,0.596,0.602
056,0.7444,0.658,0.6166,0.6366,0.6863
057,0.77,0.7156,0.6851,0.7,0.7333
058,0.6391,0.6539,0.6372,0.6454,0.6423
059,0.6063,0.7005,0.622,0.6589,0.6315
060,0.7436,0.7234,0.7057,0.7144,0.7287
061,0.7101,0.7071,0.6804,0.6935,0.7017
062,0.6677,0.6657,0.6152,0.6394,0.6533
063,0.7352,0.7285,0.6717,0.699,0.7166
064,0.7026,0.7369,0.6581,0.6952,0.6989
065,0.5958,0.6305,0.6176,0.624,0.6096
066,0.5636,0.6353,0.6414,0.6383,0.5986
067,0.6896,0.72,0.6486,0.6824,0.686
068,0.7942,0.7124,0.693,0.7026,0.7456
