video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6608,0.6943,0.6543,0.6737,0.6672
002,0.8163,0.7241,0.7062,0.715,0.7623
003,0.7317,0.6839,0.6616,0.6725,0.7009
004,0.6627,0.741,0.6912,0.7153,0.688
005,0.7734,0.7186,0.6847,0.7012,0.7356
006,0.7319,0.7323,0.6768,0.7035,0.7174
007,0.7429,0.7107,0.6724,0.691,0.716
008,0.5736,0.6743,0.6434,0.6585,0.6131
009,0.644,0.694,0.6567,0.6748,0.659
010,0.7878,0.7161,0.6871,0.7013,0.742
011,0.6361,0.7114,0.6762,0.6934,0.6635
012,0.7029,0.7093,0.6758,0.6921,0.6975
013,0.6301,0.7081,0.6591,0.6827,0.6554
014,0.7505,0.7312,0.6807,0.7051,0.7271
015,0.7525,0.7224,0.665,0.6925,0.7213
016,0.672,0.6459,0.6497,0.6478,0.6597
017,0.7364,0.6842,0.644,0.6635,0.698
018,0.7701,0.7247,0.6231,0.6701,0.7166
019,0.7286,0.7019,0.7356,0.7184,0.7234
020,0.7908,0.7132,0.6666,0.6891,0.7364
021,0.669,0.6819,0.6787,0.6803,0.6746
022,0.7509,0.7411,0.7107,0.7255,0.738
023,0.7238,0.7403,0.7328,0.7366,0.7301
024,0.7889,0.7234,0.6827,0.7025,0.7432
025,0.7255,0.6725,0.689,0.6807,0.7024
026,0.6731,0.7009,0.6771,0.6888,0.6809
027,0.5909,0.6839,0.6811,0.6825,0.6334
028,0.7622,0.65,0.6781,0.6638,0.7096
029,0.733,0.7231,0.6934,0.7079,0.7203
030,0.7603,0.6732,0.6536,0.6633,0.7085
031,0.717,0.7,0.676,0.6878,0.7021
032,0.722,0.6975,0.658,0.6772,0.6988
033,0.7355,0.6797,0.6646,0.6721,0.7024
034,0.7106,0.7214,0.6769,0.6984,0.7044
035,0.8298,0.7815,0.6923,0.7342,0.7791
036,0.6563,0.645,0.6526,0.6488,0.6525
037,0.71,0.6943,0.6726,0.6833,0.6964
038,0.8004,0.7316,0.6927,0.7116,0.7534
039,0.7353,0.7082,0.7272,0.7176,0.7263
040,0.6765,0.6889,0.665,0.6767,0.6766
041,0.7582,0.7114,0.7234,0.7173,0.7372
042,0.755,0.7171,0.6612,0.688,0.7199
043,0.6281,0.6597,0.5816,0.6182,0.6231
044,0.6661,0.6864,0.6674,0.6768,0.6714
045,0.7555,0.7149,0.6988,0.7068,0.7303
046,0.5877,0.7281,0.7352,0.7316,0.6518
047,0.6721,0.6788,0.6816,0.6802,0.6761
048,0.7332,0.678,0.7152,0.6961,0.7142
049,0.6927,0.704,0.7444,0.7236,0.7078
050,0.7883,0.7521,0.713,0.732,0.7591
051,0.6927,0.6719,0.6672,0.6696,0.6809
052,0.7218,0.6834,0.6258,0.6534,0.6859
053,0.6753,0.7053,0.7225,0.7138,0.694
054,0.7639,0.7194,0.7302,0.7248,0.7438
055,0.7159,0.6518,0.6669,0.6593,0.6865
056,0.6719,0.6919,0.6385,0.6641,0.668
057,0.7459,0.7207,0.7186,0.7196,0.7325
058,0.7256,0.6263,0.6355,0.6309,0.6749
059,0.6686,0.6898,0.6751,0.6824,0.6754
060,0.7986,0.7204,0.7257,0.7231,0.759
061,0.7139,0.7052,0.6853,0.6951,0.7044
062,0.7216,0.6727,0.6525,0.6625,0.6908
063,0.6377,0.6774,0.6324,0.6541,0.6458
064,0.7713,0.7035,0.6396,0.67,0.7171
065,0.6844,0.6762,0.6369,0.6559,0.6699
066,0.6029,0.6343,0.6016,0.6175,0.6101
067,0.6972,0.7292,0.705,0.7169,0.7069
068,0.848,0.7674,0.708,0.7365,0.7883
069,0.7575,0.727,0.674,0.6995,0.7274
070,0.7998,0.7642,0.7308,0.7471,0.7726
071,0.7536,0.7061,0.6915,0.6987,0.7251
072,0.6764,0.7437,0.7056,0.7242,0.6995
073,0.7697,0.7181,0.7503,0.7339,0.7514
074,0.6393,0.6911,0.6377,0.6634,0.6511
075,0.6625,0.6485,0.6193,0.6335,0.6477
076,0.7284,0.6916,0.6929,0.6922,0.7098
077,0.7997,0.7803,0.6546,0.7119,0.7533
078,0.8243,0.7499,0.6808,0.7136,0.765
079,0.7357,0.6681,0.6572,0.6626,0.6972
080,0.834,0.7044,0.7213,0.7128,0.7686
081,0.6484,0.7014,0.652,0.6758,0.6618
082,0.6525,0.6815,0.673,0.6773,0.6646
083,0.7097,0.7076,0.692,0.6997,0.7047
084,0.7673,0.7406,0.7024,0.721,0.7434
085,0.7175,0.7104,0.6536,0.6809,0.6987
086,0.6531,0.621,0.6177,0.6193,0.6358
087,0.6407,0.7074,0.7101,0.7088,0.673
088,0.726,0.672,0.6766,0.6743,0.6992
089,0.718,0.6924,0.6954,0.6939,0.7058
090,0.6908,0.6565,0.6568,0.6567,0.6733
091,0.7533,0.7303,0.7006,0.7152,0.7338
092,0.7627,0.7103,0.7049,0.7076,0.7341
093,0.7669,0.6748,0.7092,0.6916,0.7273
094,0.7008,0.6655,0.668,0.6667,0.6834
095,0.7581,0.6703,0.6971,0.6834,0.7188
096,0.7165,0.6658,0.6613,0.6635,0.689
097,0.6853,0.7045,0.6871,0.6957,0.6905
098,0.7044,0.6362,0.6657,0.6506,0.6764
099,0.7225,0.7378,0.7141,0.7257,0.7241
100,0.7361,0.6965,0.6741,0.6851,0.7097
101,0.5859,0.6729,0.6569,0.6648,0.6228
102,0.7251,0.6756,0.7048,0.6899,0.7071
103,0.805,0.7306,0.7545,0.7424,0.7724
104,0.7482,0.6856,0.6825,0.684,0.7147
105,0.6246,0.6145,0.675,0.6433,0.6338
106,0.6502,0.6981,0.699,0.6986,0.6735
107,0.7479,0.7943,0.7146,0.7523,0.7501
108,0.7089,0.67,0.6586,0.6643,0.6859
109,0.7389,0.6487,0.6842,0.6659,0.7005
110,0.7732,0.6774,0.6928,0.685,0.7264
111,0.6713,0.6548,0.6766,0.6655,0.6684
112,0.723,0.6942,0.7103,0.7022,0.7124
113,0.7592,0.7028,0.6788,0.6906,0.7233
114,0.5712,0.6122,0.632,0.6219,0.5955
115,0.7723,0.7245,0.7483,0.7362,0.7538
116,0.7879,0.7217,0.7185,0.7201,0.7525
117,0.6638,0.6565,0.6868,0.6713,0.6675
118,0.5118,0.6641,0.6916,0.6776,0.5831
119,0.7226,0.6823,0.6909,0.6866,0.7041
120,0.647,0.6587,0.6826,0.6705,0.6585
121,0.651,0.6636,0.6563,0.6599,0.6554
122,0.6611,0.6742,0.6424,0.6579,0.6595
123,0.7558,0.6913,0.731,0.7106,0.7325
124,0.6635,0.6492,0.6793,0.6639,0.6637
125,0.6914,0.7005,0.6932,0.6968,0.6941
127,0.7161,0.687,0.6432,0.6644,0.6893
128,0.7634,0.7155,0.7092,0.7123,0.737
129,0.7356,0.7246,0.7222,0.7234,0.7295
130,0.6896,0.7067,0.7257,0.7161,0.7026
131,0.6242,0.6482,0.5945,0.6202,0.6222
132,0.6758,0.7096,0.716,0.7128,0.6938
133,0.6949,0.6852,0.5877,0.6327,0.6624
134,0.6953,0.6687,0.6987,0.6834,0.6893
135,0.6844,0.6843,0.6938,0.689,0.6867
136,0.6188,0.6548,0.6248,0.6394,0.629
137,0.7096,0.7174,0.6938,0.7054,0.7075
138,0.6708,0.7013,0.7036,0.7025,0.6863
139,0.769,0.7788,0.7688,0.7738,0.7714
140,0.6488,0.6743,0.6655,0.6699,0.6592
141,0.7765,0.709,0.7423,0.7253,0.75
142,0.7272,0.6438,0.6946,0.6682,0.6965
143,0.7194,0.6583,0.6868,0.6722,0.695
144,0.6777,0.5876,0.6266,0.6064,0.6401
145,0.7704,0.7159,0.707,0.7114,0.7397
146,0.6711,0.5967,0.7106,0.6487,0.6597
147,0.6999,0.6761,0.6453,0.6603,0.6796
148,0.748,0.6809,0.738,0.7083,0.7276
149,0.7863,0.6844,0.7051,0.6946,0.7376
150,0.838,0.7833,0.7892,0.7862,0.8113
151,0.6727,0.7329,0.7062,0.7193,0.6952
152,0.7029,0.6535,0.6768,0.665,0.6834
153,0.7495,0.7256,0.7298,0.7277,0.7384
154,0.6309,0.6279,0.6542,0.6408,0.6358
155,0.6885,0.6524,0.6354,0.6438,0.6654
156,0.7429,0.6807,0.6978,0.6892,0.715
157,0.7037,0.7236,0.7029,0.7131,0.7084
158,0.7375,0.699,0.7068,0.7028,0.7198
159,0.7893,0.7038,0.6884,0.696,0.7397
160,0.7154,0.6903,0.7053,0.6977,0.7065
161,0.748,0.6888,0.6919,0.6904,0.718
162,0.6765,0.6967,0.7014,0.699,0.6876
163,0.8262,0.7142,0.8176,0.7624,0.793
164,0.7504,0.6799,0.6876,0.6837,0.7155
165,0.6786,0.6487,0.6967,0.6719,0.6752
166,0.6017,0.6297,0.6116,0.6205,0.611
167,0.7978,0.7011,0.6903,0.6957,0.7433
168,0.6355,0.68,0.6641,0.6719,0.6532
169,0.6926,0.7158,0.7247,0.7202,0.7061
170,0.8401,0.753,0.746,0.7495,0.7922
171,0.7581,0.6521,0.6706,0.6612,0.7063
