,,gte-qwen2-7b,gte-qwen2-7b,gte-qwen2-7b,gte-qwen2-7b,kalm,kalm,kalm,kalm,nemo,nemo,nemo,nemo,nv-embed,nv-embed,nv-embed,nv-embed,qwen3-8b,qwen3-8b,qwen3-8b,qwen3-8b
,VLM,Coarse,Fine,HM,Std,Coarse,Fine,HM,Std,Coarse,Fine,HM,Std,Coarse,Fine,HM,Std,Coarse,Fine,HM,Std
0,Qwen2.5-32B,0.663584,0.570878,0.612757,0.040209,0.769423,0.718176,0.742434,0.033615,0.600306,0.493068,0.540244,0.048169,0.578939,0.424291,0.488069,0.060756,0.660829,0.650413,0.654575,0.042402
1,Qwen2.5-72B,0.663198,0.593917,0.625520,0.047864,0.772391,0.723261,0.746442,0.039477,0.629294,0.503116,0.557895,0.057757,0.587497,0.433877,0.497438,0.062405,0.679014,0.652957,0.664772,0.047072
2,internvl,0.634049,0.563934,0.595226,0.077609,0.735152,0.705849,0.719341,0.052229,0.562968,0.490994,0.521612,0.074453,0.569463,0.376252,0.451491,0.072564,0.610772,0.625807,0.616417,0.063856
3,llava_next_video,0.547394,0.531893,0.537381,0.063644,0.690007,0.706571,0.697263,0.049164,0.485041,0.483234,0.481449,0.067397,0.498825,0.365296,0.419343,0.078493,0.563845,0.630195,0.593024,0.062996
4,llava_one_vision,0.699459,0.615231,0.653768,0.043535,0.790689,0.737819,0.762927,0.036495,0.649396,0.535039,0.585492,0.052796,0.643831,0.443619,0.523920,0.058021,0.677887,0.668275,0.672121,0.046985
5,longva,0.502976,0.463004,0.480085,0.076620,0.617066,0.660999,0.636557,0.057035,0.406182,0.407081,0.403452,0.072536,0.399148,0.311208,0.345675,0.076087,0.492007,0.570798,0.525811,0.079256
6,longvu,0.696198,0.600525,0.643922,0.045766,0.776620,0.729589,0.751605,0.041004,0.625153,0.508724,0.559546,0.055465,0.612798,0.442160,0.510187,0.068307,0.669994,0.667205,0.667488,0.046878
7,minicpm,0.669845,0.551385,0.603889,0.040728,0.776146,0.704234,0.737949,0.032717,0.609177,0.468506,0.528609,0.045884,0.595884,0.402172,0.478955,0.055088,0.658514,0.642371,0.649453,0.038245
8,mplug,0.736210,0.639556,0.683716,0.043930,0.789523,0.750473,0.768328,0.046650,0.673048,0.554959,0.607181,0.054994,0.629361,0.463319,0.529083,0.079793,0.704405,0.681939,0.692128,0.046719
9,oryx,0.522685,0.510976,0.514015,0.070268,0.666485,0.681201,0.672716,0.054084,0.474357,0.452294,0.460520,0.070861,0.481945,0.341632,0.397749,0.077442,0.556212,0.609500,0.579731,0.069608
10,sharegpt4,0.639730,0.568410,0.600836,0.051532,0.716993,0.704944,0.709799,0.049990,0.547145,0.477413,0.508303,0.059973,0.551065,0.401237,0.461091,0.077037,0.609038,0.640072,0.623036,0.052879
11,timechat,0.580672,0.553905,0.565512,0.051469,0.716037,0.707848,0.711318,0.044517,0.515422,0.488256,0.500102,0.059578,0.526491,0.345984,0.415827,0.068077,0.592570,0.620342,0.604714,0.053716
12,ts_llava,0.544511,0.514843,0.527178,0.070016,0.679752,0.690483,0.684046,0.057228,0.460736,0.458941,0.457261,0.081007,0.466223,0.352716,0.399762,0.083962,0.558649,0.616662,0.584280,0.072148
13,video_xl,0.632991,0.571539,0.599283,0.056532,0.740525,0.715172,0.726873,0.043114,0.559884,0.493224,0.522198,0.058762,0.553730,0.404475,0.466010,0.064607,0.618971,0.649573,0.632414,0.053877
14,videochatflash,0.628094,0.589668,0.606995,0.050024,0.735650,0.719379,0.726659,0.044309,0.590699,0.523797,0.553515,0.060648,0.539650,0.399893,0.454932,0.077498,0.671677,0.644591,0.656756,0.045410
15,videollama3,0.753080,0.644251,0.693719,0.038098,0.819059,0.763846,0.789881,0.033368,0.678662,0.574433,0.621016,0.046462,0.681201,0.465348,0.548887,0.082456,0.718419,0.690794,0.703534,0.040817
16,vilamp,0.708912,0.622333,0.661691,0.053041,0.779930,0.746612,0.761775,0.044125,0.648828,0.548158,0.592676,0.059180,0.601750,0.439722,0.500101,0.079027,0.688872,0.664330,0.675534,0.047626
