video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5146,0.546,0.4417,0.4883,0.5011
002,0.4927,0.573,0.5467,0.5595,0.524
003,0.5691,0.5741,0.5414,0.5573,0.5631
004,0.4049,0.4497,0.4443,0.447,0.4249
005,0.6115,0.5253,0.5518,0.5382,0.5725
006,0.4674,0.5184,0.5322,0.5252,0.4947
007,0.4707,0.5128,0.4834,0.4977,0.4838
008,0.4768,0.4983,0.4776,0.4877,0.4822
009,0.4099,0.4429,0.3654,0.4005,0.4051
010,0.5138,0.5479,0.4969,0.5212,0.5175
011,0.3589,0.4533,0.4478,0.4505,0.3995
012,0.4998,0.5099,0.53,0.5198,0.5096
013,0.4804,0.5117,0.4502,0.4789,0.4797
014,0.5445,0.5749,0.5388,0.5563,0.5503
015,0.473,0.5075,0.5023,0.5049,0.4884
016,0.5667,0.5297,0.4821,0.5048,0.5339
017,0.5753,0.5731,0.5515,0.5621,0.5686
018,0.4517,0.5054,0.4714,0.4878,0.4691
019,0.5364,0.6042,0.601,0.6026,0.5676
020,0.6851,0.6058,0.5956,0.6007,0.6401
021,0.3129,0.4525,0.4878,0.4695,0.3755
022,0.6082,0.5993,0.5734,0.5861,0.5969
023,0.6575,0.616,0.5899,0.6027,0.6289
024,0.5241,0.5093,0.4425,0.4735,0.4976
025,0.4942,0.4727,0.4805,0.4766,0.4852
026,0.5942,0.5766,0.6081,0.5919,0.5931
027,0.5634,0.5594,0.5469,0.5531,0.5582
028,0.5266,0.5392,0.5173,0.528,0.5273
029,0.6908,0.6043,0.5933,0.5988,0.6415
030,0.4206,0.4696,0.5306,0.4982,0.4561
031,0.6045,0.5055,0.5206,0.5129,0.555
032,0.5943,0.5197,0.5336,0.5265,0.5584
033,0.5864,0.5778,0.5265,0.551,0.5681
034,0.7088,0.6524,0.6437,0.648,0.677
035,0.5007,0.5531,0.571,0.5619,0.5295
036,0.4765,0.5101,0.4542,0.4806,0.4785
037,0.5488,0.5297,0.5196,0.5246,0.5364
038,0.4347,0.521,0.5555,0.5377,0.4807
039,0.4992,0.4395,0.4644,0.4516,0.4742
040,0.4894,0.6069,0.5342,0.5683,0.5259
041,0.4205,0.4357,0.415,0.4251,0.4228
042,0.3892,0.469,0.3884,0.4249,0.4063
043,0.3366,0.4171,0.3338,0.3709,0.3529
044,0.5331,0.5077,0.4715,0.489,0.5101
045,0.4362,0.503,0.4235,0.4598,0.4477
046,0.6132,0.5276,0.5757,0.5506,0.5802
047,0.3436,0.4445,0.4023,0.4224,0.3789
048,0.4912,0.4862,0.4755,0.4808,0.4859
049,0.3142,0.5286,0.5543,0.5411,0.3976
050,0.5666,0.5814,0.5295,0.5543,0.5603
051,0.669,0.517,0.5589,0.5371,0.5958
052,0.3503,0.4061,0.3333,0.3662,0.3581
053,0.5063,0.4865,0.4697,0.478,0.4917
054,0.582,0.5809,0.5809,0.5809,0.5814
055,0.4414,0.4935,0.4851,0.4893,0.4641
056,0.3397,0.3897,0.3869,0.3883,0.3624
057,0.4172,0.4387,0.4177,0.4279,0.4225
058,0.495,0.4843,0.4698,0.477,0.4858
059,0.592,0.5825,0.5536,0.5677,0.5796
060,0.508,0.4342,0.4412,0.4377,0.4703
061,0.4906,0.4651,0.4459,0.4553,0.4723
062,0.3901,0.5947,0.5382,0.5651,0.4616
063,0.5896,0.563,0.5462,0.5544,0.5715
064,0.5074,0.4755,0.4985,0.4867,0.4968
065,0.458,0.5222,0.4783,0.4993,0.4777
066,0.5343,0.4673,0.4831,0.475,0.5029
067,0.5354,0.5503,0.5102,0.5295,0.5324
068,0.6399,0.6061,0.5565,0.5803,0.6086
069,0.3986,0.4968,0.4796,0.4881,0.4388
070,0.7441,0.5906,0.5455,0.5671,0.6437
071,0.5236,0.5614,0.4931,0.525,0.5243
072,0.6249,0.6274,0.5921,0.6093,0.617
073,0.637,0.5586,0.5267,0.5422,0.5858
