video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.7357,0.6796,0.6418,0.6602,0.6959
002,0.816,0.6634,0.6567,0.66,0.7298
003,0.7501,0.6462,0.6282,0.637,0.6889
004,0.6952,0.6729,0.6551,0.6639,0.6792
005,0.8193,0.6847,0.6559,0.67,0.7371
006,0.7448,0.7123,0.6704,0.6907,0.7168
007,0.7923,0.6672,0.6664,0.6668,0.7242
008,0.6706,0.6142,0.6002,0.6071,0.6373
009,0.7212,0.6452,0.6216,0.6332,0.6743
010,0.837,0.6636,0.6301,0.6464,0.7294
011,0.6619,0.6485,0.6394,0.6439,0.6528
012,0.7559,0.6468,0.6398,0.6433,0.695
013,0.7947,0.6773,0.6162,0.6453,0.7123
014,0.7596,0.6641,0.6408,0.6522,0.7018
015,0.7777,0.7333,0.6546,0.6917,0.7322
016,0.6634,0.5837,0.6089,0.596,0.6279
017,0.7857,0.6355,0.6209,0.6281,0.6981
018,0.7259,0.6831,0.604,0.6411,0.6809
019,0.7072,0.6463,0.6667,0.6564,0.6808
020,0.8074,0.6637,0.6372,0.6502,0.7203
021,0.7184,0.6272,0.6592,0.6428,0.6785
022,0.7976,0.6997,0.7135,0.7065,0.7493
023,0.7549,0.6928,0.7101,0.7013,0.7271
024,0.8167,0.6843,0.6499,0.6667,0.7341
025,0.7274,0.6155,0.6554,0.6348,0.678
026,0.6824,0.7042,0.6476,0.6748,0.6785
027,0.6756,0.6435,0.6566,0.65,0.6625
028,0.7833,0.5737,0.6267,0.5991,0.6789
029,0.7581,0.6867,0.6297,0.657,0.7039
030,0.7478,0.6572,0.6248,0.6406,0.6901
031,0.7665,0.63,0.6217,0.6258,0.6891
032,0.7102,0.6214,0.6128,0.6171,0.6604
033,0.7744,0.6521,0.6442,0.6482,0.7057
034,0.6835,0.6469,0.6216,0.634,0.6578
035,0.7883,0.7212,0.6662,0.6926,0.7374
036,0.7601,0.6032,0.6368,0.6196,0.6827
037,0.7516,0.6326,0.6443,0.6384,0.6904
038,0.7979,0.7036,0.6762,0.6897,0.7398
039,0.8189,0.6692,0.6803,0.6747,0.7398
040,0.6697,0.631,0.6163,0.6235,0.6458
041,0.7363,0.6071,0.6666,0.6355,0.6822
042,0.7324,0.6514,0.6205,0.6356,0.6806
043,0.6557,0.6027,0.5332,0.5658,0.6075
044,0.7381,0.6515,0.6159,0.6332,0.6816
045,0.8278,0.658,0.6502,0.6541,0.7307
046,0.721,0.6828,0.6844,0.6836,0.7018
047,0.7824,0.6247,0.6395,0.632,0.6992
048,0.7431,0.6295,0.6793,0.6534,0.6954
049,0.7455,0.6503,0.7108,0.6792,0.7108
050,0.7987,0.7227,0.6992,0.7107,0.7522
051,0.7137,0.6225,0.6216,0.6221,0.6647
052,0.7713,0.6341,0.5991,0.6161,0.685
053,0.7595,0.6957,0.6932,0.6944,0.7255
054,0.7266,0.6705,0.7,0.685,0.7051
055,0.7123,0.588,0.6186,0.6029,0.653
056,0.7901,0.6696,0.6054,0.6359,0.7047
057,0.7862,0.6731,0.6982,0.6854,0.7324
058,0.7406,0.5755,0.5711,0.5733,0.6463
059,0.7364,0.6289,0.6286,0.6288,0.6783
060,0.8448,0.6795,0.6939,0.6866,0.7575
061,0.7539,0.688,0.6524,0.6697,0.7093
062,0.7486,0.6635,0.6156,0.6386,0.6893
063,0.7082,0.6375,0.5994,0.6179,0.6599
